; Candidate 1348
; ADRP+ADD at VM 0xfffffff0083753f8 (fileoff 0x13713f8): page=0x1fed28000 add_imm=0xe71

0xfffffff008375378: 40020034  cbz	w0, #0xfffffff0083753c0
0xfffffff00837537c: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff008375380: e00315aa  mov	x0, x21
0xfffffff008375384: 1f010171  cmp	w8, #0x40
0xfffffff008375388: 6b030054  b.lt	#0xfffffff0083753f4
0xfffffff00837538c: 4069ff90  adrp	x0, #0xfffffff00709d000
0xfffffff008375390: 00b83991  add	x0, x0, #0xe6e
0xfffffff008375394: 2387ff97  bl	#0xfffffff008357020
0xfffffff008375398: e80f80b9  ldrsw	x8, [sp, #0xc]
0xfffffff00837539c: 08fd00d1  sub	x8, x8, #0x3f
0xfffffff0083753a0: e80f00b9  str	w8, [sp, #0xc]
0xfffffff0083753a4: b602088b  add	x22, x21, x8
0xfffffff0083753a8: e00316aa  mov	x0, x22
0xfffffff0083753ac: e1058052  mov	w1, #0x2f
0xfffffff0083753b0: 05a9ec97  bl	#0xfffffff007e9f7c4
0xfffffff0083753b4: 1f0000f1  cmp	x0, #0
0xfffffff0083753b8: c002809a  csel	x0, x22, x0, eq
0xfffffff0083753bc: 0e000014  b	#0xfffffff0083753f4
0xfffffff0083753c0: 700240f9  ldr	x16, [x19]
0xfffffff0083753c4: f10313aa  mov	x17, x19
0xfffffff0083753c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083753cc: 301ac1da  autda	x16, x17
0xfffffff0083753d0: 113d80d2  mov	x17, #0x1e8
0xfffffff0083753d4: 1002118b  add	x16, x16, x17
0xfffffff0083753d8: 080240f9  ldr	x8, [x16]
0xfffffff0083753dc: e90310aa  mov	x9, x16
0xfffffff0083753e0: e00313aa  mov	x0, x19
0xfffffff0083753e4: 010080d2  mov	x1, #0
0xfffffff0083753e8: f10309aa  mov	x17, x9
0xfffffff0083753ec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0083753f0: 11093fd7  blraa	x8, x17
0xfffffff0083753f4: e00300f9  str	x0, [sp]
0xfffffff0083753f8: 4069ff90  adrp	x0, #0xfffffff00709d000
0xfffffff0083753fc: 00c43991  add	x0, x0, #0xe71
0xfffffff008375400: 0887ff97  bl	#0xfffffff008357020
0xfffffff008375404: e00313aa  mov	x0, x19
0xfffffff008375408: e10314aa  mov	x1, x20
0xfffffff00837540c: 0e000094  bl	#0xfffffff008375444
0xfffffff008375410: c0afffd0  adrp	x0, #0xfffffff00796f000
0xfffffff008375414: 00201a91  add	x0, x0, #0x688
0xfffffff008375418: e10315aa  mov	x1, x21
0xfffffff00837541c: 02208052  mov	w2, #0x100
0xfffffff008375420: 93c5e897  bl	#0xfffffff007da6a6c
0xfffffff008375424: e81f8092  mov	x8, #-0x100
0xfffffff008375428: e80228f8  ldadd	x8, x8, [x23]
0xfffffff00837542c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008375430: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008375434: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008375438: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff00837543c: ff430191  add	sp, sp, #0x50
0xfffffff008375440: ff0f5fd6  retab	
0xfffffff008375444: 7f2303d5  pacibsp	
0xfffffff008375448: ff0302d1  sub	sp, sp, #0x80
0xfffffff00837544c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008375450: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008375454: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008375458: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00837545c: fdc30191  add	x29, sp, #0x70
0xfffffff008375460: f30301aa  mov	x19, x1
0xfffffff008375464: f40300aa  mov	x20, x0
0xfffffff008375468: 81062036  tbz	w1, #4, #0xfffffff008375538
0xfffffff00837546c: 88f600f0  adrp	x8, #0xfffffff00a248000
0xfffffff008375470: 082140f9  ldr	x8, [x8, #0x40]
0xfffffff008375474: 89f600f0  adrp	x9, #0xfffffff00a248000
