; Candidate 10427
; ADRP+ADD at VM 0xfffffff008d45a1c (fileoff 0x1d41a1c): page=0x1fe643000 add_imm=0xdbd

0xfffffff008d4599c: f40301aa  mov	x20, x1
0xfffffff008d459a0: f50300aa  mov	x21, x0
0xfffffff008d459a4: 18ad00f0  adrp	x24, #0xfffffff00a2e8000
0xfffffff008d459a8: 18930c91  add	x24, x24, #0x324
0xfffffff008d459ac: 08034039  ldrb	w8, [x24]
0xfffffff008d459b0: 1732ff90  adrp	x23, #0xfffffff007385000
0xfffffff008d459b4: f7d62f91  add	x23, x23, #0xbf5
0xfffffff008d459b8: 1f290071  cmp	w8, #0xa
0xfffffff008d459bc: e8000054  b.hi	#0xfffffff008d459d8
0xfffffff008d459c0: 0832fff0  adrp	x8, #0xfffffff007388000
0xfffffff008d459c4: 084d3691  add	x8, x8, #0xd93
0xfffffff008d459c8: f72300a9  stp	x23, x8, [sp]
0xfffffff008d459cc: 2032ff90  adrp	x0, #0xfffffff007389000
0xfffffff008d459d0: 00bc1791  add	x0, x0, #0x5ef
0xfffffff008d459d4: 9345d897  bl	#0xfffffff008357020
0xfffffff008d459d8: 333700b4  cbz	x19, #0xfffffff008d460bc
0xfffffff008d459dc: b0060051  sub	w16, w21, #1
0xfffffff008d459e0: 1f6a0071  cmp	w16, #0x1a
0xfffffff008d459e4: 28050054  b.hi	#0xfffffff008d45a88
0xfffffff008d459e8: 1f6a00f1  cmp	x16, #0x1a
0xfffffff008d459ec: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008d459f0: 110000b0  adrp	x17, #0xfffffff008d46000
0xfffffff008d459f4: 31720491  add	x17, x17, #0x11c
0xfffffff008d459f8: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008d459fc: 11000010  adr	x17, #0xfffffff008d459fc
0xfffffff008d45a00: 3002108b  add	x16, x17, x16
0xfffffff008d45a04: 00021fd6  br	x16
0xfffffff008d45a08: 9f2403d5  bti	j
0xfffffff008d45a0c: 606cff90  adrp	x0, #0xfffffff007ad1000
0xfffffff008d45a10: 00e02e91  add	x0, x0, #0xbb8
0xfffffff008d45a14: b842d897  bl	#0xfffffff0083564f4
0xfffffff008d45a18: f60300aa  mov	x22, x0
0xfffffff008d45a1c: 0032fff0  adrp	x0, #0xfffffff007388000
0xfffffff008d45a20: 00f43691  add	x0, x0, #0xdbd
0xfffffff008d45a24: 0332fff0  adrp	x3, #0xfffffff007388000
0xfffffff008d45a28: 631c1991  add	x3, x3, #0x647
0xfffffff008d45a2c: 0532fff0  adrp	x5, #0xfffffff007388000
0xfffffff008d45a30: a54c3691  add	x5, x5, #0xd93
0xfffffff008d45a34: e10316aa  mov	x1, x22
0xfffffff008d45a38: 02028052  mov	w2, #0x10
0xfffffff008d45a3c: 84298052  mov	w4, #0x14c
0xfffffff008d45a40: 49dfff97  bl	#0xfffffff008d3d764
0xfffffff008d45a44: 08008052  mov	w8, #0
0xfffffff008d45a48: 762f00b4  cbz	x22, #0xfffffff008d46034
0xfffffff008d45a4c: d50200b9  str	w21, [x22]
0xfffffff008d45a50: 2004000f  movi	v0.2s, #1
0xfffffff008d45a54: c04200fc  stur	d0, [x22, #4]
0xfffffff008d45a58: c80e00b9  str	w8, [x22, #0xc]
0xfffffff008d45a5c: a87a1f12  and	w8, w21, #0xfffffffe
0xfffffff008d45a60: 1f110071  cmp	w8, #4
0xfffffff008d45a64: 61000054  b.ne	#0xfffffff008d45a70
0xfffffff008d45a68: d41200b9  str	w20, [x22, #0x10]
0xfffffff008d45a6c: 29000014  b	#0xfffffff008d45b10
0xfffffff008d45a70: bfa20f71  cmp	w21, #0x3e8
0xfffffff008d45a74: c0040054  b.eq	#0xfffffff008d45b0c
0xfffffff008d45a78: bf1e0071  cmp	w21, #7
0xfffffff008d45a7c: a1040054  b.ne	#0xfffffff008d45b10
0xfffffff008d45a80: d41600b9  str	w20, [x22, #0x14]
0xfffffff008d45a84: 23000014  b	#0xfffffff008d45b10
0xfffffff008d45a88: b0a20f51  sub	w16, w21, #0x3e8
0xfffffff008d45a8c: 1f120071  cmp	w16, #4
0xfffffff008d45a90: a8060054  b.hi	#0xfffffff008d45b64
0xfffffff008d45a94: 1f1200f1  cmp	x16, #4
0xfffffff008d45a98: 10929f9a  csel	x16, x16, xzr, ls
