; Candidate 9806
; ADRP+ADD at VM 0xfffffff008b44d18 (fileoff 0x1b40d18): page=0x1fe7a4000 add_imm=0xdbc

0xfffffff008b44c98: e20310aa  mov	x2, x16
0xfffffff008b44c9c: f00308aa  mov	x16, x8
0xfffffff008b44ca0: f10302aa  mov	x17, x2
0xfffffff008b44ca4: 916ff2f2  movk	x17, #0x937c, lsl #48
0xfffffff008b44ca8: 110a1fd7  braa	x16, x17
0xfffffff008b44cac: 00008052  mov	w0, #0
0xfffffff008b44cb0: c0035fd6  ret	
0xfffffff008b44cb4: 7f2303d5  pacibsp	
0xfffffff008b44cb8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008b44cbc: fd030091  mov	x29, sp
0xfffffff008b44cc0: 100c41f8  ldr	x16, [x0, #0x10]!
0xfffffff008b44cc4: 700100b4  cbz	x16, #0xfffffff008b44cf0
0xfffffff008b44cc8: f10300aa  mov	x17, x0
0xfffffff008b44ccc: 311eeef2  movk	x17, #0x70f1, lsl #48
0xfffffff008b44cd0: 301ac1da  autda	x16, x17
0xfffffff008b44cd4: f10310aa  mov	x17, x16
0xfffffff008b44cd8: f147c1da  xpacd	x17
0xfffffff008b44cdc: 1f0211eb  cmp	x16, x17
0xfffffff008b44ce0: 40000054  b.eq	#0xfffffff008b44ce8
0xfffffff008b44ce4: 408e38d4  brk	#0xc472
0xfffffff008b44ce8: e00310aa  mov	x0, x16
0xfffffff008b44cec: 02000014  b	#0xfffffff008b44cf4
0xfffffff008b44cf0: 000080d2  mov	x0, #0
0xfffffff008b44cf4: 02088052  mov	w2, #0x40
0xfffffff008b44cf8: 5f6acd97  bl	#0xfffffff007e9f674
0xfffffff008b44cfc: 1f000071  cmp	w0, #0
0xfffffff008b44d00: e0179f1a  cset	w0, eq
0xfffffff008b44d04: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008b44d08: ff0f5fd6  retab	
0xfffffff008b44d0c: 7f2303d5  pacibsp	
0xfffffff008b44d10: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008b44d14: fd030091  mov	x29, sp
0xfffffff008b44d18: 203dff90  adrp	x0, #0xfffffff0072e8000
0xfffffff008b44d1c: 00f03691  add	x0, x0, #0xdbc
0xfffffff008b44d20: 4691df97  bl	#0xfffffff008329238
0xfffffff008b44d24: e8bc00b0  adrp	x8, #0xfffffff00a2e1000
0xfffffff008b44d28: 006106f9  str	x0, [x8, #0xcc0]
0xfffffff008b44d2c: 203dff90  adrp	x0, #0xfffffff0072e8000
0xfffffff008b44d30: 008c3791  add	x0, x0, #0xde3
0xfffffff008b44d34: 4191df97  bl	#0xfffffff008329238
0xfffffff008b44d38: e8bc00b0  adrp	x8, #0xfffffff00a2e1000
0xfffffff008b44d3c: 006506f9  str	x0, [x8, #0xcc8]
0xfffffff008b44d40: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44d44: 00802d91  add	x0, x0, #0xb60
0xfffffff008b44d48: 213dffd0  adrp	x1, #0xfffffff0072ea000
0xfffffff008b44d4c: 21703d91  add	x1, x1, #0xf5c
0xfffffff008b44d50: c279ffd0  adrp	x2, #0xfffffff007a7e000
0xfffffff008b44d54: 427445f9  ldr	x2, [x2, #0xae8]
0xfffffff008b44d58: 030a8052  mov	w3, #0x50
0xfffffff008b44d5c: 777bde97  bl	#0xfffffff0082e3b38
0xfffffff008b44d60: f079ff90  adrp	x16, #0xfffffff007a80000
0xfffffff008b44d64: 10e21591  add	x16, x16, #0x578
0xfffffff008b44d68: 10420091  add	x16, x16, #0x10
0xfffffff008b44d6c: f10300aa  mov	x17, x0
0xfffffff008b44d70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b44d74: 300ac1da  pacda	x16, x17
0xfffffff008b44d78: 100000f9  str	x16, [x0]
0xfffffff008b44d7c: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44d80: 00202e91  add	x0, x0, #0xb88
0xfffffff008b44d84: 213dfff0  adrp	x1, #0xfffffff0072eb000
0xfffffff008b44d88: 21b80091  add	x1, x1, #0x2e
0xfffffff008b44d8c: c279ffd0  adrp	x2, #0xfffffff007a7e000
0xfffffff008b44d90: 42e445f9  ldr	x2, [x2, #0xbc8]
0xfffffff008b44d94: 03108352  mov	w3, #0x1880
