; Candidate 10036
; ADRP+ADD at VM 0xfffffff008c819a8 (fileoff 0x1c7d9a8): page=0x1fe6cb000 add_imm=0xed1

0xfffffff008c81928: 1800bc72  movk	w24, #0xe000, lsl #16
0xfffffff008c8192c: f60700b4  cbz	x22, #0xfffffff008c81a28
0xfffffff008c81930: 2871fff0  adrp	x8, #0xfffffff007aa8000
0xfffffff008c81934: 08f940f9  ldr	x8, [x8, #0x1f0]
0xfffffff008c81938: 010140f9  ldr	x1, [x8]
0xfffffff008c8193c: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c81940: 00ec3a91  add	x0, x0, #0xebb
0xfffffff008c81944: 020080d2  mov	x2, #0
0xfffffff008c81948: 030080d2  mov	x3, #0
0xfffffff008c8194c: 040080d2  mov	x4, #0
0xfffffff008c81950: cd75db97  bl	#0xfffffff00835f084
0xfffffff008c81954: e00700b4  cbz	x0, #0xfffffff008c81a50
0xfffffff008c81958: f50300aa  mov	x21, x0
0xfffffff008c8195c: 100040f9  ldr	x16, [x0]
0xfffffff008c81960: f10300aa  mov	x17, x0
0xfffffff008c81964: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c81968: 301ac1da  autda	x16, x17
0xfffffff008c8196c: 112380d2  mov	x17, #0x118
0xfffffff008c81970: 1002118b  add	x16, x16, x17
0xfffffff008c81974: 080240f9  ldr	x8, [x16]
0xfffffff008c81978: e90310aa  mov	x9, x16
0xfffffff008c8197c: 4136fff0  adrp	x1, #0xfffffff00734c000
0xfffffff008c81980: 21103b91  add	x1, x1, #0xec4
0xfffffff008c81984: f10309aa  mov	x17, x9
0xfffffff008c81988: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff008c8198c: 11093fd7  blraa	x8, x17
0xfffffff008c81990: 2871fff0  adrp	x8, #0xfffffff007aa8000
0xfffffff008c81994: 08b940f9  ldr	x8, [x8, #0x170]
0xfffffff008c81998: 010140f9  ldr	x1, [x8]
0xfffffff008c8199c: d688d997  bl	#0xfffffff0082e3cf4
0xfffffff008c819a0: 000300b4  cbz	x0, #0xfffffff008c81a00
0xfffffff008c819a4: f60300aa  mov	x22, x0
0xfffffff008c819a8: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c819ac: 00443b91  add	x0, x0, #0xed1
0xfffffff008c819b0: 8c95da97  bl	#0xfffffff008326fe0
0xfffffff008c819b4: e10300aa  mov	x1, x0
0xfffffff008c819b8: d00240f9  ldr	x16, [x22]
0xfffffff008c819bc: f10316aa  mov	x17, x22
0xfffffff008c819c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c819c4: 301ac1da  autda	x16, x17
0xfffffff008c819c8: 088e4ff8  ldr	x8, [x16, #0xf8]!
0xfffffff008c819cc: e90310aa  mov	x9, x16
0xfffffff008c819d0: e00316aa  mov	x0, x22
0xfffffff008c819d4: f10309aa  mov	x17, x9
0xfffffff008c819d8: 3164e9f2  movk	x17, #0x4b21, lsl #48
0xfffffff008c819dc: 11093fd7  blraa	x8, x17
0xfffffff008c819e0: 00010034  cbz	w0, #0xfffffff008c81a00
0xfffffff008c819e4: e8ea4339  ldrb	w8, [x23, #0xfa]
0xfffffff008c819e8: e80300f9  str	x8, [sp]
0xfffffff008c819ec: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c819f0: 00643b91  add	x0, x0, #0xed9
0xfffffff008c819f4: 8b55db97  bl	#0xfffffff008357020
0xfffffff008c819f8: 28008052  mov	w8, #1
0xfffffff008c819fc: e83a0439  strb	w8, [x23, #0x10e]
0xfffffff008c81a00: b00240f9  ldr	x16, [x21]
0xfffffff008c81a04: f10315aa  mov	x17, x21
0xfffffff008c81a08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c81a0c: 301ac1da  autda	x16, x17
0xfffffff008c81a10: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008c81a14: e90310aa  mov	x9, x16
0xfffffff008c81a18: e00315aa  mov	x0, x21
0xfffffff008c81a1c: f10309aa  mov	x17, x9
0xfffffff008c81a20: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008c81a24: 11093fd7  blraa	x8, x17
