; Candidate 12612
; ADRP+ADD at VM 0xfffffff0090c7960 (fileoff 0x20c3960): page=0x1fea85000 add_imm=0xe28

0xfffffff0090c78e0: 10a22e91  add	x16, x16, #0xba8
0xfffffff0090c78e4: 10420091  add	x16, x16, #0x10
0xfffffff0090c78e8: f10300aa  mov	x17, x0
0xfffffff0090c78ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090c78f0: 300ac1da  pacda	x16, x17
0xfffffff0090c78f4: 100000f9  str	x16, [x0]
0xfffffff0090c78f8: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff0090c78fc: 400100b4  cbz	x0, #0xfffffff0090c7924
0xfffffff0090c7900: 100040f9  ldr	x16, [x0]
0xfffffff0090c7904: f10300aa  mov	x17, x0
0xfffffff0090c7908: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090c790c: 301ac1da  autda	x16, x17
0xfffffff0090c7910: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090c7914: e90310aa  mov	x9, x16
0xfffffff0090c7918: f10309aa  mov	x17, x9
0xfffffff0090c791c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090c7920: 11093fd7  blraa	x8, x17
0xfffffff0090c7924: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff0090c7928: e00313aa  mov	x0, x19
0xfffffff0090c792c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090c7930: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0090c7934: ff2303d5  autibsp	
0xfffffff0090c7938: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0090c793c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0090c7944
0xfffffff0090c7940: 208e38d4  brk	#0xc471
0xfffffff0090c7944: 027fc817  b	#0xfffffff0082e754c
0xfffffff0090c7948: 7f2303d5  pacibsp	
0xfffffff0090c794c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0090c7950: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090c7954: fd430091  add	x29, sp, #0x10
0xfffffff0090c7958: f30300aa  mov	x19, x0
0xfffffff0090c795c: dbffff97  bl	#0xfffffff0090c78c8
0xfffffff0090c7960: 2054ffb0  adrp	x0, #0xfffffff007b4c000
0xfffffff0090c7964: 00a03891  add	x0, x0, #0xe28
0xfffffff0090c7968: e10313aa  mov	x1, x19
0xfffffff0090c796c: 02048052  mov	w2, #0x20
0xfffffff0090c7970: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090c7974: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0090c7978: ff2303d5  autibsp	
0xfffffff0090c797c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0090c7980: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0090c7988
0xfffffff0090c7984: 208e38d4  brk	#0xc471
0xfffffff0090c7988: 457fc817  b	#0xfffffff0082e769c
0xfffffff0090c798c: 5f2403d5  bti	c
0xfffffff0090c7990: e20301aa  mov	x2, x1
0xfffffff0090c7994: e10300aa  mov	x1, x0
0xfffffff0090c7998: 2054ffb0  adrp	x0, #0xfffffff007b4c000
0xfffffff0090c799c: 00a03891  add	x0, x0, #0xe28
0xfffffff0090c79a0: 3f7fc817  b	#0xfffffff0082e769c
0xfffffff0090c79a4: 5f2403d5  bti	c
0xfffffff0090c79a8: 60920090  adrp	x0, #0xfffffff00a313000
0xfffffff0090c79ac: 00603e91  add	x0, x0, #0xf98
0xfffffff0090c79b0: c0035fd6  ret	
0xfffffff0090c79b4: 7f2303d5  pacibsp	
0xfffffff0090c79b8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0090c79bc: fd030091  mov	x29, sp
0xfffffff0090c79c0: 011dfff0  adrp	x1, #0xfffffff00746a000
0xfffffff0090c79c4: 21942991  add	x1, x1, #0xa65
0xfffffff0090c79c8: 2254ffb0  adrp	x2, #0xfffffff007b4c000
0xfffffff0090c79cc: 421845f9  ldr	x2, [x2, #0xa30]
0xfffffff0090c79d0: 03048052  mov	w3, #0x20
0xfffffff0090c79d4: 5970c897  bl	#0xfffffff0082e3b38
0xfffffff0090c79d8: 3054ffb0  adrp	x16, #0xfffffff007b4c000
0xfffffff0090c79dc: 10e23091  add	x16, x16, #0xc38
