; Candidate 14971
; ADRP+ADD at VM 0xfffffff009a13960 (fileoff 0x2a0f960): page=0x1fdbef000 add_imm=0xd8d

0xfffffff009a138e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a138e4: 301ac1da  autda	x16, x17
0xfffffff009a138e8: 112380d2  mov	x17, #0x118
0xfffffff009a138ec: 1002118b  add	x16, x16, x17
0xfffffff009a138f0: 080240f9  ldr	x8, [x16]
0xfffffff009a138f4: e90310aa  mov	x9, x16
0xfffffff009a138f8: 61dffef0  adrp	x1, #0xfffffff007602000
0xfffffff009a138fc: 21d83591  add	x1, x1, #0xd76
0xfffffff009a13900: e00316aa  mov	x0, x22
0xfffffff009a13904: f10309aa  mov	x17, x9
0xfffffff009a13908: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff009a1390c: 11093fd7  blraa	x8, x17
0xfffffff009a13910: 400b00b4  cbz	x0, #0xfffffff009a13a78
0xfffffff009a13914: 134d00f0  adrp	x19, #0xfffffff00a3b6000
0xfffffff009a13918: 73422e91  add	x19, x19, #0xb90
0xfffffff009a1391c: 68024039  ldrb	w8, [x19]
0xfffffff009a13920: 28010036  tbz	w8, #0, #0xfffffff009a13944
0xfffffff009a13924: 2ce89297  bl	#0xfffffff007ecd9d4
0xfffffff009a13928: e0000035  cbnz	w0, #0xfffffff009a13944
0xfffffff009a1392c: 68dffef0  adrp	x8, #0xfffffff007602000
0xfffffff009a13930: 088d3391  add	x8, x8, #0xce3
0xfffffff009a13934: e80300f9  str	x8, [sp]
0xfffffff009a13938: 60dffef0  adrp	x0, #0xfffffff007602000
0xfffffff009a1393c: 00343691  add	x0, x0, #0xd8d
0xfffffff009a13940: b80da597  bl	#0xfffffff008357020
0xfffffff009a13944: 96578052  mov	w22, #0x2bc
0xfffffff009a13948: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff009a1394c: 68024039  ldrb	w8, [x19]
0xfffffff009a13950: 48080836  tbz	w8, #1, #0xfffffff009a13a58
0xfffffff009a13954: 68dffef0  adrp	x8, #0xfffffff007602000
0xfffffff009a13958: 088d3391  add	x8, x8, #0xce3
0xfffffff009a1395c: e80300f9  str	x8, [sp]
0xfffffff009a13960: 60dffef0  adrp	x0, #0xfffffff007602000
0xfffffff009a13964: 00343691  add	x0, x0, #0xd8d
0xfffffff009a13968: 16000014  b	#0xfffffff009a139c0
0xfffffff009a1396c: 134d00f0  adrp	x19, #0xfffffff00a3b6000
0xfffffff009a13970: 73422e91  add	x19, x19, #0xb90
0xfffffff009a13974: 68024039  ldrb	w8, [x19]
0xfffffff009a13978: 28010036  tbz	w8, #0, #0xfffffff009a1399c
0xfffffff009a1397c: 16e89297  bl	#0xfffffff007ecd9d4
0xfffffff009a13980: e0000035  cbnz	w0, #0xfffffff009a1399c
0xfffffff009a13984: 68dffef0  adrp	x8, #0xfffffff007602000
0xfffffff009a13988: 088d3391  add	x8, x8, #0xce3
0xfffffff009a1398c: e80300f9  str	x8, [sp]
0xfffffff009a13990: 60dffef0  adrp	x0, #0xfffffff007602000
0xfffffff009a13994: 00d83491  add	x0, x0, #0xd36
0xfffffff009a13998: a20da597  bl	#0xfffffff008357020
0xfffffff009a1399c: 96578052  mov	w22, #0x2bc
0xfffffff009a139a0: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff009a139a4: 68024039  ldrb	w8, [x19]
0xfffffff009a139a8: 88050836  tbz	w8, #1, #0xfffffff009a13a58
0xfffffff009a139ac: 68dffef0  adrp	x8, #0xfffffff007602000
0xfffffff009a139b0: 088d3391  add	x8, x8, #0xce3
0xfffffff009a139b4: e80300f9  str	x8, [sp]
0xfffffff009a139b8: 60dffef0  adrp	x0, #0xfffffff007602000
0xfffffff009a139bc: 00d83491  add	x0, x0, #0xd36
0xfffffff009a139c0: e46ea997  bl	#0xfffffff00846f550
0xfffffff009a139c4: 25000014  b	#0xfffffff009a13a58
0xfffffff009a139c8: 60dffef0  adrp	x0, #0xfffffff007602000
0xfffffff009a139cc: 008c3291  add	x0, x0, #0xca3
0xfffffff009a139d0: 68dffef0  adrp	x8, #0xfffffff007602000
0xfffffff009a139d4: 088d3391  add	x8, x8, #0xce3
0xfffffff009a139d8: e80300a9  stp	x8, x0, [sp]
0xfffffff009a139dc: 60dffef0  adrp	x0, #0xfffffff007602000
