; Candidate 7928
; ADRP+ADD at VM 0xfffffff008887d54 (fileoff 0x1883d54): page=0x1fe962000 add_imm=0xe80

0xfffffff008887cd4: 26000014  b	#0xfffffff008887d6c
0xfffffff008887cd8: b5835af8  ldur	x21, [x29, #-0x58]
0xfffffff008887cdc: e00314aa  mov	x0, x20
0xfffffff008887ce0: e10316aa  mov	x1, x22
0xfffffff008887ce4: e20315aa  mov	x2, x21
0xfffffff008887ce8: 9c234994  bl	#0xfffffff009ad0b58
0xfffffff008887cec: 400a00b4  cbz	x0, #0xfffffff008887e34
0xfffffff008887cf0: 13008052  mov	w19, #0
0xfffffff008887cf4: 400300f9  str	x0, [x26]
0xfffffff008887cf8: 150400b5  cbnz	x21, #0xfffffff008887d78
0xfffffff008887cfc: 29000014  b	#0xfffffff008887da0
0xfffffff008887d00: 2bb10094  bl	#0xfffffff0088b41ac
0xfffffff008887d04: f30300aa  mov	x19, x0
0xfffffff008887d08: 80008052  mov	w0, #4
0xfffffff008887d0c: d1ceff97  bl	#0xfffffff00887b850
0xfffffff008887d10: f96b06a9  stp	x25, x26, [sp, #0x60]
0xfffffff008887d14: f76305a9  stp	x23, x24, [sp, #0x50]
0xfffffff008887d18: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008887d1c: 284dfff0  adrp	x8, #0xfffffff00722e000
0xfffffff008887d20: 08950391  add	x8, x8, #0xe5
0xfffffff008887d24: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008887d28: 280e8052  mov	w8, #0x71
0xfffffff008887d2c: 294dfff0  adrp	x9, #0xfffffff00722e000
0xfffffff008887d30: 29550391  add	x9, x9, #0xd5
0xfffffff008887d34: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008887d38: 484dff90  adrp	x8, #0xfffffff00722f000
0xfffffff008887d3c: 087d0391  add	x8, x8, #0xdf
0xfffffff008887d40: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008887d44: 88098052  mov	w8, #0x4c
0xfffffff008887d48: a34effd0  adrp	x3, #0xfffffff00725d000
0xfffffff008887d4c: 63940391  add	x3, x3, #0xe5
0xfffffff008887d50: f32300a9  stp	x19, x8, [sp]
0xfffffff008887d54: 004bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008887d58: 00003a91  add	x0, x0, #0xe80
0xfffffff008887d5c: 018cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008887d60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008887d64: 02008052  mov	w2, #0
0xfffffff008887d68: f2acea97  bl	#0xfffffff008333130
0xfffffff008887d6c: 137d8012  mov	w19, #-0x3e9
0xfffffff008887d70: b5835af8  ldur	x21, [x29, #-0x58]
0xfffffff008887d74: 750100b4  cbz	x21, #0xfffffff008887da0
0xfffffff008887d78: b00240f9  ldr	x16, [x21]
0xfffffff008887d7c: f10315aa  mov	x17, x21
0xfffffff008887d80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008887d84: 301ac1da  autda	x16, x17
0xfffffff008887d88: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008887d8c: e90310aa  mov	x9, x16
0xfffffff008887d90: e00315aa  mov	x0, x21
0xfffffff008887d94: f10309aa  mov	x17, x9
0xfffffff008887d98: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008887d9c: 11093fd7  blraa	x8, x17
0xfffffff008887da0: e00313aa  mov	x0, x19
0xfffffff008887da4: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff008887da8: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff008887dac: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff008887db0: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff008887db4: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff008887db8: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff008887dbc: ff830391  add	sp, sp, #0xe0
0xfffffff008887dc0: ff0f5fd6  retab	
0xfffffff008887dc4: fab00094  bl	#0xfffffff0088b41ac
0xfffffff008887dc8: f40300aa  mov	x20, x0
0xfffffff008887dcc: 80008052  mov	w0, #4
0xfffffff008887dd0: a0ceff97  bl	#0xfffffff00887b850
