; Candidate 9374
; ADRP+ADD at VM 0xfffffff008a34a74 (fileoff 0x1a30a74): page=0x1fe865000 add_imm=0xe40

0xfffffff008a349f4: 5543ffd0  adrp	x21, #0xfffffff00729e000
0xfffffff008a349f8: b5aa0191  add	x21, x21, #0x6a
0xfffffff008a349fc: f5d300a9  stp	x21, x20, [sp, #8]
0xfffffff008a34a00: e00300f9  str	x0, [sp]
0xfffffff008a34a04: 2043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a34a08: 00003991  add	x0, x0, #0xe40
0xfffffff008a34a0c: a180fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a34a10: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a34a14: 6343ffb0  adrp	x3, #0xfffffff0072a1000
0xfffffff008a34a18: 638c0291  add	x3, x3, #0xa3
0xfffffff008a34a1c: 02028052  mov	w2, #0x10
0xfffffff008a34a20: c4f9e397  bl	#0xfffffff008333130
0xfffffff008a34a24: e00313aa  mov	x0, x19
0xfffffff008a34a28: 8490f097  bl	#0xfffffff008658c38
0xfffffff008a34a2c: f5d300a9  stp	x21, x20, [sp, #8]
0xfffffff008a34a30: e00300f9  str	x0, [sp]
0xfffffff008a34a34: 4043ffd0  adrp	x0, #0xfffffff00729e000
0xfffffff008a34a38: 00e00191  add	x0, x0, #0x78
0xfffffff008a34a3c: 7989e497  bl	#0xfffffff008357020
0xfffffff008a34a40: 145b8052  mov	w20, #0x2d8
0xfffffff008a34a44: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a34a48: 1a000014  b	#0xfffffff008a34ab0
0xfffffff008a34a4c: e00313aa  mov	x0, x19
0xfffffff008a34a50: 7a90f097  bl	#0xfffffff008658c38
0xfffffff008a34a54: e00313aa  mov	x0, x19
0xfffffff008a34a58: 7890f097  bl	#0xfffffff008658c38
0xfffffff008a34a5c: f50314aa  mov	x21, x20
0xfffffff008a34a60: b8638052  mov	w24, #0x31d
0xfffffff008a34a64: f85701a9  stp	x24, x21, [sp, #0x10]
0xfffffff008a34a68: 5943ffd0  adrp	x25, #0xfffffff00729e000
0xfffffff008a34a6c: 39ab0191  add	x25, x25, #0x6a
0xfffffff008a34a70: e06700a9  stp	x0, x25, [sp]
0xfffffff008a34a74: 2043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a34a78: 00003991  add	x0, x0, #0xe40
0xfffffff008a34a7c: a180fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a34a80: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a34a84: 6343ffb0  adrp	x3, #0xfffffff0072a1000
0xfffffff008a34a88: 63fc0291  add	x3, x3, #0xbf
0xfffffff008a34a8c: 02028052  mov	w2, #0x10
0xfffffff008a34a90: a8f9e397  bl	#0xfffffff008333130
0xfffffff008a34a94: e00313aa  mov	x0, x19
0xfffffff008a34a98: 6890f097  bl	#0xfffffff008658c38
0xfffffff008a34a9c: f85701a9  stp	x24, x21, [sp, #0x10]
0xfffffff008a34aa0: e06700a9  stp	x0, x25, [sp]
0xfffffff008a34aa4: 4043ffd0  adrp	x0, #0xfffffff00729e000
0xfffffff008a34aa8: 00540291  add	x0, x0, #0x95
0xfffffff008a34aac: 5d89e497  bl	#0xfffffff008357020
0xfffffff008a34ab0: e00313aa  mov	x0, x19
0xfffffff008a34ab4: 9b76f097  bl	#0xfffffff008652520
0xfffffff008a34ab8: e80240b9  ldr	w8, [x23]
0xfffffff008a34abc: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008a34ac0: 00010054  b.eq	#0xfffffff008a34ae0
0xfffffff008a34ac4: e203002a  mov	w2, w0
0xfffffff008a34ac8: c0060011  add	w0, w22, #1
0xfffffff008a34acc: e10313aa  mov	x1, x19
0xfffffff008a34ad0: 030080d2  mov	x3, #0
0xfffffff008a34ad4: 040080d2  mov	x4, #0
0xfffffff008a34ad8: 050080d2  mov	x5, #0
0xfffffff008a34adc: 0a25dd97  bl	#0xfffffff00817df04
0xfffffff008a34ae0: e00314aa  mov	x0, x20
0xfffffff008a34ae4: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008a34ae8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008a34aec: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008a34af0: f85f44a9  ldp	x24, x23, [sp, #0x40]
