; Candidate 4435
; ADRP+ADD at VM 0xfffffff0087b1188 (fileoff 0x17ad188): page=0x1fe980000 add_imm=0xd90

0xfffffff0087b1108: ada560d3  ubfx	x13, x13, #0x20, #0xa
0xfffffff0087b110c: ab251633  bfi	w11, w13, #0xa, #0xa
0xfffffff0087b1110: 4ab10c91  add	x10, x10, #0x32c
0xfffffff0087b1114: 4aa560d3  ubfx	x10, x10, #0x20, #0xa
0xfffffff0087b1118: 4b250c33  bfi	w11, w10, #0x14, #0xa
0xfffffff0087b111c: 2cc103f8  stur	x12, [x9, #0x3c]
0xfffffff0087b1120: 0b1506b9  str	w11, [x8, #0x614]
0xfffffff0087b1124: c0035fd6  ret	
0xfffffff0087b1128: 7f2303d5  pacibsp	
0xfffffff0087b112c: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087b1130: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087b1134: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087b1138: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087b113c: fdc30091  add	x29, sp, #0x30
0xfffffff0087b1140: 081041b9  ldr	w8, [x0, #0x110]
0xfffffff0087b1144: 090c8052  mov	w9, #0x60
0xfffffff0087b1148: 0801099b  madd	x8, x8, x9, x0
0xfffffff0087b114c: 09a94b79  ldrh	w9, [x8, #0x5d4]
0xfffffff0087b1150: 0a118052  mov	w10, #0x88
0xfffffff0087b1154: 29010a9b  madd	x9, x9, x10, x0
0xfffffff0087b1158: 339d40f9  ldr	x19, [x9, #0x138]
0xfffffff0087b115c: 08ad4b79  ldrh	w8, [x8, #0x5d6]
0xfffffff0087b1160: 16150012  and	w22, w8, #0x3f
0xfffffff0087b1164: 68364079  ldrh	w8, [x19, #0x1a]
0xfffffff0087b1168: 1f010071  cmp	w8, #0
0xfffffff0087b116c: f5079f1a  cset	w21, ne
0xfffffff0087b1170: f4139f5a  csetm	w20, eq
0xfffffff0087b1174: a8010035  cbnz	w8, #0xfffffff0087b11a8
0xfffffff0087b1178: a84b8052  mov	w8, #0x25d
0xfffffff0087b117c: 494dffb0  adrp	x9, #0xfffffff00715a000
0xfffffff0087b1180: 297d0691  add	x9, x9, #0x19f
0xfffffff0087b1184: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b1188: 004cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b118c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b1190: 6192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b1194: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b1198: c34cffd0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b119c: 63182891  add	x3, x3, #0xa06
0xfffffff0087b11a0: 02008052  mov	w2, #0
0xfffffff0087b11a4: e307ee97  bl	#0xfffffff008333130
0xfffffff0087b11a8: 0a1f8652  mov	w10, #0x30f8
0xfffffff0087b11ac: 4a00a072  movk	w10, #2, lsl #16
0xfffffff0087b11b0: 88028352  mov	w8, #0x1814
0xfffffff0087b11b4: cb7e081b  mul	w11, w22, w8
0xfffffff0087b11b8: 68010a0b  add	w8, w11, w10
0xfffffff0087b11bc: 29008052  mov	w9, #1
0xfffffff0087b11c0: 899fa072  movk	w9, #0x4fc, lsl #16
0xfffffff0087b11c4: 0901092a  orr	w9, w8, w9
0xfffffff0087b11c8: 690200b9  str	w9, [x19]
0xfffffff0087b11cc: 08111411  add	w8, w8, #0x504
0xfffffff0087b11d0: 083d1e12  and	w8, w8, #0x3fffc
0xfffffff0087b11d4: 29008052  mov	w9, #1
0xfffffff0087b11d8: 8900a072  movk	w9, #4, lsl #16
0xfffffff0087b11dc: 0801092a  orr	w8, w8, w9
0xfffffff0087b11e0: 689a05b9  str	w8, [x19, #0x598]
0xfffffff0087b11e4: 69da4779  ldrh	w9, [x19, #0x3ec]
0xfffffff0087b11e8: 6cde4779  ldrh	w12, [x19, #0x3ee]
0xfffffff0087b11ec: 8c7d099b  mul	x12, x12, x9
0xfffffff0087b11f0: 9f090071  cmp	w12, #2
0xfffffff0087b11f4: c3000054  b.lo	#0xfffffff0087b120c
0xfffffff0087b11f8: 69921691  add	x9, x19, #0x5a4
0xfffffff0087b11fc: 8c0500d1  sub	x12, x12, #1
0xfffffff0087b1200: 28c500b8  str	w8, [x9], #0xc
0xfffffff0087b1204: 8c0500f1  subs	x12, x12, #1
