; Candidate 3968
; ADRP+ADD at VM 0xfffffff00877979c (fileoff 0x177579c): page=0x1fe9b8000 add_imm=0xd90

0xfffffff00877971c: 4a050011  add	w10, w10, #1
0xfffffff008779720: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff008779724: 4b1d0011  add	w11, w10, #7
0xfffffff008779728: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff00877972c: 3f050071  cmp	w9, #1
0xfffffff008779730: 49018b1a  csel	w9, w10, w11, eq
0xfffffff008779734: 3f210071  cmp	w9, #8
0xfffffff008779738: 88020054  b.hi	#0xfffffff008779788
0xfffffff00877973c: e80300aa  mov	x8, x0
0xfffffff008779740: f00309aa  mov	x16, x9
0xfffffff008779744: 1f2200f1  cmp	x16, #8
0xfffffff008779748: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00877974c: 11000090  adrp	x17, #0xfffffff008779000
0xfffffff008779750: 31722291  add	x17, x17, #0x89c
0xfffffff008779754: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008779758: 11000010  adr	x17, #0xfffffff008779758
0xfffffff00877975c: 3002108b  add	x16, x17, x16
0xfffffff008779760: 00021fd6  br	x16
0xfffffff008779764: 9f2403d5  bti	j
0xfffffff008779768: 00008052  mov	w0, #0
0xfffffff00877976c: 29fc0011  add	w9, w1, #0x3f
0xfffffff008779770: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008779774: 099922b9  str	w9, [x8, #0x2298]
0xfffffff008779778: 29781f53  lsl	w9, w1, #1
0xfffffff00877977c: 41000014  b	#0xfffffff008779880
0xfffffff008779780: 00008052  mov	w0, #0
0xfffffff008779784: 43000014  b	#0xfffffff008779890
0xfffffff008779788: 9f2403d5  bti	j
0xfffffff00877978c: 28210011  add	w8, w9, #8
0xfffffff008779790: a94effd0  adrp	x9, #0xfffffff00714f000
0xfffffff008779794: 29351b91  add	x9, x9, #0x6cd
0xfffffff008779798: e92300a9  stp	x9, x8, [sp]
0xfffffff00877979c: c04dff90  adrp	x0, #0xfffffff007131000
0xfffffff0087797a0: 00403691  add	x0, x0, #0xd90
0xfffffff0087797a4: 2194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087797a8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087797ac: 434efff0  adrp	x3, #0xfffffff007144000
0xfffffff0087797b0: 63f42f91  add	x3, x3, #0xbfd
0xfffffff0087797b4: 02008052  mov	w2, #0
0xfffffff0087797b8: 5ee6ee97  bl	#0xfffffff008333130
0xfffffff0087797bc: 00008012  mov	w0, #-1
0xfffffff0087797c0: 34000014  b	#0xfffffff008779890
0xfffffff0087797c4: 9f2403d5  bti	j
0xfffffff0087797c8: 00008052  mov	w0, #0
0xfffffff0087797cc: 29080011  add	w9, w1, #2
0xfffffff0087797d0: 6a559552  mov	w10, #0xaaab
0xfffffff0087797d4: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff0087797d8: 297daa9b  umull	x9, w9, w10
0xfffffff0087797dc: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0087797e0: 29791f53  lsl	w9, w9, #1
0xfffffff0087797e4: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff0087797e8: 29fd0011  add	w9, w9, #0x3f
0xfffffff0087797ec: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0087797f0: 099922b9  str	w9, [x8, #0x2298]
0xfffffff0087797f4: 29781f53  lsl	w9, w1, #1
0xfffffff0087797f8: 2909c41a  udiv	w9, w9, w4
0xfffffff0087797fc: 29150011  add	w9, w9, #5
0xfffffff008779800: 297daa9b  umull	x9, w9, w10
0xfffffff008779804: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008779808: 29791f53  lsl	w9, w9, #1
0xfffffff00877980c: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff008779810: 1d000014  b	#0xfffffff008779884
0xfffffff008779814: 9f2403d5  bti	j
0xfffffff008779818: 00008052  mov	w0, #0
