; Candidate 1043
; ADRP+ADD at VM 0xfffffff0081ba194 (fileoff 0x11b6194): page=0x1feec9000 add_imm=0xd80

0xfffffff0081ba114: 330100b4  cbz	x19, #0xfffffff0081ba138
0xfffffff0081ba118: 60420091  add	x0, x19, #0x10
0xfffffff0081ba11c: 08008012  mov	w8, #-1
0xfffffff0081ba120: 080068b8  ldaddl	w8, w8, [x0]
0xfffffff0081ba124: 68020034  cbz	w8, #0xfffffff0081ba170
0xfffffff0081ba128: 01050071  subs	w1, w8, #1
0xfffffff0081ba12c: 40020054  b.eq	#0xfffffff0081ba174
0xfffffff0081ba130: e00313aa  mov	x0, x19
0xfffffff0081ba134: 397bf097  bl	#0xfffffff007dd8e18
0xfffffff0081ba138: f30f40f9  ldr	x19, [sp, #0x18]
0xfffffff0081ba13c: 68621191  add	x8, x19, #0x458
0xfffffff0081ba140: 29008052  mov	w9, #1
0xfffffff0081ba144: 08312978  ldseth	w9, w8, [x8]
0xfffffff0081ba148: 20008052  mov	w0, #1
0xfffffff0081ba14c: da65f097  bl	#0xfffffff007dd38b4
0xfffffff0081ba150: e00313aa  mov	x0, x19
0xfffffff0081ba154: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0081ba158: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0081ba15c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0081ba160: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0081ba164: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0081ba168: ffc30191  add	sp, sp, #0x70
0xfffffff0081ba16c: ff0f5fd6  retab	
0xfffffff0081ba170: 1b980b94  bl	#0xfffffff0084a01dc
0xfffffff0081ba174: 68420091  add	x8, x19, #0x10
0xfffffff0081ba178: 1fc1bfb8  ldapr	wzr, [x8]
0xfffffff0081ba17c: edffff17  b	#0xfffffff0081ba130
0xfffffff0081ba180: 88398052  mov	w8, #0x1cc
0xfffffff0081ba184: 4976ffb0  adrp	x9, #0xfffffff007083000
0xfffffff0081ba188: 29d13591  add	x9, x9, #0xd74
0xfffffff0081ba18c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0081ba190: f40300f9  str	x20, [sp]
0xfffffff0081ba194: 4076ffb0  adrp	x0, #0xfffffff007083000
0xfffffff0081ba198: 00003691  add	x0, x0, #0xd80
0xfffffff0081ba19c: dc680b94  bl	#0xfffffff00849450c
0xfffffff0081ba1a0: 48108052  mov	w8, #0x82
0xfffffff0081ba1a4: 8974ffb0  adrp	x9, #0xfffffff00704b000
0xfffffff0081ba1a8: 29112091  add	x9, x9, #0x804
0xfffffff0081ba1ac: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0081ba1b0: f40300f9  str	x20, [sp]
0xfffffff0081ba1b4: 8074ffb0  adrp	x0, #0xfffffff00704b000
0xfffffff0081ba1b8: 002c1f91  add	x0, x0, #0x7cb
0xfffffff0081ba1bc: d4680b94  bl	#0xfffffff00849450c
0xfffffff0081ba1c0: 68c58052  mov	w8, #0x62b
0xfffffff0081ba1c4: 4976ffb0  adrp	x9, #0xfffffff007083000
0xfffffff0081ba1c8: 29593c91  add	x9, x9, #0xf16
0xfffffff0081ba1cc: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0081ba1d0: f30300f9  str	x19, [sp]
0xfffffff0081ba1d4: 4076ffb0  adrp	x0, #0xfffffff007083000
0xfffffff0081ba1d8: 006c3f91  add	x0, x0, #0xfdb
0xfffffff0081ba1dc: cc680b94  bl	#0xfffffff00849450c
0xfffffff0081ba1e0: 7f2303d5  pacibsp	
0xfffffff0081ba1e4: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff0081ba1e8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0081ba1ec: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0081ba1f0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0081ba1f4: fdc30091  add	x29, sp, #0x30
0xfffffff0081ba1f8: f30300aa  mov	x19, x0
0xfffffff0081ba1fc: a80f0094  bl	#0xfffffff0081be09c
0xfffffff0081ba200: a80201d0  adrp	x8, #0xfffffff00a210000
0xfffffff0081ba204: 080945f9  ldr	x8, [x8, #0xa10]
0xfffffff0081ba208: 082540f9  ldr	x8, [x8, #0x48]
0xfffffff0081ba20c: e00313aa  mov	x0, x19
0xfffffff0081ba210: d15785d2  mov	x17, #0x2abe
