; Candidate 6831
; ADRP+ADD at VM 0xfffffff008844da8 (fileoff 0x1840da8): page=0x1fe9a5000 add_imm=0xe80

0xfffffff008844d28: aada0094  bl	#0xfffffff00887b7d0
0xfffffff008844d2c: 99128052  mov	w25, #0x94
0xfffffff008844d30: d974a572  movk	w25, #0x2ba6, lsl #16
0xfffffff008844d34: 80060034  cbz	w0, #0xfffffff008844e04
0xfffffff008844d38: e00313aa  mov	x0, x19
0xfffffff008844d3c: b7da0094  bl	#0xfffffff00887b818
0xfffffff008844d40: 54010034  cbz	w20, #0xfffffff008844d68
0xfffffff008844d44: e82f40b9  ldr	w8, [sp, #0x2c]
0xfffffff008844d48: 1f011b72  tst	w8, #0x20
0xfffffff008844d4c: e8179f1a  cset	w8, eq
0xfffffff008844d50: 0800080a  and	w8, w0, w8
0xfffffff008844d54: 1f050071  cmp	w8, #1
0xfffffff008844d58: 81020054  b.ne	#0xfffffff008844da8
0xfffffff008844d5c: 004fff90  adrp	x0, #0xfffffff007224000
0xfffffff008844d60: 001c2391  add	x0, x0, #0x8c7
0xfffffff008844d64: 0f000014  b	#0xfffffff008844da0
0xfffffff008844d68: e82b40b9  ldr	w8, [sp, #0x28]
0xfffffff008844d6c: 1f011b72  tst	w8, #0x20
0xfffffff008844d70: e8179f1a  cset	w8, eq
0xfffffff008844d74: 1600080a  and	w22, w0, w8
0xfffffff008844d78: 0dbd0194  bl	#0xfffffff0088b41ac
0xfffffff008844d7c: f40300aa  mov	x20, x0
0xfffffff008844d80: e00315aa  mov	x0, x21
0xfffffff008844d84: b3da0094  bl	#0xfffffff00887b850
0xfffffff008844d88: df060071  cmp	w22, #1
0xfffffff008844d8c: 01020054  b.ne	#0xfffffff008844dcc
0xfffffff008844d90: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff008844d94: f40300f9  str	x20, [sp]
0xfffffff008844d98: 004fff90  adrp	x0, #0xfffffff007224000
0xfffffff008844d9c: 00282391  add	x0, x0, #0x8ca
0xfffffff008844da0: b0c9d597  bl	#0xfffffff007db7460
0xfffffff008844da4: 18000014  b	#0xfffffff008844e04
0xfffffff008844da8: 204dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008844dac: 00003a91  add	x0, x0, #0xe80
0xfffffff008844db0: 218eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008844db4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008844db8: 6350ff90  adrp	x3, #0xfffffff007250000
0xfffffff008844dbc: 63e41491  add	x3, x3, #0x539
0xfffffff008844dc0: 02008052  mov	w2, #0
0xfffffff008844dc4: dbb8eb97  bl	#0xfffffff008333130
0xfffffff008844dc8: 0f000014  b	#0xfffffff008844e04
0xfffffff008844dcc: f8bc0194  bl	#0xfffffff0088b41ac
0xfffffff008844dd0: f40300aa  mov	x20, x0
0xfffffff008844dd4: e00315aa  mov	x0, x21
0xfffffff008844dd8: 9eda0094  bl	#0xfffffff00887b850
0xfffffff008844ddc: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff008844de0: f40300f9  str	x20, [sp]
0xfffffff008844de4: 204dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008844de8: 00003a91  add	x0, x0, #0xe80
0xfffffff008844dec: 218eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008844df0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008844df4: 6350ff90  adrp	x3, #0xfffffff007250000
0xfffffff008844df8: 63ec1491  add	x3, x3, #0x53b
0xfffffff008844dfc: 02008052  mov	w2, #0
0xfffffff008844e00: ccb8eb97  bl	#0xfffffff008333130
0xfffffff008844e04: 20130011  add	w0, w25, #4
0xfffffff008844e08: c1018052  mov	w1, #0xe
0xfffffff008844e0c: 020080d2  mov	x2, #0
0xfffffff008844e10: 030080d2  mov	x3, #0
0xfffffff008844e14: 040080d2  mov	x4, #0
0xfffffff008844e18: 050080d2  mov	x5, #0
0xfffffff008844e1c: 3ae4e497  bl	#0xfffffff00817df04
0xfffffff008844e20: 00008052  mov	w0, #0
0xfffffff008844e24: fd7b48a9  ldp	x29, x30, [sp, #0x80]
