; Candidate 6586
; ADRP+ADD at VM 0xfffffff008834308 (fileoff 0x1830308): page=0x1fe9b5000 add_imm=0xe80

0xfffffff008834288: 008c0191  add	x0, x0, #0x63
0xfffffff00883428c: f42300a9  stp	x20, x8, [sp]
0xfffffff008834290: 740cd697  bl	#0xfffffff007db7460
0xfffffff008834294: 14008052  mov	w20, #0
0xfffffff008834298: 23000014  b	#0xfffffff008834324
0xfffffff00883429c: 680240f9  ldr	x8, [x19]
0xfffffff0088342a0: 1f3140b9  ldr	wzr, [x8, #0x30]
0xfffffff0088342a4: 1f3540b9  ldr	wzr, [x8, #0x34]
0xfffffff0088342a8: c1ff0194  bl	#0xfffffff0088b41ac
0xfffffff0088342ac: f40300aa  mov	x20, x0
0xfffffff0088342b0: c0008052  mov	w0, #6
0xfffffff0088342b4: 671d0194  bl	#0xfffffff00887b850
0xfffffff0088342b8: 680240f9  ldr	x8, [x19]
0xfffffff0088342bc: 690a40b9  ldr	w9, [x19, #8]
0xfffffff0088342c0: 0a3140b9  ldr	w10, [x8, #0x30]
0xfffffff0088342c4: 083540b9  ldr	w8, [x8, #0x34]
0xfffffff0088342c8: 6bd240b9  ldr	w11, [x19, #0xd0]
0xfffffff0088342cc: eb3b00f9  str	x11, [sp, #0x70]
0xfffffff0088342d0: eb0318aa  mov	x11, x24
0xfffffff0088342d4: fa2f06a9  stp	x26, x11, [sp, #0x60]
0xfffffff0088342d8: ea2305a9  stp	x10, x8, [sp, #0x50]
0xfffffff0088342dc: f76704a9  stp	x23, x25, [sp, #0x40]
0xfffffff0088342e0: e95b03a9  stp	x9, x22, [sp, #0x30]
0xfffffff0088342e4: a82a8052  mov	w8, #0x155
0xfffffff0088342e8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088342ec: 684fffd0  adrp	x8, #0xfffffff007222000
0xfffffff0088342f0: 08993f91  add	x8, x8, #0xfe6
0xfffffff0088342f4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088342f8: 280f8052  mov	w8, #0x79
0xfffffff0088342fc: c350ffb0  adrp	x3, #0xfffffff00724d000
0xfffffff008834300: 630c3091  add	x3, x3, #0xc03
0xfffffff008834304: f42300a9  stp	x20, x8, [sp]
0xfffffff008834308: a04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883430c: 00003a91  add	x0, x0, #0xe80
0xfffffff008834310: a18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008834314: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008834318: 02008052  mov	w2, #0
0xfffffff00883431c: 85fbeb97  bl	#0xfffffff008333130
0xfffffff008834320: 14008052  mov	w20, #0
0xfffffff008834324: 78d200b9  str	w24, [x19, #0xd0]
0xfffffff008834328: 200f8052  mov	w0, #0x79
0xfffffff00883432c: 01018052  mov	w1, #8
0xfffffff008834330: 281d0194  bl	#0xfffffff00887b7d0
0xfffffff008834334: c0040034  cbz	w0, #0xfffffff0088343cc
0xfffffff008834338: 200f8052  mov	w0, #0x79
0xfffffff00883433c: 371d0194  bl	#0xfffffff00887b818
0xfffffff008834340: f60300aa  mov	x22, x0
0xfffffff008834344: 9aff0194  bl	#0xfffffff0088b41ac
0xfffffff008834348: f50300aa  mov	x21, x0
0xfffffff00883434c: 00018052  mov	w0, #8
0xfffffff008834350: 401d0194  bl	#0xfffffff00887b850
0xfffffff008834354: 76010034  cbz	w22, #0xfffffff008834380
0xfffffff008834358: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00883435c: 684fffd0  adrp	x8, #0xfffffff007222000
0xfffffff008834360: 08993f91  add	x8, x8, #0xfe6
0xfffffff008834364: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008834368: 280f8052  mov	w8, #0x79
0xfffffff00883436c: f52300a9  stp	x21, x8, [sp]
0xfffffff008834370: 004fffb0  adrp	x0, #0xfffffff007215000
0xfffffff008834374: 00a81591  add	x0, x0, #0x56a
0xfffffff008834378: 3a0cd697  bl	#0xfffffff007db7460
0xfffffff00883437c: 14000014  b	#0xfffffff0088343cc
0xfffffff008834380: 8bff0194  bl	#0xfffffff0088b41ac
0xfffffff008834384: f50300aa  mov	x21, x0
