; Candidate 3283
; ADRP+ADD at VM 0xfffffff008728648 (fileoff 0x1724648): page=0x1fea09000 add_imm=0xd90

0xfffffff0087285c8: 83d7ff54  b.lo	#0xfffffff0087280b8
0xfffffff0087285cc: 09008052  mov	w9, #0
0xfffffff0087285d0: 08070051  sub	w8, w24, #1
0xfffffff0087285d4: ea0308aa  mov	x10, x8
0xfffffff0087285d8: 4b7d0153  lsr	w11, w10, #1
0xfffffff0087285dc: 29050051  sub	w9, w9, #1
0xfffffff0087285e0: 5f050071  cmp	w10, #1
0xfffffff0087285e4: ea030baa  mov	x10, x11
0xfffffff0087285e8: 88ffff54  b.hi	#0xfffffff0087285d8
0xfffffff0087285ec: aa8358f8  ldur	x10, [x29, #-0x78]
0xfffffff0087285f0: 4aa54b39  ldrb	w10, [x10, #0x2e9]
0xfffffff0087285f4: 2a2a0035  cbnz	w10, #0xfffffff008728b38
0xfffffff0087285f8: e103094b  neg	w1, w9
0xfffffff0087285fc: 686e40b9  ldr	w8, [x19, #0x6c]
0xfffffff008728600: 6aa640b9  ldr	w10, [x19, #0xa4]
0xfffffff008728604: 4a01094b  sub	w10, w10, w9
0xfffffff008728608: 6aa600b9  str	w10, [x19, #0xa4]
0xfffffff00872860c: 1525c91a  lsr	w21, w8, w9
0xfffffff008728610: e00313aa  mov	x0, x19
0xfffffff008728614: 02008052  mov	w2, #0
0xfffffff008728618: 1acbff97  bl	#0xfffffff00871b280
0xfffffff00872861c: 952a00b9  str	w21, [x20, #0x28]
0xfffffff008728620: bf02186b  cmp	w21, w24
0xfffffff008728624: a9270054  b.ls	#0xfffffff008728b18
0xfffffff008728628: 6851ffd0  adrp	x8, #0xfffffff007156000
0xfffffff00872862c: 08e91191  add	x8, x8, #0x47a
0xfffffff008728630: ff6302a9  stp	xzr, x24, [sp, #0x20]
0xfffffff008728634: e85701a9  stp	x8, x21, [sp, #0x10]
0xfffffff008728638: 48dd8152  mov	w8, #0xeea
0xfffffff00872863c: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728640: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008728644: e92300a9  stp	x9, x8, [sp]
0xfffffff008728648: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872864c: 00403691  add	x0, x0, #0xd90
0xfffffff008728650: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728654: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728658: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872865c: 638c0d91  add	x3, x3, #0x363
0xfffffff008728660: 02008052  mov	w2, #0
0xfffffff008728664: b32af097  bl	#0xfffffff008333130
0xfffffff008728668: 00008052  mov	w0, #0
0xfffffff00872866c: edfcff17  b	#0xfffffff008727a20
0xfffffff008728670: e83b40f9  ldr	x8, [sp, #0x70]
0xfffffff008728674: 080140b9  ldr	w8, [x8]
0xfffffff008728678: 68ecff35  cbnz	w8, #0xfffffff008728404
0xfffffff00872867c: e00313aa  mov	x0, x19
0xfffffff008728680: 5ed3ff97  bl	#0xfffffff00871d3f8
0xfffffff008728684: 805a02b9  str	w0, [x20, #0x258]
0xfffffff008728688: 1f3c0071  cmp	w0, #0xf
0xfffffff00872868c: c3ebff54  b.lo	#0xfffffff008728404
0xfffffff008728690: c8018052  mov	w8, #0xe
0xfffffff008728694: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728698: 29b11391  add	x9, x9, #0x4ec
0xfffffff00872869c: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff0087286a0: e90301a9  stp	x9, x0, [sp, #0x10]
0xfffffff0087286a4: a8e68152  mov	w8, #0xf35
0xfffffff0087286a8: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff0087286ac: 29b90a91  add	x9, x9, #0x2ae
0xfffffff0087286b0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087286b4: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087286b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087286bc: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087286c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087286c4: 8350ffd0  adrp	x3, #0xfffffff00713a000
