; Candidate 10050
; ADRP+ADD at VM 0xfffffff008c89ba8 (fileoff 0x1c85ba8): page=0x1fe6c5000 add_imm=0xd0d

0xfffffff008c89b28: 21f03391  add	x1, x1, #0xcfc
0xfffffff008c89b2c: e00313aa  mov	x0, x19
0xfffffff008c89b30: 02008052  mov	w2, #0
0xfffffff008c89b34: f10309aa  mov	x17, x9
0xfffffff008c89b38: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff008c89b3c: 11093fd7  blraa	x8, x17
0xfffffff008c89b40: 682e51b9  ldr	w8, [x19, #0x112c]
0xfffffff008c89b44: 693251b9  ldr	w9, [x19, #0x1130]
0xfffffff008c89b48: 1f01096b  cmp	w8, w9
0xfffffff008c89b4c: 40020054  b.eq	#0xfffffff008c89b94
0xfffffff008c89b50: 700240f9  ldr	x16, [x19]
0xfffffff008c89b54: f10313aa  mov	x17, x19
0xfffffff008c89b58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c89b5c: 301ac1da  autda	x16, x17
0xfffffff008c89b60: 118680d2  mov	x17, #0x430
0xfffffff008c89b64: 1002118b  add	x16, x16, x17
0xfffffff008c89b68: 080240f9  ldr	x8, [x16]
0xfffffff008c89b6c: e90310aa  mov	x9, x16
0xfffffff008c89b70: e00313aa  mov	x0, x19
0xfffffff008c89b74: 01268052  mov	w1, #0x130
0xfffffff008c89b78: 0100bc72  movk	w1, #0xe000, lsl #16
0xfffffff008c89b7c: 020080d2  mov	x2, #0
0xfffffff008c89b80: 030080d2  mov	x3, #0
0xfffffff008c89b84: f10309aa  mov	x17, x9
0xfffffff008c89b88: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff008c89b8c: 11093fd7  blraa	x8, x17
0xfffffff008c89b90: 682e51b9  ldr	w8, [x19, #0x112c]
0xfffffff008c89b94: 683211b9  str	w8, [x19, #0x1130]
0xfffffff008c89b98: 6effff17  b	#0xfffffff008c89950
0xfffffff008c89b9c: c8005036  tbz	w8, #0xa, #0xfffffff008c89bb4
0xfffffff008c89ba0: 88024039  ldrb	w8, [x20]
0xfffffff008c89ba4: e80300f9  str	x8, [sp]
0xfffffff008c89ba8: 2036ffb0  adrp	x0, #0xfffffff00734e000
0xfffffff008c89bac: 00343491  add	x0, x0, #0xd0d
0xfffffff008c89bb0: 1c35db97  bl	#0xfffffff008357020
0xfffffff008c89bb4: 700240f9  ldr	x16, [x19]
0xfffffff008c89bb8: f10313aa  mov	x17, x19
0xfffffff008c89bbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c89bc0: 301ac1da  autda	x16, x17
0xfffffff008c89bc4: 118680d2  mov	x17, #0x430
0xfffffff008c89bc8: 1002118b  add	x16, x16, x17
0xfffffff008c89bcc: 080240f9  ldr	x8, [x16]
0xfffffff008c89bd0: e40310aa  mov	x4, x16
0xfffffff008c89bd4: f00308aa  mov	x16, x8
0xfffffff008c89bd8: e00313aa  mov	x0, x19
0xfffffff008c89bdc: 01268052  mov	w1, #0x130
0xfffffff008c89be0: 0100bc72  movk	w1, #0xe000, lsl #16
0xfffffff008c89be4: 020080d2  mov	x2, #0
0xfffffff008c89be8: 030080d2  mov	x3, #0
0xfffffff008c89bec: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008c89bf0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008c89bf4: ffc30091  add	sp, sp, #0x30
0xfffffff008c89bf8: ff2303d5  autibsp	
0xfffffff008c89bfc: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008c89c00: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008c89c08
0xfffffff008c89c04: 208e38d4  brk	#0xc471
0xfffffff008c89c08: f10304aa  mov	x17, x4
0xfffffff008c89c0c: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff008c89c10: 110a1fd7  braa	x16, x17
0xfffffff008c89c14: 0c000000  udf	#0xc
0xfffffff008c89c18: e0000000  udf	#0xe0
0xfffffff008c89c1c: 0c010000  udf	#0x10c
0xfffffff008c89c20: 1c010000  udf	#0x11c
0xfffffff008c89c24: 7f2303d5  pacibsp	
