; Candidate 8694
; ADRP+ADD at VM 0xfffffff0088be564 (fileoff 0x18ba564): page=0x1fe92b000 add_imm=0xe80

0xfffffff0088be4e4: f10313aa  mov	x17, x19
0xfffffff0088be4e8: 71f7e2f2  movk	x17, #0x17bb, lsl #48
0xfffffff0088be4ec: 301ac1da  autda	x16, x17
0xfffffff0088be4f0: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0088be4f4: e90310aa  mov	x9, x16
0xfffffff0088be4f8: e00313aa  mov	x0, x19
0xfffffff0088be4fc: f10309aa  mov	x17, x9
0xfffffff0088be500: 719fe6f2  movk	x17, #0x34fb, lsl #48
0xfffffff0088be504: 11093fd7  blraa	x8, x17
0xfffffff0088be508: e00314aa  mov	x0, x20
0xfffffff0088be50c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088be510: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088be514: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088be518: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088be51c: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0088be520: ff430291  add	sp, sp, #0x90
0xfffffff0088be524: ff0f5fd6  retab	
0xfffffff0088be528: 14008052  mov	w20, #0
0xfffffff0088be52c: b3fdffb5  cbnz	x19, #0xfffffff0088be4e0
0xfffffff0088be530: f6ffff17  b	#0xfffffff0088be508
0xfffffff0088be534: 55731d12  and	w21, w26, #0xfffffff8
0xfffffff0088be538: 1dd7ff97  bl	#0xfffffff0088b41ac
0xfffffff0088be53c: f40300aa  mov	x20, x0
0xfffffff0088be540: e0008052  mov	w0, #7
0xfffffff0088be544: c3f4fe97  bl	#0xfffffff00887b850
0xfffffff0088be548: c89e61b9  ldr	w8, [x22, #0x219c]
0xfffffff0088be54c: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088be550: f5e702a9  stp	x21, x25, [sp, #0x28]
0xfffffff0088be554: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088be558: c8088052  mov	w8, #0x46
0xfffffff0088be55c: f42300a9  stp	x20, x8, [sp]
0xfffffff0088be560: e91300f9  str	x9, [sp, #0x20]
0xfffffff0088be564: 4049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088be568: 00003a91  add	x0, x0, #0xe80
0xfffffff0088be56c: 418affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088be570: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088be574: 434dff90  adrp	x3, #0xfffffff007266000
0xfffffff0088be578: 637c0a91  add	x3, x3, #0x29f
0xfffffff0088be57c: 02008052  mov	w2, #0
0xfffffff0088be580: ecd2e997  bl	#0xfffffff008333130
0xfffffff0088be584: 14008052  mov	w20, #0
0xfffffff0088be588: d6ffff17  b	#0xfffffff0088be4e0
0xfffffff0088be58c: 7f2303d5  pacibsp	
0xfffffff0088be590: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088be594: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088be598: fd430091  add	x29, sp, #0x10
0xfffffff0088be59c: f30300aa  mov	x19, x0
0xfffffff0088be5a0: 149f8a52  mov	w20, #0x54f8
0xfffffff0088be5a4: e81f8012  mov	w8, #-0x100
0xfffffff0088be5a8: 086834b8  str	w8, [x0, x20]
0xfffffff0088be5ac: 810000b4  cbz	x1, #0xfffffff0088be5bc
0xfffffff0088be5b0: e00313aa  mov	x0, x19
0xfffffff0088be5b4: 029f8a52  mov	w2, #0x54f8
0xfffffff0088be5b8: f638d297  bl	#0xfffffff007d4c990
0xfffffff0088be5bc: 740200b9  str	w20, [x19]
0xfffffff0088be5c0: 7fea04b9  str	wzr, [x19, #0x4e8]
0xfffffff0088be5c4: 60d23391  add	x0, x19, #0xcf4
0xfffffff0088be5c8: 01008052  mov	w1, #0
0xfffffff0088be5cc: 02808052  mov	w2, #0x400
0xfffffff0088be5d0: 7c39d297  bl	#0xfffffff007d4cbc0
0xfffffff0088be5d4: e00313aa  mov	x0, x19
0xfffffff0088be5d8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088be5dc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0088be5e0: ff0f5fd6  retab	
