; Candidate 7101
; ADRP+ADD at VM 0xfffffff008857960 (fileoff 0x1853960): page=0x1fe992000 add_imm=0xe80

0xfffffff0088578e0: e20315aa  mov	x2, x21
0xfffffff0088578e4: f9e1ff97  bl	#0xfffffff0088500c8
0xfffffff0088578e8: f60300aa  mov	x22, x0
0xfffffff0088578ec: 08d40f11  add	w8, w0, #0x3f5
0xfffffff0088578f0: 1f290071  cmp	w8, #0xa
0xfffffff0088578f4: c8000054  b.hi	#0xfffffff00885790c
0xfffffff0088578f8: 29008052  mov	w9, #1
0xfffffff0088578fc: 2821c81a  lsl	w8, w9, w8
0xfffffff008857900: 29888052  mov	w9, #0x441
0xfffffff008857904: 1f01096a  tst	w8, w9
0xfffffff008857908: 01190054  b.ne	#0xfffffff008857c28
0xfffffff00885790c: 96240035  cbnz	w22, #0xfffffff008857d9c
0xfffffff008857910: e00314aa  mov	x0, x20
0xfffffff008857914: e10315aa  mov	x1, x21
0xfffffff008857918: 42008052  mov	w2, #2
0xfffffff00885791c: 4a85fe97  bl	#0xfffffff0087f8e44
0xfffffff008857920: c2000014  b	#0xfffffff008857c28
0xfffffff008857924: 22720194  bl	#0xfffffff0088b41ac
0xfffffff008857928: f60300aa  mov	x22, x0
0xfffffff00885792c: e0008052  mov	w0, #7
0xfffffff008857930: c88f0094  bl	#0xfffffff00887b850
0xfffffff008857934: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008857938: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00885793c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008857940: 684efff0  adrp	x8, #0xfffffff007226000
0xfffffff008857944: 09e93291  add	x9, x8, #0xcba
0xfffffff008857948: 884eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885794c: 08811191  add	x8, x8, #0x460
0xfffffff008857950: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008857954: 880c8052  mov	w8, #0x64
0xfffffff008857958: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885795c: f60300f9  str	x22, [sp]
0xfffffff008857960: 804cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008857964: 00003a91  add	x0, x0, #0xe80
0xfffffff008857968: 818dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885796c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008857970: e34fffb0  adrp	x3, #0xfffffff007254000
0xfffffff008857974: 63480491  add	x3, x3, #0x112
0xfffffff008857978: 02008052  mov	w2, #0
0xfffffff00885797c: ed6deb97  bl	#0xfffffff008333130
0xfffffff008857980: f4f7ffb5  cbnz	x20, #0xfffffff00885787c
0xfffffff008857984: 800c8052  mov	w0, #0x64
0xfffffff008857988: 81008052  mov	w1, #4
0xfffffff00885798c: 918f0094  bl	#0xfffffff00887b7d0
0xfffffff008857990: a00b0034  cbz	w0, #0xfffffff008857b04
0xfffffff008857994: 800c8052  mov	w0, #0x64
0xfffffff008857998: a08f0094  bl	#0xfffffff00887b818
0xfffffff00885799c: f70300aa  mov	x23, x0
0xfffffff0088579a0: 03720194  bl	#0xfffffff0088b41ac
0xfffffff0088579a4: f60300aa  mov	x22, x0
0xfffffff0088579a8: 80008052  mov	w0, #4
0xfffffff0088579ac: a98f0094  bl	#0xfffffff00887b850
0xfffffff0088579b0: 57070034  cbz	w23, #0xfffffff008857a98
0xfffffff0088579b4: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088579b8: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff0088579bc: 694efff0  adrp	x9, #0xfffffff007226000
0xfffffff0088579c0: 2af10c91  add	x10, x9, #0x33c
0xfffffff0088579c4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088579c8: e8148152  mov	w8, #0x8a7
0xfffffff0088579cc: 694efff0  adrp	x9, #0xfffffff007226000
0xfffffff0088579d0: 29e93291  add	x9, x9, #0xcba
0xfffffff0088579d4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088579d8: 884eff90  adrp	x8, #0xfffffff007227000
0xfffffff0088579dc: 08811191  add	x8, x8, #0x460
