; Candidate 16712
; ADRP+ADD at VM 0xfffffff009f31a38 (fileoff 0x2f2da38): page=0x1fd92b000 add_imm=0xe40

0xfffffff009f319b8: 400f0035  cbnz	w0, #0xfffffff009f31ba0
0xfffffff009f319bc: 086340f9  ldr	x8, [x24, #0xc0]
0xfffffff009f319c0: 1fc102f9  str	xzr, [x8, #0x580]
0xfffffff009f319c4: 28008052  mov	w8, #1
0xfffffff009f319c8: e88700b9  str	w8, [sp, #0x84]
0xfffffff009f319cc: 22000014  b	#0xfffffff009f31a54
0xfffffff009f319d0: e00318aa  mov	x0, x24
0xfffffff009f319d4: a615fe97  bl	#0xfffffff009eb706c
0xfffffff009f319d8: a0f8ff34  cbz	w0, #0xfffffff009f318ec
0xfffffff009f319dc: fc0300aa  mov	x28, x0
0xfffffff009f319e0: 086740f9  ldr	x8, [x24, #0xc8]
0xfffffff009f319e4: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f319e8: e87301a9  stp	x8, x28, [sp, #0x10]
0xfffffff009f319ec: 09e88052  mov	w9, #0x740
0xfffffff009f319f0: 48c9fef0  adrp	x8, #0xfffffff00785c000
0xfffffff009f319f4: 08550e91  add	x8, x8, #0x395
0xfffffff009f319f8: e82700a9  stp	x8, x9, [sp]
0xfffffff009f319fc: 40c9fef0  adrp	x0, #0xfffffff00785c000
0xfffffff009f31a00: 00943d91  add	x0, x0, #0xf65
0xfffffff009f31a04: b037fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f31a08: 190080d2  mov	x25, #0
0xfffffff009f31a0c: 170080d2  mov	x23, #0
0xfffffff009f31a10: 84feff17  b	#0xfffffff009f31420
0xfffffff009f31a14: 08c34439  ldrb	w8, [x24, #0x130]
0xfffffff009f31a18: e8010034  cbz	w8, #0xfffffff009f31a54
0xfffffff009f31a1c: 086740f9  ldr	x8, [x24, #0xc8]
0xfffffff009f31a20: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f31a24: e86701a9  stp	x8, x25, [sp, #0x10]
0xfffffff009f31a28: c9d88052  mov	w9, #0x6c6
0xfffffff009f31a2c: 48c9fef0  adrp	x8, #0xfffffff00785c000
0xfffffff009f31a30: 08550e91  add	x8, x8, #0x395
0xfffffff009f31a34: e82700a9  stp	x8, x9, [sp]
0xfffffff009f31a38: 40c9fef0  adrp	x0, #0xfffffff00785c000
0xfffffff009f31a3c: 00003991  add	x0, x0, #0xe40
0xfffffff009f31a40: 8b37fd97  bl	#0xfffffff009e7f86c
0xfffffff009f31a44: 086340f9  ldr	x8, [x24, #0xc0]
0xfffffff009f31a48: 19c102f9  str	x25, [x8, #0x580]
0xfffffff009f31a4c: 08c74439  ldrb	w8, [x24, #0x131]
0xfffffff009f31a50: 88f6ff35  cbnz	w8, #0xfffffff009f31920
0xfffffff009f31a54: e00318aa  mov	x0, x24
0xfffffff009f31a58: 9a00fe97  bl	#0xfffffff009eb1cc0
0xfffffff009f31a5c: 60010034  cbz	w0, #0xfffffff009f31a88
0xfffffff009f31a60: 086740f9  ldr	x8, [x24, #0xc8]
0xfffffff009f31a64: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f31a68: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009f31a6c: 09dd8052  mov	w9, #0x6e8
0xfffffff009f31a70: 48c9fef0  adrp	x8, #0xfffffff00785c000
0xfffffff009f31a74: 08550e91  add	x8, x8, #0x395
0xfffffff009f31a78: e82700a9  stp	x8, x9, [sp]
0xfffffff009f31a7c: 40c9fef0  adrp	x0, #0xfffffff00785c000
0xfffffff009f31a80: 00f83b91  add	x0, x0, #0xefe
0xfffffff009f31a84: 9037fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f31a88: e88740b9  ldr	w8, [sp, #0x84]
0xfffffff009f31a8c: 28050036  tbz	w8, #0, #0xfffffff009f31b30
0xfffffff009f31a90: e00318aa  mov	x0, x24
0xfffffff009f31a94: b62f0094  bl	#0xfffffff009f3d96c
0xfffffff009f31a98: 03034ca9  ldp	x3, x0, [x24, #0xc0]
0xfffffff009f31a9c: 086842f9  ldr	x8, [x0, #0x4d0]
0xfffffff009f31aa0: 081940f9  ldr	x8, [x8, #0x30]
0xfffffff009f31aa4: 010080d2  mov	x1, #0
0xfffffff009f31aa8: 22008052  mov	w2, #1
0xfffffff009f31aac: 040080d2  mov	x4, #0
0xfffffff009f31ab0: 25008052  mov	w5, #1
0xfffffff009f31ab4: 51699fd2  mov	x17, #0xfb4a
