; Candidate 212
; ADRP+ADD at VM 0xfffffff007e33854 (fileoff 0xe2f854): page=0x239e000 add_imm=0xd20

0xfffffff007e337d4: e1820091  add	x1, x23, #0x20
0xfffffff007e337d8: 020340b9  ldr	w2, [x24]
0xfffffff007e337dc: 23008052  mov	w3, #1
0xfffffff007e337e0: 26fbff97  bl	#0xfffffff007e32478
0xfffffff007e337e4: e00a40f9  ldr	x0, [x23, #0x10]
0xfffffff007e337e8: e11240f9  ldr	x1, [x23, #0x20]
0xfffffff007e337ec: e20e40b9  ldr	w2, [x23, #0xc]
0xfffffff007e337f0: e30315aa  mov	x3, x21
0xfffffff007e337f4: 5b020094  bl	#0xfffffff007e34160
0xfffffff007e337f8: 080080d2  mov	x8, #0
0xfffffff007e337fc: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e33800: 6a4a41b9  ldr	w10, [x19, #0x148]
0xfffffff007e33804: 4a050011  add	w10, w10, #1
0xfffffff007e33808: 6a4a01b9  str	w10, [x19, #0x148]
0xfffffff007e3380c: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007e33810: 497fe8c8  casa	x8, x9, [x26]
0xfffffff007e33814: 1f0100f1  cmp	x8, #0
0xfffffff007e33818: e1010054  b.ne	#0xfffffff007e33854
0xfffffff007e3381c: ff0200f9  str	xzr, [x23]
0xfffffff007e33820: 68174db9  ldr	w8, [x27, #0xd14]
0xfffffff007e33824: 08050051  sub	w8, w8, #1
0xfffffff007e33828: 68170db9  str	w8, [x27, #0xd14]
0xfffffff007e3382c: 881a4db9  ldr	w8, [x20, #0xd18]
0xfffffff007e33830: 08050071  subs	w8, w8, #1
0xfffffff007e33834: 881a0db9  str	w8, [x20, #0xd18]
0xfffffff007e33838: a1f6ff54  b.ne	#0xfffffff007e3370c
0xfffffff007e3383c: 0c000014  b	#0xfffffff007e3386c
0xfffffff007e33840: e01c01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e33844: 00803491  add	x0, x0, #0xd20
0xfffffff007e33848: e10313aa  mov	x1, x19
0xfffffff007e3384c: c6e3fd97  bl	#0xfffffff007dac764
0xfffffff007e33850: e0ffff17  b	#0xfffffff007e337d0
0xfffffff007e33854: e01c01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e33858: 00803491  add	x0, x0, #0xd20
0xfffffff007e3385c: e10313aa  mov	x1, x19
0xfffffff007e33860: 42008052  mov	w2, #2
0xfffffff007e33864: a5e0fd97  bl	#0xfffffff007dabaf8
0xfffffff007e33868: edffff17  b	#0xfffffff007e3381c
0xfffffff007e3386c: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e33870: e20308aa  mov	x2, x8
0xfffffff007e33874: 5fffa288  casl	w2, wzr, [x26]
0xfffffff007e33878: 5f00086b  cmp	w2, w8
0xfffffff007e3387c: e13c0054  b.ne	#0xfffffff007e34018
0xfffffff007e33880: 68265839  ldrb	w8, [x19, #0x609]
0xfffffff007e33884: 68000034  cbz	w8, #0xfffffff007e33890
0xfffffff007e33888: 20008052  mov	w0, #1
0xfffffff007e3388c: 5b5a0494  bl	#0xfffffff007f4a1f8
0xfffffff007e33890: 080080d2  mov	x8, #0
0xfffffff007e33894: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e33898: 6a4a41b9  ldr	w10, [x19, #0x148]
0xfffffff007e3389c: 4a050011  add	w10, w10, #1
0xfffffff007e338a0: 6a4a01b9  str	w10, [x19, #0x148]
0xfffffff007e338a4: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007e338a8: 497fe8c8  casa	x8, x9, [x26]
0xfffffff007e338ac: 1f0100f1  cmp	x8, #0
0xfffffff007e338b0: 213c0054  b.ne	#0xfffffff007e34034
0xfffffff007e338b4: 881a4db9  ldr	w8, [x20, #0xd18]
0xfffffff007e338b8: 48e0ff35  cbnz	w8, #0xfffffff007e334c0
0xfffffff007e338bc: e91c01d0  adrp	x9, #0xfffffff00a1d1000
0xfffffff007e338c0: 29c13491  add	x9, x9, #0xd30
0xfffffff007e338c4: 280140f9  ldr	x8, [x9]
0xfffffff007e338c8: 1f0109eb  cmp	x8, x9
0xfffffff007e338cc: a1000054  b.ne	#0xfffffff007e338e0
0xfffffff007e338d0: e91c01d0  adrp	x9, #0xfffffff00a1d1000
