; Candidate 1648
; ADRP+ADD at VM 0xfffffff0084dc3b8 (fileoff 0x14d83b8): page=0x1ff4c4000 add_imm=0xd80

0xfffffff0084dc338: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0084dc33c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0084dc340: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0084dc344: ff030291  add	sp, sp, #0x80
0xfffffff0084dc348: ff0f5fd6  retab	
0xfffffff0084dc34c: 5f2403d5  bti	c
0xfffffff0084dc350: c0ef00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff0084dc354: 00c02191  add	x0, x0, #0x870
0xfffffff0084dc358: c0035fd6  ret	
0xfffffff0084dc35c: 7f2303d5  pacibsp	
0xfffffff0084dc360: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0084dc364: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084dc368: fd430091  add	x29, sp, #0x10
0xfffffff0084dc36c: f30300aa  mov	x19, x0
0xfffffff0084dc370: 3a9c4e94  bl	#0xfffffff009883458
0xfffffff0084dc374: 20a6ff90  adrp	x0, #0xfffffff0079a0000
0xfffffff0084dc378: 00003691  add	x0, x0, #0xd80
0xfffffff0084dc37c: e10313aa  mov	x1, x19
0xfffffff0084dc380: 02048152  mov	w2, #0x820
0xfffffff0084dc384: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0084dc388: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0084dc38c: ff2303d5  autibsp	
0xfffffff0084dc390: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0084dc394: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0084dc39c
0xfffffff0084dc398: 208e38d4  brk	#0xc471
0xfffffff0084dc39c: c02cf817  b	#0xfffffff0082e769c
0xfffffff0084dc3a0: 5f2403d5  bti	c
0xfffffff0084dc3a4: 2d9c4e14  b	#0xfffffff009883458
0xfffffff0084dc3a8: 7f2303d5  pacibsp	
0xfffffff0084dc3ac: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0084dc3b0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084dc3b4: fd430091  add	x29, sp, #0x10
0xfffffff0084dc3b8: 20a6ff90  adrp	x0, #0xfffffff0079a0000
0xfffffff0084dc3bc: 00003691  add	x0, x0, #0xd80
0xfffffff0084dc3c0: 01048152  mov	w1, #0x820
0xfffffff0084dc3c4: 9d2cf897  bl	#0xfffffff0082e7638
0xfffffff0084dc3c8: f30300aa  mov	x19, x0
0xfffffff0084dc3cc: d4ef00d0  adrp	x20, #0xfffffff00a2d6000
0xfffffff0084dc3d0: 94c22191  add	x20, x20, #0x870
0xfffffff0084dc3d4: e10314aa  mov	x1, x20
0xfffffff0084dc3d8: 069c4e94  bl	#0xfffffff0098833f0
0xfffffff0084dc3dc: 30a6ff90  adrp	x16, #0xfffffff0079a0000
0xfffffff0084dc3e0: 10a20e91  add	x16, x16, #0x3a8
0xfffffff0084dc3e4: 10420091  add	x16, x16, #0x10
0xfffffff0084dc3e8: f10300aa  mov	x17, x0
0xfffffff0084dc3ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084dc3f0: 300ac1da  pacda	x16, x17
0xfffffff0084dc3f4: 100000f9  str	x16, [x0]
0xfffffff0084dc3f8: 1f702039  strb	wzr, [x0, #0x81c]
0xfffffff0084dc3fc: e00314aa  mov	x0, x20
0xfffffff0084dc400: 4d23f897  bl	#0xfffffff0082e5134
0xfffffff0084dc404: e00313aa  mov	x0, x19
0xfffffff0084dc408: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0084dc40c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0084dc410: ff0f5fd6  retab	
0xfffffff0084dc414: 5f2403d5  bti	c
0xfffffff0084dc418: b720f817  b	#0xfffffff0082e46f4
0xfffffff0084dc41c: 5f2403d5  bti	c
0xfffffff0084dc420: b520f817  b	#0xfffffff0082e46f4
0xfffffff0084dc424: 7f2303d5  pacibsp	
0xfffffff0084dc428: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084dc42c: fd030091  mov	x29, sp
0xfffffff0084dc430: 2060ffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084dc434: 00603791  add	x0, x0, #0xdd8
