; Candidate 8730
; ADRP+ADD at VM 0xfffffff0088c070c (fileoff 0x18bc70c): page=0x1fe929000 add_imm=0xe80

0xfffffff0088c068c: 28000014  b	#0xfffffff0088c072c
0xfffffff0088c0690: 13008052  mov	w19, #0
0xfffffff0088c0694: 58000014  b	#0xfffffff0088c07f4
0xfffffff0088c0698: f60301aa  mov	x22, x1
0xfffffff0088c069c: 28a44039  ldrb	w8, [x1, #0x29]
0xfffffff0088c06a0: 880b0034  cbz	w8, #0xfffffff0088c0810
0xfffffff0088c06a4: 7f0200b9  str	wzr, [x19]
0xfffffff0088c06a8: ff0200b9  str	wzr, [x23]
0xfffffff0088c06ac: 13008052  mov	w19, #0
0xfffffff0088c06b0: 88120011  add	w8, w20, #4
0xfffffff0088c06b4: 29008052  mov	w9, #1
0xfffffff0088c06b8: 2821c81a  lsl	w8, w9, w8
0xfffffff0088c06bc: e87603b9  str	w8, [x23, #0x374]
0xfffffff0088c06c0: 4d000014  b	#0xfffffff0088c07f4
0xfffffff0088c06c4: baceff97  bl	#0xfffffff0088b41ac
0xfffffff0088c06c8: f40300aa  mov	x20, x0
0xfffffff0088c06cc: 80008052  mov	w0, #4
0xfffffff0088c06d0: 60ecfe97  bl	#0xfffffff00887b850
0xfffffff0088c06d4: 08ff4279  ldrh	w8, [x24, #0x17e]
0xfffffff0088c06d8: e8cf03a9  stp	x8, x19, [sp, #0x38]
0xfffffff0088c06dc: a94bffd0  adrp	x9, #0xfffffff007236000
0xfffffff0088c06e0: 2aa12291  add	x10, x9, #0x8a8
0xfffffff0088c06e4: 08168152  mov	w8, #0x8b0
0xfffffff0088c06e8: 894affb0  adrp	x9, #0xfffffff007211000
0xfffffff0088c06ec: 29892c91  add	x9, x9, #0xb22
0xfffffff0088c06f0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088c06f4: a84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088c06f8: 083d3791  add	x8, x8, #0xdcf
0xfffffff0088c06fc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088c0700: 08098052  mov	w8, #0x48
0xfffffff0088c0704: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088c0708: f40300f9  str	x20, [sp]
0xfffffff0088c070c: 4049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c0710: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c0714: 418aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088c0718: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c071c: 234dffd0  adrp	x3, #0xfffffff007266000
0xfffffff0088c0720: 63c42b91  add	x3, x3, #0xaf1
0xfffffff0088c0724: 02008052  mov	w2, #0
0xfffffff0088c0728: 82cae997  bl	#0xfffffff008333130
0xfffffff0088c072c: 137d8012  mov	w19, #-0x3e9
0xfffffff0088c0730: 00098052  mov	w0, #0x48
0xfffffff0088c0734: 81008052  mov	w1, #4
0xfffffff0088c0738: 26ecfe97  bl	#0xfffffff00887b7d0
0xfffffff0088c073c: c0050034  cbz	w0, #0xfffffff0088c07f4
0xfffffff0088c0740: 00098052  mov	w0, #0x48
0xfffffff0088c0744: 35ecfe97  bl	#0xfffffff00887b818
0xfffffff0088c0748: f50300aa  mov	x21, x0
0xfffffff0088c074c: 98ceff97  bl	#0xfffffff0088b41ac
0xfffffff0088c0750: f40300aa  mov	x20, x0
0xfffffff0088c0754: 80008052  mov	w0, #4
0xfffffff0088c0758: 3eecfe97  bl	#0xfffffff00887b850
0xfffffff0088c075c: f5010034  cbz	w21, #0xfffffff0088c0798
0xfffffff0088c0760: c81c8152  mov	w8, #0x8e6
0xfffffff0088c0764: 894affb0  adrp	x9, #0xfffffff007211000
0xfffffff0088c0768: 29892c91  add	x9, x9, #0xb22
0xfffffff0088c076c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088c0770: a84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088c0774: 083d3791  add	x8, x8, #0xdcf
0xfffffff0088c0778: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088c077c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088c0780: 08098052  mov	w8, #0x48
0xfffffff0088c0784: a04bffd0  adrp	x0, #0xfffffff007236000
0xfffffff0088c0788: 00402491  add	x0, x0, #0x910
