; Candidate 2959
; ADRP+ADD at VM 0xfffffff0086f8a08 (fileoff 0x16f4a08): page=0x1fea39000 add_imm=0xd90

0xfffffff0086f8988: e2830291  add	x2, sp, #0xa0
0xfffffff0086f898c: e00314aa  mov	x0, x20
0xfffffff0086f8990: f36f40b9  ldr	w19, [sp, #0x6c]
0xfffffff0086f8994: e10313aa  mov	x1, x19
0xfffffff0086f8998: 03008052  mov	w3, #0
0xfffffff0086f899c: f10309aa  mov	x17, x9
0xfffffff0086f89a0: 71fae8f2  movk	x17, #0x47d3, lsl #48
0xfffffff0086f89a4: 11093fd7  blraa	x8, x17
0xfffffff0086f89a8: 40020036  tbz	w0, #0, #0xfffffff0086f89f0
0xfffffff0086f89ac: f54b00f9  str	x21, [sp, #0x90]
0xfffffff0086f89b0: 9f0235b9  str	wzr, [x20, #0x3500]
0xfffffff0086f89b4: 930635b9  str	w19, [x20, #0x3504]
0xfffffff0086f89b8: e95340f9  ldr	x9, [sp, #0xa0]
0xfffffff0086f89bc: 28210091  add	x8, x9, #8
0xfffffff0086f89c0: 891604f9  str	x9, [x20, #0x828]
0xfffffff0086f89c4: 88861af9  str	x8, [x20, #0x3508]
0xfffffff0086f89c8: 400f40fd  ldr	d0, [x26, #0x18]
0xfffffff0086f89cc: 20410afc  stur	d0, [x9, #0xa4]
0xfffffff0086f89d0: 930675b9  ldr	w19, [x20, #0x3504]
0xfffffff0086f89d4: 29114239  ldrb	w9, [x9, #0x84]
0xfffffff0086f89d8: 89420cb9  str	w9, [x20, #0xc40]
0xfffffff0086f89dc: 89264039  ldrb	w9, [x20, #9]
0xfffffff0086f89e0: 958e5af9  ldr	x21, [x20, #0x3518]
0xfffffff0086f89e4: 29040034  cbz	w9, #0xfffffff0086f8a68
0xfffffff0086f89e8: 150500b5  cbnz	x21, #0xfffffff0086f8a88
0xfffffff0086f89ec: 24000014  b	#0xfffffff0086f8a7c
0xfffffff0086f89f0: 9f861af9  str	xzr, [x20, #0x3508]
0xfffffff0086f89f4: e80318aa  mov	x8, x24
0xfffffff0086f89f8: fba300a9  stp	x27, x8, [sp, #8]
0xfffffff0086f89fc: c852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0086f8a00: 08491591  add	x8, x8, #0x552
0xfffffff0086f8a04: e80300f9  str	x8, [sp]
0xfffffff0086f8a08: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f8a0c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f8a10: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f8a14: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f8a18: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f8a1c: 63303091  add	x3, x3, #0xc0c
0xfffffff0086f8a20: 02008052  mov	w2, #0
0xfffffff0086f8a24: c3e9f097  bl	#0xfffffff008333130
0xfffffff0086f8a28: 0affff17  b	#0xfffffff0086f8650
0xfffffff0086f8a2c: 9f8e1af9  str	xzr, [x20, #0x3518]
0xfffffff0086f8a30: e80318aa  mov	x8, x24
0xfffffff0086f8a34: fba300a9  stp	x27, x8, [sp, #8]
0xfffffff0086f8a38: c852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0086f8a3c: 08491591  add	x8, x8, #0x552
0xfffffff0086f8a40: e80300f9  str	x8, [sp]
0xfffffff0086f8a44: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f8a48: 00403691  add	x0, x0, #0xd90
0xfffffff0086f8a4c: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f8a50: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f8a54: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f8a58: 63002f91  add	x3, x3, #0xbc0
0xfffffff0086f8a5c: 02008052  mov	w2, #0
0xfffffff0086f8a60: b4e9f097  bl	#0xfffffff008333130
0xfffffff0086f8a64: fbfeff17  b	#0xfffffff0086f8650
0xfffffff0086f8a68: b50000b4  cbz	x21, #0xfffffff0086f8a7c
0xfffffff0086f8a6c: a17640b9  ldr	w1, [x21, #0x74]
0xfffffff0086f8a70: 77020094  bl	#0xfffffff0086f944c
0xfffffff0086f8a74: e80315aa  mov	x8, x21
0xfffffff0086f8a78: 02000014  b	#0xfffffff0086f8a80
0xfffffff0086f8a7c: 00008052  mov	w0, #0
0xfffffff0086f8a80: 803e0cb9  str	w0, [x20, #0xc3c]
0xfffffff0086f8a84: f50308aa  mov	x21, x8
