; Candidate 741
; ADRP+ADD at VM 0xfffffff008062088 (fileoff 0x105e088): page=0x1ff00c000 add_imm=0xeb2

0xfffffff008062008: 09684639  ldrb	w9, [x0, #0x19a]
0xfffffff00806200c: 3f051b72  tst	w9, #0x60
0xfffffff008062010: 80010054  b.eq	#0xfffffff008062040
0xfffffff008062014: 089c41b9  ldr	w8, [x0, #0x19c]
0xfffffff008062018: 1f414071  cmp	w8, #0x10, lsl #12
0xfffffff00806201c: e2010054  b.hs	#0xfffffff008062058
0xfffffff008062020: 09a041b9  ldr	w9, [x0, #0x1a0]
0xfffffff008062024: 3f414071  cmp	w9, #0x10, lsl #12
0xfffffff008062028: 42020054  b.hs	#0xfffffff008062070
0xfffffff00806202c: 1f01096b  cmp	w8, w9
0xfffffff008062030: 0881891a  csel	w8, w8, w9, hi
0xfffffff008062034: 1f010071  cmp	w8, #0
0xfffffff008062038: e9ff9f52  mov	w9, #0xffff
0xfffffff00806203c: 2801881a  csel	w8, w9, w8, eq
0xfffffff008062040: 083d0012  and	w8, w8, #0xffff
0xfffffff008062044: 1f711771  cmp	w8, #0x5dc
0xfffffff008062048: 89bb8052  mov	w9, #0x5dc
0xfffffff00806204c: 0081891a  csel	w0, w8, w9, hi
0xfffffff008062050: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008062054: ff0f5fd6  retab	
0xfffffff008062058: 6080ff90  adrp	x0, #0xfffffff00706e000
0xfffffff00806205c: 00e03b91  add	x0, x0, #0xef8
0xfffffff008062060: 6180ff90  adrp	x1, #0xfffffff00706e000
0xfffffff008062064: 21142a91  add	x1, x1, #0xa85
0xfffffff008062068: c2a38052  mov	w2, #0x51e
0xfffffff00806206c: eaf51094  bl	#0xfffffff00849f814
0xfffffff008062070: 6080ff90  adrp	x0, #0xfffffff00706e000
0xfffffff008062074: 00643c91  add	x0, x0, #0xf19
0xfffffff008062078: 6180ff90  adrp	x1, #0xfffffff00706e000
0xfffffff00806207c: 21142a91  add	x1, x1, #0xa85
0xfffffff008062080: e2a38052  mov	w2, #0x51f
0xfffffff008062084: e4f51094  bl	#0xfffffff00849f814
0xfffffff008062088: 6080ff90  adrp	x0, #0xfffffff00706e000
0xfffffff00806208c: 00c83a91  add	x0, x0, #0xeb2
0xfffffff008062090: 6180ff90  adrp	x1, #0xfffffff00706e000
0xfffffff008062094: 21142a91  add	x1, x1, #0xa85
0xfffffff008062098: a2a18052  mov	w2, #0x50d
0xfffffff00806209c: def51094  bl	#0xfffffff00849f814
0xfffffff0080620a0: 7f2303d5  pacibsp	
0xfffffff0080620a4: ff4301d1  sub	sp, sp, #0x50
0xfffffff0080620a8: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0080620ac: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0080620b0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0080620b4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0080620b8: fd030191  add	x29, sp, #0x40
0xfffffff0080620bc: f30301aa  mov	x19, x1
0xfffffff0080620c0: f40300aa  mov	x20, x0
0xfffffff0080620c4: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff0080620c8: e0030091  mov	x0, sp
0xfffffff0080620cc: c0480694  bl	#0xfffffff0081f43cc
0xfffffff0080620d0: 08409952  mov	w8, #0xca00
0xfffffff0080620d4: 4873a772  movk	w8, #0x3b9a, lsl #16
0xfffffff0080620d8: e92b40a9  ldp	x9, x10, [sp]
0xfffffff0080620dc: 3529089b  madd	x21, x9, x8, x10
0xfffffff0080620e0: f60313aa  mov	x22, x19
0xfffffff0080620e4: c10e42f8  ldr	x1, [x22, #0x20]!
0xfffffff0080620e8: 210100b4  cbz	x1, #0xfffffff00806210c
0xfffffff0080620ec: 373040f9  ldr	x23, [x1, #0x60]
0xfffffff0080620f0: e00314aa  mov	x0, x20
0xfffffff0080620f4: 020080d2  mov	x2, #0
0xfffffff0080620f8: 030080d2  mov	x3, #0
0xfffffff0080620fc: e40315aa  mov	x4, x21
0xfffffff008062100: 18ffff97  bl	#0xfffffff008061d60
0xfffffff008062104: e10317aa  mov	x1, x23
