; Candidate 10839
; ADRP+ADD at VM 0xfffffff008de9134 (fileoff 0x1de5134): page=0x1fe5db000 add_imm=0xe15

0xfffffff008de90b4: 285b8052  mov	w8, #0x2d9
0xfffffff008de90b8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de90bc: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de90c0: 08493991  add	x8, x8, #0xe52
0xfffffff008de90c4: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de90c8: 29d13691  add	x9, x9, #0xdb4
0xfffffff008de90cc: e86f01a9  stp	x8, x27, [sp, #0x10]
0xfffffff008de90d0: e97f00a9  stp	x9, xzr, [sp]
0xfffffff008de90d4: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de90d8: 00543891  add	x0, x0, #0xe15
0xfffffff008de90dc: d1b7d597  bl	#0xfffffff008357020
0xfffffff008de90e0: 160080d2  mov	x22, #0
0xfffffff008de90e4: 15008052  mov	w21, #0
0xfffffff008de90e8: 36000014  b	#0xfffffff008de91c0
0xfffffff008de90ec: c85c8052  mov	w8, #0x2e6
0xfffffff008de90f0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de90f4: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de90f8: 08493991  add	x8, x8, #0xe52
0xfffffff008de90fc: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9100: 29d13691  add	x9, x9, #0xdb4
0xfffffff008de9104: 28000014  b	#0xfffffff008de91a4
0xfffffff008de9108: 087f4093  sxtw	x8, w24
0xfffffff008de910c: 895d8052  mov	w9, #0x2ec
0xfffffff008de9110: e91300f9  str	x9, [sp, #0x20]
0xfffffff008de9114: c92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de9118: 29493991  add	x9, x9, #0xe52
0xfffffff008de911c: ca2efff0  adrp	x10, #0xfffffff0073c4000
0xfffffff008de9120: 4af13a91  add	x10, x10, #0xebc
0xfffffff008de9124: cb2effb0  adrp	x11, #0xfffffff0073c2000
0xfffffff008de9128: 6be92e91  add	x11, x11, #0xbba
0xfffffff008de912c: e92f01a9  stp	x9, x11, [sp, #0x10]
0xfffffff008de9130: ea2300a9  stp	x10, x8, [sp]
0xfffffff008de9134: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de9138: 00543891  add	x0, x0, #0xe15
0xfffffff008de913c: b9b7d597  bl	#0xfffffff008357020
0xfffffff008de9140: f40316aa  mov	x20, x22
0xfffffff008de9144: f60315aa  mov	x22, x21
0xfffffff008de9148: f51b40f9  ldr	x21, [sp, #0x30]
0xfffffff008de914c: 1e000014  b	#0xfffffff008de91c4
0xfffffff008de9150: e85b8052  mov	w8, #0x2df
0xfffffff008de9154: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9158: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de915c: 08493991  add	x8, x8, #0xe52
0xfffffff008de9160: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9164: 29213991  add	x9, x9, #0xe48
0xfffffff008de9168: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de916c: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de9170: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff008de9174: e97f00a9  stp	x9, xzr, [sp]
0xfffffff008de9178: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de917c: 00543891  add	x0, x0, #0xe15
0xfffffff008de9180: a8b7d597  bl	#0xfffffff008357020
0xfffffff008de9184: 78008012  mov	w24, #-4
0xfffffff008de9188: 0f000014  b	#0xfffffff008de91c4
0xfffffff008de918c: 085c8052  mov	w8, #0x2e0
0xfffffff008de9190: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9194: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9198: 08493991  add	x8, x8, #0xe52
0xfffffff008de919c: c92effd0  adrp	x9, #0xfffffff0073c3000
0xfffffff008de91a0: 29e90191  add	x9, x9, #0x7a
0xfffffff008de91a4: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de91a8: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de91ac: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff008de91b0: e97f00a9  stp	x9, xzr, [sp]
