; Candidate 1334
; ADRP+ADD at VM 0xfffffff008354cb8 (fileoff 0x1350cb8): page=0x1fed4f000 add_imm=0xd29

0xfffffff008354c38: 3f310271  cmp	w9, #0x8c
0xfffffff008354c3c: 63100054  b.lo	#0xfffffff008354e48
0xfffffff008354c40: 760000b4  cbz	x22, #0xfffffff008354c4c
0xfffffff008354c44: 1f510971  cmp	w8, #0x254
0xfffffff008354c48: 03100054  b.lo	#0xfffffff008354e48
0xfffffff008354c4c: f54246f8  ldur	x21, [x23, #0x64]
0xfffffff008354c50: 350200b4  cbz	x21, #0xfffffff008354c94
0xfffffff008354c54: b00240f9  ldr	x16, [x21]
0xfffffff008354c58: f10315aa  mov	x17, x21
0xfffffff008354c5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008354c60: 301ac1da  autda	x16, x17
0xfffffff008354c64: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008354c68: e90310aa  mov	x9, x16
0xfffffff008354c6c: e00315aa  mov	x0, x21
0xfffffff008354c70: f10309aa  mov	x17, x9
0xfffffff008354c74: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008354c78: 11093fd7  blraa	x8, x17
0xfffffff008354c7c: 28f600b0  adrp	x8, #0xfffffff00a219000
0xfffffff008354c80: 08a10c91  add	x8, x8, #0x328
0xfffffff008354c84: 1f0008eb  cmp	x0, x8
0xfffffff008354c88: 80110054  b.eq	#0xfffffff008354eb8
0xfffffff008354c8c: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff008354c90: a0ffffb5  cbnz	x0, #0xfffffff008354c84
0xfffffff008354c94: 730e0011  add	w19, w19, #3
0xfffffff008354c98: 6c000014  b	#0xfffffff008354e48
0xfffffff008354c9c: e9578052  mov	w9, #0x2bf
0xfffffff008354ca0: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff008354ca4: 2a0040f9  ldr	x10, [x1]
0xfffffff008354ca8: 4a1d40b9  ldr	w10, [x10, #0x1c]
0xfffffff008354cac: 33210011  add	w19, w9, #8
0xfffffff008354cb0: 5f01086b  cmp	w10, w8
0xfffffff008354cb4: a00c0054  b.eq	#0xfffffff008354e48
0xfffffff008354cb8: 606afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff008354cbc: 00a43491  add	x0, x0, #0xd29
0xfffffff008354cc0: 143afe97  bl	#0xfffffff0082e3510
0xfffffff008354cc4: 61000014  b	#0xfffffff008354e48
0xfffffff008354cc8: f3578052  mov	w19, #0x2bf
0xfffffff008354ccc: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008354cd0: 280040f9  ldr	x8, [x1]
0xfffffff008354cd4: 092140b9  ldr	w9, [x8, #0x20]
0xfffffff008354cd8: 3f050071  cmp	w9, #1
0xfffffff008354cdc: 610b0054  b.ne	#0xfffffff008354e48
0xfffffff008354ce0: 094144f8  ldur	x9, [x8, #0x44]
0xfffffff008354ce4: 3f0500f1  cmp	x9, #1
0xfffffff008354ce8: 010b0054  b.ne	#0xfffffff008354e48
0xfffffff008354cec: 291040b9  ldr	w9, [x1, #0x10]
0xfffffff008354cf0: 3f710171  cmp	w9, #0x5c
0xfffffff008354cf4: a30a0054  b.lo	#0xfffffff008354e48
0xfffffff008354cf8: 350440f9  ldr	x21, [x1, #8]
0xfffffff008354cfc: 950000b4  cbz	x21, #0xfffffff008354d0c
0xfffffff008354d00: 291440b9  ldr	w9, [x1, #0x14]
0xfffffff008354d04: 3ff10071  cmp	w9, #0x3c
0xfffffff008354d08: 030a0054  b.lo	#0xfffffff008354e48
0xfffffff008354d0c: 014145f8  ldur	x1, [x8, #0x54]
0xfffffff008354d10: e00314aa  mov	x0, x20
0xfffffff008354d14: 173a0394  bl	#0xfffffff008423570
0xfffffff008354d18: f30300aa  mov	x19, x0
0xfffffff008354d1c: 60090035  cbnz	w0, #0xfffffff008354e48
0xfffffff008354d20: e865ff90  adrp	x8, #0xfffffff007010000
0xfffffff008354d24: 0035c33d  ldr	q0, [x8, #0xcd0]
0xfffffff008354d28: a042823c  stur	q0, [x21, #0x24]
0xfffffff008354d2c: 88078052  mov	w8, #0x3c
0xfffffff008354d30: a80600b9  str	w8, [x21, #4]
0xfffffff008354d34: c865fff0  adrp	x8, #0xfffffff00700f000
