; Candidate 8259
; ADRP+ADD at VM 0xfffffff00889f638 (fileoff 0x189b638): page=0x1fe991000 add_imm=0xdbd

0xfffffff00889f5b8: 76820c91  add	x22, x19, #0x320
0xfffffff00889f5bc: e00316aa  mov	x0, x22
0xfffffff00889f5c0: 4041fe97  bl	#0xfffffff00882fac0
0xfffffff00889f5c4: 400400b4  cbz	x0, #0xfffffff00889f64c
0xfffffff00889f5c8: f50300aa  mov	x21, x0
0xfffffff00889f5cc: d940fe97  bl	#0xfffffff00882f930
0xfffffff00889f5d0: a00f8052  mov	w0, #0x7d
0xfffffff00889f5d4: 01018052  mov	w1, #8
0xfffffff00889f5d8: 7e70ff97  bl	#0xfffffff00887b7d0
0xfffffff00889f5dc: 800a0034  cbz	w0, #0xfffffff00889f72c
0xfffffff00889f5e0: a00f8052  mov	w0, #0x7d
0xfffffff00889f5e4: 8d70ff97  bl	#0xfffffff00887b818
0xfffffff00889f5e8: f90300aa  mov	x25, x0
0xfffffff00889f5ec: f0520094  bl	#0xfffffff0088b41ac
0xfffffff00889f5f0: f70300aa  mov	x23, x0
0xfffffff00889f5f4: 00018052  mov	w0, #8
0xfffffff00889f5f8: 9670ff97  bl	#0xfffffff00887b850
0xfffffff00889f5fc: f9050034  cbz	w25, #0xfffffff00889f6b8
0xfffffff00889f600: f80300aa  mov	x24, x0
0xfffffff00889f604: 790240b9  ldr	w25, [x19]
0xfffffff00889f608: e00316aa  mov	x0, x22
0xfffffff00889f60c: 0940fe97  bl	#0xfffffff00882f630
0xfffffff00889f610: e05704a9  stp	x0, x21, [sp, #0x40]
0xfffffff00889f614: f36703a9  stp	x19, x25, [sp, #0x30]
0xfffffff00889f618: a8588052  mov	w8, #0x2c5
0xfffffff00889f61c: 894cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889f620: 29f53491  add	x9, x9, #0xd3d
0xfffffff00889f624: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889f628: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f62c: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f630: f82301a9  stp	x24, x8, [sp, #0x10]
0xfffffff00889f634: a80f8052  mov	w8, #0x7d
0xfffffff00889f638: 804cffb0  adrp	x0, #0xfffffff007230000
0xfffffff00889f63c: 00f43691  add	x0, x0, #0xdbd
0xfffffff00889f640: f72300a9  stp	x23, x8, [sp]
0xfffffff00889f644: 875fd497  bl	#0xfffffff007db7460
0xfffffff00889f648: 39000014  b	#0xfffffff00889f72c
0xfffffff00889f64c: a00f8052  mov	w0, #0x7d
0xfffffff00889f650: a1008052  mov	w1, #5
0xfffffff00889f654: 5f70ff97  bl	#0xfffffff00887b7d0
0xfffffff00889f658: 600d0034  cbz	w0, #0xfffffff00889f804
0xfffffff00889f65c: a00f8052  mov	w0, #0x7d
0xfffffff00889f660: 6e70ff97  bl	#0xfffffff00887b818
0xfffffff00889f664: f60300aa  mov	x22, x0
0xfffffff00889f668: d1520094  bl	#0xfffffff0088b41ac
0xfffffff00889f66c: f50300aa  mov	x21, x0
0xfffffff00889f670: a0008052  mov	w0, #5
0xfffffff00889f674: 7770ff97  bl	#0xfffffff00887b850
0xfffffff00889f678: 96090034  cbz	w22, #0xfffffff00889f7a8
0xfffffff00889f67c: 680240b9  ldr	w8, [x19]
0xfffffff00889f680: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00889f684: 68578052  mov	w8, #0x2bb
0xfffffff00889f688: 894cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889f68c: 29f53491  add	x9, x9, #0xd3d
0xfffffff00889f690: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889f694: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f698: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f69c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889f6a0: a80f8052  mov	w8, #0x7d
0xfffffff00889f6a4: 804cffb0  adrp	x0, #0xfffffff007230000
0xfffffff00889f6a8: 00243691  add	x0, x0, #0xd89
0xfffffff00889f6ac: f52300a9  stp	x21, x8, [sp]
0xfffffff00889f6b0: 6c5fd497  bl	#0xfffffff007db7460
0xfffffff00889f6b4: 54000014  b	#0xfffffff00889f804
