; Candidate 4536
; ADRP+ADD at VM 0xfffffff0087b9da0 (fileoff 0x17b5da0): page=0x1fe978000 add_imm=0xd90

0xfffffff0087b9d20: 09008092  mov	x9, #-1
0xfffffff0087b9d24: 2921da9a  lsl	x9, x9, x26
0xfffffff0087b9d28: e90329aa  mvn	x9, x9
0xfffffff0087b9d2c: 1f0109eb  cmp	x8, x9
0xfffffff0087b9d30: 8c160054  b.gt	#0xfffffff0087ba000
0xfffffff0087b9d34: 297f4093  sxtw	x9, w25
0xfffffff0087b9d38: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087b9d3c: 0aad40b9  ldr	w10, [x8, #0xac]
0xfffffff0087b9d40: eb03202a  mvn	w11, w0
0xfffffff0087b9d44: 8c23d41a  lsl	w12, w28, w20
0xfffffff0087b9d48: 8b010b0b  add	w11, w12, w11
0xfffffff0087b9d4c: 6a010a0b  add	w10, w11, w10
0xfffffff0087b9d50: 4b0dcc1a  sdiv	w11, w10, w12
0xfffffff0087b9d54: 6aa90c1b  msub	w10, w11, w12, w10
0xfffffff0087b9d58: 0909098b  add	x9, x8, x9, lsl #2
0xfffffff0087b9d5c: 290540b9  ldr	w9, [x9, #4]
0xfffffff0087b9d60: 5f01096b  cmp	w10, w9
0xfffffff0087b9d64: c1b3ff54  b.ne	#0xfffffff0087b93dc
0xfffffff0087b9d68: f7060091  add	x23, x23, #1
0xfffffff0087b9d6c: ff1e00f1  cmp	x23, #7
0xfffffff0087b9d70: 41f7ff54  b.ne	#0xfffffff0087b9c58
0xfffffff0087b9d74: 09314239  ldrb	w9, [x8, #0x8c]
0xfffffff0087b9d78: 89270034  cbz	w9, #0xfffffff0087ba268
0xfffffff0087b9d7c: e00313aa  mov	x0, x19
0xfffffff0087b9d80: f3050094  bl	#0xfffffff0087bb54c
0xfffffff0087b9d84: 1f040031  cmn	w0, #1
0xfffffff0087b9d88: f81740f9  ldr	x24, [sp, #0x28]
0xfffffff0087b9d8c: c1270054  b.ne	#0xfffffff0087ba284
0xfffffff0087b9d90: c9008152  mov	w9, #0x806
0xfffffff0087b9d94: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b9d98: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b9d9c: e82700a9  stp	x8, x9, [sp]
0xfffffff0087b9da0: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9da4: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9da8: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9dac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9db0: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9db4: 63803e91  add	x3, x3, #0xfa0
0xfffffff0087b9db8: 02008052  mov	w2, #0
0xfffffff0087b9dbc: dde4ed97  bl	#0xfffffff008333130
0xfffffff0087b9dc0: 87fdff17  b	#0xfffffff0087b93dc
0xfffffff0087b9dc4: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b9dc8: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b9dcc: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b9dd0: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9dd4: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9dd8: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9ddc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9de0: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9de4: 63003391  add	x3, x3, #0xcc0
0xfffffff0087b9de8: 02008052  mov	w2, #0
0xfffffff0087b9dec: d1e4ed97  bl	#0xfffffff008333130
0xfffffff0087b9df0: 7bfdff17  b	#0xfffffff0087b93dc
0xfffffff0087b9df4: 29008052  mov	w9, #1
0xfffffff0087b9df8: 2b21d41a  lsl	w11, w9, w20
0xfffffff0087b9dfc: 090080d2  mov	x9, #0
0xfffffff0087b9e00: 2a008052  mov	w10, #1
0xfffffff0087b9e04: 4a21d71a  lsl	w10, w10, w23
0xfffffff0087b9e08: 6b010a4b  sub	w11, w11, w10
0xfffffff0087b9e0c: f7031aaa  mov	x23, x26
0xfffffff0087b9e10: 0cad40b9  ldr	w12, [x8, #0xac]
0xfffffff0087b9e14: 8e010a4b  sub	w14, w12, w10
0xfffffff0087b9e18: 0d01098b  add	x13, x8, x9
0xfffffff0087b9e1c: ad0540b9  ldr	w13, [x13, #4]
