; Candidate 8594
; ADRP+ADD at VM 0xfffffff0088b3f10 (fileoff 0x18aff10): page=0x1fe936000 add_imm=0xe80

0xfffffff0088b3e90: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0088b3e94: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0088b3e98: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff0088b3e9c: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0088b3ea0: ff030391  add	sp, sp, #0xc0
0xfffffff0088b3ea4: ff0f5fd6  retab	
0xfffffff0088b3ea8: 80040034  cbz	w0, #0xfffffff0088b3f38
0xfffffff0088b3eac: e803164b  neg	w8, w22
0xfffffff0088b3eb0: 48042837  tbnz	w8, #5, #0xfffffff0088b3f38
0xfffffff0088b3eb4: 682640a9  ldp	x8, x9, [x19]
0xfffffff0088b3eb8: 6a2e4229  ldp	w10, w11, [x19, #0x10]
0xfffffff0088b3ebc: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff0088b3ec0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0088b3ec4: e8430191  add	x8, sp, #0x50
0xfffffff0088b3ec8: e84f00a9  stp	x8, x19, [sp]
0xfffffff0088b3ecc: 004cffd0  adrp	x0, #0xfffffff007235000
0xfffffff0088b3ed0: 00400991  add	x0, x0, #0x250
0xfffffff0088b3ed4: 630dd497  bl	#0xfffffff007db7460
0xfffffff0088b3ed8: 00008052  mov	w0, #0
0xfffffff0088b3edc: e7ffff17  b	#0xfffffff0088b3e78
0xfffffff0088b3ee0: b3000094  bl	#0xfffffff0088b41ac
0xfffffff0088b3ee4: f60300aa  mov	x22, x0
0xfffffff0088b3ee8: e00315aa  mov	x0, x21
0xfffffff0088b3eec: 591eff97  bl	#0xfffffff00887b850
0xfffffff0088b3ef0: 682640a9  ldp	x8, x9, [x19]
0xfffffff0088b3ef4: 6a2e4229  ldp	w10, w11, [x19, #0x10]
0xfffffff0088b3ef8: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff0088b3efc: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0088b3f00: e8430191  add	x8, sp, #0x50
0xfffffff0088b3f04: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b3f08: f48300a9  stp	x20, x0, [sp, #8]
0xfffffff0088b3f0c: f60300f9  str	x22, [sp]
0xfffffff0088b3f10: a049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b3f14: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b3f18: a18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b3f1c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b3f20: 834dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b3f24: 63c80091  add	x3, x3, #0x32
0xfffffff0088b3f28: 02008052  mov	w2, #0
0xfffffff0088b3f2c: 81fce997  bl	#0xfffffff008333130
0xfffffff0088b3f30: 00008052  mov	w0, #0
0xfffffff0088b3f34: d1ffff17  b	#0xfffffff0088b3e78
0xfffffff0088b3f38: 682640a9  ldp	x8, x9, [x19]
0xfffffff0088b3f3c: 6a2e4229  ldp	w10, w11, [x19, #0x10]
0xfffffff0088b3f40: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff0088b3f44: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0088b3f48: e8430191  add	x8, sp, #0x50
0xfffffff0088b3f4c: e84f00a9  stp	x8, x19, [sp]
0xfffffff0088b3f50: a049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b3f54: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b3f58: a18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b3f5c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b3f60: 834dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088b3f64: 63bc3f91  add	x3, x3, #0xfef
0xfffffff0088b3f68: 02008052  mov	w2, #0
0xfffffff0088b3f6c: 71fce997  bl	#0xfffffff008333130
0xfffffff0088b3f70: 00008052  mov	w0, #0
0xfffffff0088b3f74: c1ffff17  b	#0xfffffff0088b3e78
0xfffffff0088b3f78: b5a7d297  bl	#0xfffffff007d5de4c
0xfffffff0088b3f7c: 7f2303d5  pacibsp	
0xfffffff0088b3f80: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088b3f84: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088b3f88: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088b3f8c: fd7b06a9  stp	x29, x30, [sp, #0x60]
