; Candidate 15247
; ADRP+ADD at VM 0xfffffff009b43cdc (fileoff 0x2b3fcdc): page=0x1fdae5000 add_imm=0xed0

0xfffffff009b43c5c: 40000054  b.eq	#0xfffffff009b43c64
0xfffffff009b43c60: 408e38d4  brk	#0xc472
0xfffffff009b43c64: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b43c68: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b43c6c: e00313aa  mov	x0, x19
0xfffffff009b43c70: 010080d2  mov	x1, #0
0xfffffff009b43c74: f10308aa  mov	x17, x8
0xfffffff009b43c78: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b43c7c: 31093fd7  blraa	x9, x17
0xfffffff009b43c80: f50300aa  mov	x21, x0
0xfffffff009b43c84: 700240f9  ldr	x16, [x19]
0xfffffff009b43c88: f10313aa  mov	x17, x19
0xfffffff009b43c8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b43c90: 301ac1da  autda	x16, x17
0xfffffff009b43c94: f10310aa  mov	x17, x16
0xfffffff009b43c98: f147c1da  xpacd	x17
0xfffffff009b43c9c: 1f0211eb  cmp	x16, x17
0xfffffff009b43ca0: 40000054  b.eq	#0xfffffff009b43ca8
0xfffffff009b43ca4: 408e38d4  brk	#0xc472
0xfffffff009b43ca8: 08620891  add	x8, x16, #0x218
0xfffffff009b43cac: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b43cb0: e00313aa  mov	x0, x19
0xfffffff009b43cb4: 010080d2  mov	x1, #0
0xfffffff009b43cb8: f10308aa  mov	x17, x8
0xfffffff009b43cbc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b43cc0: 31093fd7  blraa	x9, x17
0xfffffff009b43cc4: 28d7fed0  adrp	x8, #0xfffffff007629000
0xfffffff009b43cc8: 08611a91  add	x8, x8, #0x698
0xfffffff009b43ccc: 29d7fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b43cd0: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b43cd4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b43cd8: f50300a9  stp	x21, x0, [sp]
0xfffffff009b43cdc: 20d7feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b43ce0: 00403b91  add	x0, x0, #0xed0
0xfffffff009b43ce4: 43d7fe90  adrp	x3, #0xfffffff00762b000
0xfffffff009b43ce8: 63e82b91  add	x3, x3, #0xafa
0xfffffff009b43cec: e10314aa  mov	x1, x20
0xfffffff009b43cf0: 02028052  mov	w2, #0x10
0xfffffff009b43cf4: 0fbd9f97  bl	#0xfffffff008333130
0xfffffff009b43cf8: c5000014  b	#0xfffffff009b4400c
0xfffffff009b43cfc: 68c641b9  ldr	w8, [x19, #0x1c4]
0xfffffff009b43d00: 49008052  mov	w9, #2
0xfffffff009b43d04: 0900a872  movk	w9, #0x4000, lsl #16
0xfffffff009b43d08: 3f01286a  bics	wzr, w9, w8
0xfffffff009b43d0c: a10e0054  b.ne	#0xfffffff009b43ee0
0xfffffff009b43d10: 63288e97  bl	#0xfffffff007ecde9c
0xfffffff009b43d14: 1f040071  cmp	w0, #1
0xfffffff009b43d18: 410e0054  b.ne	#0xfffffff009b43ee0
0xfffffff009b43d1c: 700240f9  ldr	x16, [x19]
0xfffffff009b43d20: f10313aa  mov	x17, x19
0xfffffff009b43d24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b43d28: 301ac1da  autda	x16, x17
0xfffffff009b43d2c: 113d80d2  mov	x17, #0x1e8
0xfffffff009b43d30: 1002118b  add	x16, x16, x17
0xfffffff009b43d34: 080240f9  ldr	x8, [x16]
0xfffffff009b43d38: e90310aa  mov	x9, x16
0xfffffff009b43d3c: e00313aa  mov	x0, x19
0xfffffff009b43d40: 010080d2  mov	x1, #0
0xfffffff009b43d44: f10309aa  mov	x17, x9
0xfffffff009b43d48: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b43d4c: 11093fd7  blraa	x8, x17
0xfffffff009b43d50: f40300aa  mov	x20, x0
0xfffffff009b43d54: 700240f9  ldr	x16, [x19]
0xfffffff009b43d58: f10313aa  mov	x17, x19
