; Candidate 8157
; ADRP+ADD at VM 0xfffffff00889839c (fileoff 0x189439c): page=0x1fe951000 add_imm=0xe80

0xfffffff00889831c: 482d8052  mov	w8, #0x16a
0xfffffff008898320: a94cfff0  adrp	x9, #0xfffffff00722f000
0xfffffff008898324: 29f52c91  add	x9, x9, #0xb3d
0xfffffff008898328: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889832c: a84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008898330: 08493991  add	x8, x8, #0xe52
0xfffffff008898334: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008898338: 280e8052  mov	w8, #0x71
0xfffffff00889833c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008898340: f40300f9  str	x20, [sp]
0xfffffff008898344: 804affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008898348: 00003a91  add	x0, x0, #0xe80
0xfffffff00889834c: 818bff90  adrp	x1, #0xfffffff007a08000
0xfffffff008898350: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008898354: 234efff0  adrp	x3, #0xfffffff00725f000
0xfffffff008898358: 630c3091  add	x3, x3, #0xc03
0xfffffff00889835c: 02008052  mov	w2, #0
0xfffffff008898360: 746bea97  bl	#0xfffffff008333130
0xfffffff008898364: 157d8012  mov	w21, #-0x3e9
0xfffffff008898368: 21000014  b	#0xfffffff0088983ec
0xfffffff00889836c: 906f0094  bl	#0xfffffff0088b41ac
0xfffffff008898370: f50300aa  mov	x21, x0
0xfffffff008898374: a0008052  mov	w0, #5
0xfffffff008898378: 368dff97  bl	#0xfffffff00887b850
0xfffffff00889837c: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff008898380: c92f8052  mov	w9, #0x17e
0xfffffff008898384: a84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008898388: 08f52c91  add	x8, x8, #0xb3d
0xfffffff00889838c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008898390: 280e8052  mov	w8, #0x71
0xfffffff008898394: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008898398: f50300f9  str	x21, [sp]
0xfffffff00889839c: 804affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088983a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088983a4: 818bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088983a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088983ac: 234efff0  adrp	x3, #0xfffffff00725f000
0xfffffff0088983b0: 63e43091  add	x3, x3, #0xc39
0xfffffff0088983b4: 02008052  mov	w2, #0
0xfffffff0088983b8: 5e6bea97  bl	#0xfffffff008333130
0xfffffff0088983bc: e00313aa  mov	x0, x19
0xfffffff0088983c0: e10314aa  mov	x1, x20
0xfffffff0088983c4: 26000094  bl	#0xfffffff00889845c
0xfffffff0088983c8: f50300aa  mov	x21, x0
0xfffffff0088983cc: 76c20191  add	x22, x19, #0x70
0xfffffff0088983d0: e00314aa  mov	x0, x20
0xfffffff0088983d4: e4c6ff97  bl	#0xfffffff008889f64
0xfffffff0088983d8: e10300aa  mov	x1, x0
0xfffffff0088983dc: e00316aa  mov	x0, x22
0xfffffff0088983e0: 155efe97  bl	#0xfffffff00882fc34
0xfffffff0088983e4: 600240f9  ldr	x0, [x19]
0xfffffff0088983e8: d550d497  bl	#0xfffffff007dac73c
0xfffffff0088983ec: e00315aa  mov	x0, x21
0xfffffff0088983f0: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088983f4: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088983f8: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088983fc: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008898400: ff430291  add	sp, sp, #0x90
0xfffffff008898404: ff0f5fd6  retab	
0xfffffff008898408: 696f0094  bl	#0xfffffff0088b41ac
0xfffffff00889840c: f60300aa  mov	x22, x0
0xfffffff008898410: a0008052  mov	w0, #5
0xfffffff008898414: 0f8dff97  bl	#0xfffffff00887b850
0xfffffff008898418: f3d302a9  stp	x19, x20, [sp, #0x28]
