; Candidate 3200
; ADRP+ADD at VM 0xfffffff00871be30 (fileoff 0x1717e30): page=0x1fea16000 add_imm=0xd90

0xfffffff00871bdb0: f6220b39  strb	w22, [x23, #0x2c8]
0xfffffff00871bdb4: 1505f8b7  tbnz	x21, #0x3f, #0xfffffff00871be54
0xfffffff00871bdb8: 08008052  mov	w8, #0
0xfffffff00871bdbc: 89aa4129  ldp	w9, w10, [x20, #0xc]
0xfffffff00871bdc0: 8b038052  mov	w11, #0x1c
0xfffffff00871bdc4: ec0241f9  ldr	x12, [x23, #0x200]
0xfffffff00871bdc8: 0d3d4092  and	x13, x8, #0xffff
0xfffffff00871bdcc: ad310b9b  madd	x13, x13, x11, x12
0xfffffff00871bdd0: aa610039  strb	w10, [x13, #0x18]
0xfffffff00871bdd4: 08050011  add	w8, w8, #1
0xfffffff00871bdd8: 3f21286b  cmp	w9, w8, uxth
0xfffffff00871bddc: 62ffff54  b.hs	#0xfffffff00871bdc8
0xfffffff00871bde0: 33000014  b	#0xfffffff00871beac
0xfffffff00871bde4: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871bde8: 00403691  add	x0, x0, #0xd90
0xfffffff00871bdec: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871bdf0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871bdf4: e350ffd0  adrp	x3, #0xfffffff007139000
0xfffffff00871bdf8: 63740091  add	x3, x3, #0x1d
0xfffffff00871bdfc: 02008052  mov	w2, #0
0xfffffff00871be00: cc5cf097  bl	#0xfffffff008333130
0xfffffff00871be04: b6feff17  b	#0xfffffff00871b8dc
0xfffffff00871be08: 081f0013  sxtb	w8, w24
0xfffffff00871be0c: e9078052  mov	w9, #0x3f
0xfffffff00871be10: ca51ffd0  adrp	x10, #0xfffffff007155000
0xfffffff00871be14: 4aa92d91  add	x10, x10, #0xb6a
0xfffffff00871be18: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff00871be1c: a9588052  mov	w9, #0x2c5
0xfffffff00871be20: cb51ffd0  adrp	x11, #0xfffffff007155000
0xfffffff00871be24: 6bf52c91  add	x11, x11, #0xb3d
0xfffffff00871be28: eb2700a9  stp	x11, x9, [sp]
0xfffffff00871be2c: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff00871be30: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871be34: 00403691  add	x0, x0, #0xd90
0xfffffff00871be38: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871be3c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871be40: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871be44: 63fc3c91  add	x3, x3, #0xf3f
0xfffffff00871be48: 02008052  mov	w2, #0
0xfffffff00871be4c: b95cf097  bl	#0xfffffff008333130
0xfffffff00871be50: a3feff17  b	#0xfffffff00871b8dc
0xfffffff00871be54: 15008052  mov	w21, #0
0xfffffff00871be58: 96038052  mov	w22, #0x1c
0xfffffff00871be5c: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff00871be60: 69a640b9  ldr	w9, [x19, #0xa4]
0xfffffff00871be64: 290d0011  add	w9, w9, #3
0xfffffff00871be68: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff00871be6c: 18fd7dd3  lsr	x24, x8, #0x3d
0xfffffff00871be70: e00313aa  mov	x0, x19
0xfffffff00871be74: 61008052  mov	w1, #3
0xfffffff00871be78: 02008052  mov	w2, #0
0xfffffff00871be7c: 01fdff97  bl	#0xfffffff00871b280
0xfffffff00871be80: e80241f9  ldr	x8, [x23, #0x200]
0xfffffff00871be84: a93e4092  and	x9, x21, #0xffff
0xfffffff00871be88: 2821169b  madd	x8, x9, x22, x8
0xfffffff00871be8c: 18610039  strb	w24, [x8, #0x18]
0xfffffff00871be90: 881240b9  ldr	w8, [x20, #0x10]
0xfffffff00871be94: 1f01186b  cmp	w8, w24
0xfffffff00871be98: 03160054  b.lo	#0xfffffff00871c158
0xfffffff00871be9c: b5060011  add	w21, w21, #1
0xfffffff00871bea0: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00871bea4: 1f21356b  cmp	w8, w21, uxth
0xfffffff00871bea8: a2fdff54  b.hs	#0xfffffff00871be5c
0xfffffff00871beac: 753640f9  ldr	x21, [x19, #0x68]
