; Candidate 7347
; ADRP+ADD at VM 0xfffffff0088691a0 (fileoff 0x18651a0): page=0x1fe980000 add_imm=0xe80

0xfffffff008869120: 17020034  cbz	w23, #0xfffffff008869160
0xfffffff008869124: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008869128: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00886912c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008869130: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869134: 09893791  add	x9, x8, #0xde2
0xfffffff008869138: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886913c: 08811191  add	x8, x8, #0x460
0xfffffff008869140: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008869144: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008869148: 680c8052  mov	w8, #0x63
0xfffffff00886914c: e04dff90  adrp	x0, #0xfffffff007225000
0xfffffff008869150: 001c3d91  add	x0, x0, #0xf47
0xfffffff008869154: f62300a9  stp	x22, x8, [sp]
0xfffffff008869158: c238d597  bl	#0xfffffff007db7460
0xfffffff00886915c: 19000014  b	#0xfffffff0088691c0
0xfffffff008869160: 132c0194  bl	#0xfffffff0088b41ac
0xfffffff008869164: f60300aa  mov	x22, x0
0xfffffff008869168: e0008052  mov	w0, #7
0xfffffff00886916c: b9490094  bl	#0xfffffff00887b850
0xfffffff008869170: e80315aa  mov	x8, x21
0xfffffff008869174: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008869178: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00886917c: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008869180: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869184: 0a893791  add	x10, x8, #0xde2
0xfffffff008869188: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886918c: 08811191  add	x8, x8, #0x460
0xfffffff008869190: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008869194: 680c8052  mov	w8, #0x63
0xfffffff008869198: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886919c: f60300f9  str	x22, [sp]
0xfffffff0088691a0: 004cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088691a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088691a8: e18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088691ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088691b0: 634fffd0  adrp	x3, #0xfffffff007257000
0xfffffff0088691b4: 635c3d91  add	x3, x3, #0xf57
0xfffffff0088691b8: 02008052  mov	w2, #0
0xfffffff0088691bc: dd27eb97  bl	#0xfffffff008333130
0xfffffff0088691c0: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0088691c4: 1f090071  cmp	w8, #2
0xfffffff0088691c8: 62000054  b.hs	#0xfffffff0088691d4
0xfffffff0088691cc: 16008052  mov	w22, #0
0xfffffff0088691d0: a2000014  b	#0xfffffff008869458
0xfffffff0088691d4: 880a40f9  ldr	x8, [x20, #0x10]
0xfffffff0088691d8: 097d4491  add	x9, x8, #0x11f, lsl #12
0xfffffff0088691dc: 29b13091  add	x9, x9, #0xc2c
0xfffffff0088691e0: 8a589452  mov	w10, #0xa2c4
0xfffffff0088691e4: 0a02a072  movk	w10, #0x10, lsl #16
0xfffffff0088691e8: 0a696ab8  ldr	w10, [x8, x10]
0xfffffff0088691ec: 08294491  add	x8, x8, #0x10a, lsl #12
0xfffffff0088691f0: 08911a91  add	x8, x8, #0x6a4
0xfffffff0088691f4: 5f010071  cmp	w10, #0
0xfffffff0088691f8: 0801899a  csel	x8, x8, x9, eq
0xfffffff0088691fc: 080140b9  ldr	w8, [x8]
0xfffffff008869200: 16210011  add	w22, w8, #8
0xfffffff008869204: 600c8052  mov	w0, #0x63
0xfffffff008869208: e1008052  mov	w1, #7
0xfffffff00886920c: 71490094  bl	#0xfffffff00887b7d0
0xfffffff008869210: e0060034  cbz	w0, #0xfffffff0088692ec
0xfffffff008869214: 600c8052  mov	w0, #0x63
0xfffffff008869218: 80490094  bl	#0xfffffff00887b818
0xfffffff00886921c: f80300aa  mov	x24, x0
