; Candidate 14531
; ADRP+ADD at VM 0xfffffff00980adb8 (fileoff 0x2806db8): page=0x1fddac000 add_imm=0xd5b

0xfffffff00980ad38: e00300f9  str	x0, [sp]
0xfffffff00980ad3c: 60edfe90  adrp	x0, #0xfffffff0075b6000
0xfffffff00980ad40: 00383691  add	x0, x0, #0xd8e
0xfffffff00980ad44: 19000014  b	#0xfffffff00980ada8
0xfffffff00980ad48: 550c9b97  bl	#0xfffffff007ecde9c
0xfffffff00980ad4c: f30300aa  mov	x19, x0
0xfffffff00980ad50: d00240f9  ldr	x16, [x22]
0xfffffff00980ad54: f10316aa  mov	x17, x22
0xfffffff00980ad58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00980ad5c: 301ac1da  autda	x16, x17
0xfffffff00980ad60: 113d80d2  mov	x17, #0x1e8
0xfffffff00980ad64: 1002118b  add	x16, x16, x17
0xfffffff00980ad68: 080240f9  ldr	x8, [x16]
0xfffffff00980ad6c: e90310aa  mov	x9, x16
0xfffffff00980ad70: e00316aa  mov	x0, x22
0xfffffff00980ad74: 010080d2  mov	x1, #0
0xfffffff00980ad78: f10309aa  mov	x17, x9
0xfffffff00980ad7c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00980ad80: 11093fd7  blraa	x8, x17
0xfffffff00980ad84: 68edfe90  adrp	x8, #0xfffffff0075b6000
0xfffffff00980ad88: 08f93591  add	x8, x8, #0xd7e
0xfffffff00980ad8c: 49edfef0  adrp	x9, #0xfffffff0075b5000
0xfffffff00980ad90: 29a53691  add	x9, x9, #0xda9
0xfffffff00980ad94: 53200034  cbz	w19, #0xfffffff00980b19c
0xfffffff00980ad98: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff00980ad9c: e02700a9  stp	x0, x9, [sp]
0xfffffff00980ada0: 60edfe90  adrp	x0, #0xfffffff0075b6000
0xfffffff00980ada4: 00003791  add	x0, x0, #0xdc0
0xfffffff00980ada8: 9e30ad97  bl	#0xfffffff008357020
0xfffffff00980adac: 01010014  b	#0xfffffff00980b1b0
0xfffffff00980adb0: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff00980adb4: e90300f9  str	x9, [sp]
0xfffffff00980adb8: 60edfe90  adrp	x0, #0xfffffff0075b6000
0xfffffff00980adbc: 006c3591  add	x0, x0, #0xd5b
0xfffffff00980adc0: fb000014  b	#0xfffffff00980b1ac
0xfffffff00980adc4: 00018052  mov	w0, #8
0xfffffff00980adc8: da98ab97  bl	#0xfffffff0082f1130
0xfffffff00980adcc: e02100b4  cbz	x0, #0xfffffff00980b208
0xfffffff00980add0: f30300aa  mov	x19, x0
0xfffffff00980add4: 1b22ffd0  adrp	x27, #0xfffffff007c4c000
0xfffffff00980add8: 7bf741f9  ldr	x27, [x27, #0x3e8]
0xfffffff00980addc: 620340f9  ldr	x2, [x27]
0xfffffff00980ade0: 63edfe90  adrp	x3, #0xfffffff0075b6000
0xfffffff00980ade4: 631c3991  add	x3, x3, #0xe47
0xfffffff00980ade8: e00314aa  mov	x0, x20
0xfffffff00980adec: e10313aa  mov	x1, x19
0xfffffff00980adf0: 63020094  bl	#0xfffffff00980b77c
0xfffffff00980adf4: 201f0034  cbz	w0, #0xfffffff00980b1d8
0xfffffff00980adf8: 1c22ffd0  adrp	x28, #0xfffffff007c4c000
0xfffffff00980adfc: 9cff41f9  ldr	x28, [x28, #0x3f8]
0xfffffff00980ae00: 820340f9  ldr	x2, [x28]
0xfffffff00980ae04: 63edfe90  adrp	x3, #0xfffffff0075b6000
0xfffffff00980ae08: 63503991  add	x3, x3, #0xe54
0xfffffff00980ae0c: e00314aa  mov	x0, x20
0xfffffff00980ae10: e10313aa  mov	x1, x19
0xfffffff00980ae14: 5a020094  bl	#0xfffffff00980b77c
0xfffffff00980ae18: 001e0034  cbz	w0, #0xfffffff00980b1d8
0xfffffff00980ae1c: e0f30091  add	x0, sp, #0x3c
0xfffffff00980ae20: 81008052  mov	w1, #4
0xfffffff00980ae24: bb8bab97  bl	#0xfffffff0082edd10
0xfffffff00980ae28: f50300aa  mov	x21, x0
0xfffffff00980ae2c: a02200b4  cbz	x0, #0xfffffff00980b280
0xfffffff00980ae30: 700240f9  ldr	x16, [x19]
0xfffffff00980ae34: f10313aa  mov	x17, x19
