; Candidate 16499
; ADRP+ADD at VM 0xfffffff009ec7028 (fileoff 0x2ec3028): page=0x1fd97b000 add_imm=0xe03

0xfffffff009ec6fa8: 37008052  mov	w23, #1
0xfffffff009ec6fac: 50fdff17  b	#0xfffffff009ec64ec
0xfffffff009ec6fb0: e86240f9  ldr	x8, [x23, #0xc0]
0xfffffff009ec6fb4: 085140f9  ldr	x8, [x8, #0xa0]
0xfffffff009ec6fb8: e22f40f9  ldr	x2, [sp, #0x58]
0xfffffff009ec6fbc: 681c00b4  cbz	x8, #0xfffffff009ec7348
0xfffffff009ec6fc0: e00317aa  mov	x0, x23
0xfffffff009ec6fc4: e10314aa  mov	x1, x20
0xfffffff009ec6fc8: 03040094  bl	#0xfffffff009ec7fd4
0xfffffff009ec6fcc: e8000014  b	#0xfffffff009ec736c
0xfffffff009ec6fd0: e8ab41f9  ldr	x8, [sp, #0x350]
0xfffffff009ec6fd4: e8b301f9  str	x8, [sp, #0x360]
0xfffffff009ec6fd8: ffb701f9  str	xzr, [sp, #0x368]
0xfffffff009ec6fdc: a80304d1  sub	x8, x29, #0x100
0xfffffff009ec6fe0: e8bb01f9  str	x8, [sp, #0x370]
0xfffffff009ec6fe4: ffbf01f9  str	xzr, [sp, #0x378]
0xfffffff009ec6fe8: e0830d91  add	x0, sp, #0x360
0xfffffff009ec6fec: e1230d91  add	x1, sp, #0x348
0xfffffff009ec6ff0: 4feefd97  bl	#0xfffffff009e4292c
0xfffffff009ec6ff4: e02703b9  str	w0, [sp, #0x324]
0xfffffff009ec6ff8: 402f0034  cbz	w0, #0xfffffff009ec75e0
0xfffffff009ec6ffc: fa0300aa  mov	x26, x0
0xfffffff009ec7000: 5c000014  b	#0xfffffff009ec7170
0xfffffff009ec7004: e0031aaa  mov	x0, x26
0xfffffff009ec7008: cd957b97  bl	#0xfffffff007dac73c
0xfffffff009ec700c: 083e8452  mov	w8, #0x21f0
0xfffffff009ec7010: e802088b  add	x8, x23, x8
0xfffffff009ec7014: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec7018: c8cbfef0  adrp	x8, #0xfffffff007842000
0xfffffff009ec701c: 08e11e91  add	x8, x8, #0x7b8
0xfffffff009ec7020: 895a8152  mov	w9, #0xad4
0xfffffff009ec7024: e82700a9  stp	x8, x9, [sp]
0xfffffff009ec7028: c0cbfef0  adrp	x0, #0xfffffff007842000
0xfffffff009ec702c: 000c3891  add	x0, x0, #0xe03
0xfffffff009ec7030: 25e2fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec7034: 1b008052  mov	w27, #0
0xfffffff009ec7038: ff6b00b9  str	wzr, [sp, #0x68]
0xfffffff009ec703c: 34008052  mov	w20, #1
0xfffffff009ec7040: 1a028052  mov	w26, #0x10
0xfffffff009ec7044: 7c2800b0  adrp	x28, #0xfffffff00a3d4000
0xfffffff009ec7048: 9c232a91  add	x28, x28, #0xa88
0xfffffff009ec704c: f91f40f9  ldr	x25, [sp, #0x38]
0xfffffff009ec7050: d5000014  b	#0xfffffff009ec73a4
0xfffffff009ec7054: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec7058: c8cbfef0  adrp	x8, #0xfffffff007842000
0xfffffff009ec705c: 08e11e91  add	x8, x8, #0x7b8
0xfffffff009ec7060: 09468152  mov	w9, #0xa30
0xfffffff009ec7064: e82700a9  stp	x8, x9, [sp]
0xfffffff009ec7068: c0cbfef0  adrp	x0, #0xfffffff007842000
0xfffffff009ec706c: 00d82c91  add	x0, x0, #0xb36
0xfffffff009ec7070: 90fdff17  b	#0xfffffff009ec66b0
0xfffffff009ec7074: 682800b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ec7078: 08e12791  add	x8, x8, #0x9f8
0xfffffff009ec707c: 29008052  mov	w9, #1
0xfffffff009ec7080: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009ec7084: 682800b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ec7088: 09358052  mov	w9, #0x1a8
0xfffffff009ec708c: 090105f9  str	x9, [x8, #0xa00]
0xfffffff009ec7090: 609700f9  str	x0, [x27, #0x128]
0xfffffff009ec7094: 68208052  mov	w8, #0x103
0xfffffff009ec7098: 0835a072  movk	w8, #0x1a8, lsl #16
0xfffffff009ec709c: 080000b9  str	w8, [x0]
0xfffffff009ec70a0: 55008052  mov	w21, #2
0xfffffff009ec70a4: 150400f9  str	x21, [x0, #8]
