; Candidate 3245
; ADRP+ADD at VM 0xfffffff008724acc (fileoff 0x1720acc): page=0x1fea0d000 add_imm=0xd90

0xfffffff008724a4c: eb2301a9  stp	x11, x8, [sp, #0x10]
0xfffffff008724a50: 28928152  mov	w8, #0xc91
0xfffffff008724a54: 8951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008724a58: 29550791  add	x9, x9, #0x1d5
0xfffffff008724a5c: e92300a9  stp	x9, x8, [sp]
0xfffffff008724a60: 6050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008724a64: 00403691  add	x0, x0, #0xd90
0xfffffff008724a68: c196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008724a6c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008724a70: a350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff008724a74: 637c2891  add	x3, x3, #0xa1f
0xfffffff008724a78: 02008052  mov	w2, #0
0xfffffff008724a7c: ad39f097  bl	#0xfffffff008333130
0xfffffff008724a80: 08020014  b	#0xfffffff0087252a0
0xfffffff008724a84: e00314aa  mov	x0, x20
0xfffffff008724a88: c7fdff97  bl	#0xfffffff0087241a4
0xfffffff008724a8c: 08d08452  mov	w8, #0x2680
0xfffffff008724a90: 2857089b  madd	x8, x25, x8, x21
0xfffffff008724a94: 002d00b9  str	w0, [x8, #0x2c]
0xfffffff008724a98: 08340051  sub	w8, w0, #0xd
0xfffffff008724a9c: 1f690031  cmn	w8, #0x1a
0xfffffff008724aa0: 88020054  b.hi	#0xfffffff008724af0
0xfffffff008724aa4: 88018052  mov	w8, #0xc
0xfffffff008724aa8: 69018012  mov	w9, #-0xc
0xfffffff008724aac: 8a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff008724ab0: 4a250891  add	x10, x10, #0x209
0xfffffff008724ab4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008724ab8: ea0301a9  stp	x10, x0, [sp, #0x10]
0xfffffff008724abc: 68928152  mov	w8, #0xc93
0xfffffff008724ac0: 8951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008724ac4: 29550791  add	x9, x9, #0x1d5
0xfffffff008724ac8: e92300a9  stp	x9, x8, [sp]
0xfffffff008724acc: 6050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008724ad0: 00403691  add	x0, x0, #0xd90
0xfffffff008724ad4: c196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008724ad8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008724adc: a350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff008724ae0: 63a42991  add	x3, x3, #0xa69
0xfffffff008724ae4: 02008052  mov	w2, #0
0xfffffff008724ae8: 9239f097  bl	#0xfffffff008333130
0xfffffff008724aec: ed010014  b	#0xfffffff0087252a0
0xfffffff008724af0: 883640f9  ldr	x8, [x20, #0x68]
0xfffffff008724af4: 89a640b9  ldr	w9, [x20, #0xa4]
0xfffffff008724af8: 29050011  add	w9, w9, #1
0xfffffff008724afc: 89a600b9  str	w9, [x20, #0xa4]
0xfffffff008724b00: 1afd7fd3  lsr	x26, x8, #0x3f
0xfffffff008724b04: 3b008052  mov	w27, #1
0xfffffff008724b08: e00314aa  mov	x0, x20
0xfffffff008724b0c: 21008052  mov	w1, #1
0xfffffff008724b10: 02008052  mov	w2, #0
0xfffffff008724b14: dbd9ff97  bl	#0xfffffff00871b280
0xfffffff008724b18: 08d08452  mov	w8, #0x2680
0xfffffff008724b1c: 3c57089b  madd	x28, x25, x8, x21
0xfffffff008724b20: 9ac30039  strb	w26, [x28, #0x30]
0xfffffff008724b24: 883640f9  ldr	x8, [x20, #0x68]
0xfffffff008724b28: 89a640b9  ldr	w9, [x20, #0xa4]
0xfffffff008724b2c: 29050011  add	w9, w9, #1
0xfffffff008724b30: 89a600b9  str	w9, [x20, #0xa4]
0xfffffff008724b34: 1afd7fd3  lsr	x26, x8, #0x3f
0xfffffff008724b38: e00314aa  mov	x0, x20
0xfffffff008724b3c: 21008052  mov	w1, #1
0xfffffff008724b40: 02008052  mov	w2, #0
0xfffffff008724b44: cfd9ff97  bl	#0xfffffff00871b280
0xfffffff008724b48: 9ac70039  strb	w26, [x28, #0x31]
