; Candidate 11501
; ADRP+ADD at VM 0xfffffff008f71a64 (fileoff 0x1f6da64): page=0x1fe4b0000 add_imm=0xe43

0xfffffff008f719e4: e1e30091  add	x1, sp, #0x38
0xfffffff008f719e8: 22008052  mov	w2, #1
0xfffffff008f719ec: f10309aa  mov	x17, x9
0xfffffff008f719f0: 9173e9f2  movk	x17, #0x4b9c, lsl #48
0xfffffff008f719f4: 11093fd7  blraa	x8, x17
0xfffffff008f719f8: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff008f719fc: 54c72b94  bl	#0xfffffff009a6374c
0xfffffff008f71a00: fc0300aa  mov	x28, x0
0xfffffff008f71a04: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff008f71a08: afc72b94  bl	#0xfffffff009a638c4
0xfffffff008f71a0c: f60300aa  mov	x22, x0
0xfffffff008f71a10: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff008f71a14: a9c72b94  bl	#0xfffffff009a638b8
0xfffffff008f71a18: 06fa2b94  bl	#0xfffffff009a70230
0xfffffff008f71a1c: f40300aa  mov	x20, x0
0xfffffff008f71a20: f32f00b9  str	w19, [sp, #0x2c]
0xfffffff008f71a24: b2ffff17  b	#0xfffffff008f718ec
0xfffffff008f71a28: e80340f9  ldr	x8, [sp]
0xfffffff008f71a2c: 9f03086b  cmp	w28, w8
0xfffffff008f71a30: 42020054  b.hs	#0xfffffff008f71a78
0xfffffff008f71a34: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff008f71a38: c07a40f9  ldr	x0, [x22, #0xf0]
0xfffffff008f71a3c: e3c30091  add	x3, sp, #0x30
0xfffffff008f71a40: e1031caa  mov	x1, x28
0xfffffff008f71a44: 02008052  mov	w2, #0
0xfffffff008f71a48: 2dfdc997  bl	#0xfffffff0081f0efc
0xfffffff008f71a4c: c0010035  cbnz	w0, #0xfffffff008f71a84
0xfffffff008f71a50: c07a40f9  ldr	x0, [x22, #0xf0]
0xfffffff008f71a54: e0fcc997  bl	#0xfffffff0081f0dd4
0xfffffff008f71a58: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008f71a5c: c87a00f9  str	x8, [x22, #0xf0]
0xfffffff008f71a60: 09000014  b	#0xfffffff008f71a84
0xfffffff008f71a64: 8025ff90  adrp	x0, #0xfffffff007421000
0xfffffff008f71a68: 000c3991  add	x0, x0, #0xe43
0xfffffff008f71a6c: b9f6d397  bl	#0xfffffff00846f550
0xfffffff008f71a70: 13008052  mov	w19, #0
0xfffffff008f71a74: 04000014  b	#0xfffffff008f71a84
0xfffffff008f71a78: c07a40f9  ldr	x0, [x22, #0xf0]
0xfffffff008f71a7c: d6fcc997  bl	#0xfffffff0081f0dd4
0xfffffff008f71a80: df7a00f9  str	xzr, [x22, #0xf0]
0xfffffff008f71a84: e00313aa  mov	x0, x19
0xfffffff008f71a88: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008f71a8c: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008f71a90: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008f71a94: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008f71a98: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff008f71a9c: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff008f71aa0: ff830291  add	sp, sp, #0xa0
0xfffffff008f71aa4: ff0f5fd6  retab	
0xfffffff008f71aa8: 7f2303d5  pacibsp	
0xfffffff008f71aac: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f71ab0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f71ab4: fd430091  add	x29, sp, #0x10
0xfffffff008f71ab8: f30300aa  mov	x19, x0
0xfffffff008f71abc: 006040f9  ldr	x0, [x0, #0xc0]
0xfffffff008f71ac0: 400100b4  cbz	x0, #0xfffffff008f71ae8
0xfffffff008f71ac4: 100040f9  ldr	x16, [x0]
0xfffffff008f71ac8: f10300aa  mov	x17, x0
0xfffffff008f71acc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f71ad0: 301ac1da  autda	x16, x17
0xfffffff008f71ad4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008f71ad8: e90310aa  mov	x9, x16
0xfffffff008f71adc: f10309aa  mov	x17, x9
0xfffffff008f71ae0: f150e7f2  movk	x17, #0x3a87, lsl #48
