; Candidate 5555
; ADRP+ADD at VM 0xfffffff0087f84ec (fileoff 0x17f44ec): page=0x1fe9f1000 add_imm=0xe80

0xfffffff0087f846c: f31b00f9  str	x19, [sp, #0x30]
0xfffffff0087f8470: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f8474: 08d93691  add	x8, x8, #0xdb6
0xfffffff0087f8478: 69c38052  mov	w9, #0x61b
0xfffffff0087f847c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f8480: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f8484: 08f53391  add	x8, x8, #0xcfd
0xfffffff0087f8488: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f848c: e80e8052  mov	w8, #0x77
0xfffffff0087f8490: e050ffd0  adrp	x0, #0xfffffff007216000
0xfffffff0087f8494: 00003691  add	x0, x0, #0xd80
0xfffffff0087f8498: f52300a9  stp	x21, x8, [sp]
0xfffffff0087f849c: f1fbd697  bl	#0xfffffff007db7460
0xfffffff0087f84a0: a0000014  b	#0xfffffff0087f8720
0xfffffff0087f84a4: 42ef0294  bl	#0xfffffff0088b41ac
0xfffffff0087f84a8: f50300aa  mov	x21, x0
0xfffffff0087f84ac: 80008052  mov	w0, #4
0xfffffff0087f84b0: e80c0294  bl	#0xfffffff00887b850
0xfffffff0087f84b4: 884a40f9  ldr	x8, [x20, #0x90]
0xfffffff0087f84b8: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f84bc: 08c540b9  ldr	w8, [x8, #0xc4]
0xfffffff0087f84c0: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0087f84c4: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f84c8: 08513491  add	x8, x8, #0xd14
0xfffffff0087f84cc: 49b98052  mov	w9, #0x5ca
0xfffffff0087f84d0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f84d4: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f84d8: 08f53391  add	x8, x8, #0xcfd
0xfffffff0087f84dc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f84e0: e80e8052  mov	w8, #0x77
0xfffffff0087f84e4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f84e8: f50300f9  str	x21, [sp]
0xfffffff0087f84ec: 804fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f84f0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f84f4: 8190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f84f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f84fc: 4352ffb0  adrp	x3, #0xfffffff007241000
0xfffffff0087f8500: 63dc1691  add	x3, x3, #0x5b7
0xfffffff0087f8504: 02008052  mov	w2, #0
0xfffffff0087f8508: 0aebec97  bl	#0xfffffff008333130
0xfffffff0087f850c: 85000014  b	#0xfffffff0087f8720
0xfffffff0087f8510: 27ef0294  bl	#0xfffffff0088b41ac
0xfffffff0087f8514: f30300aa  mov	x19, x0
0xfffffff0087f8518: 80008052  mov	w0, #4
0xfffffff0087f851c: cd0c0294  bl	#0xfffffff00887b850
0xfffffff0087f8520: 884a40f9  ldr	x8, [x20, #0x90]
0xfffffff0087f8524: 0ac540b9  ldr	w10, [x8, #0xc4]
0xfffffff0087f8528: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f852c: 08953391  add	x8, x8, #0xce5
0xfffffff0087f8530: 29ba8052  mov	w9, #0x5d1
0xfffffff0087f8534: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f8538: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f853c: 08f53391  add	x8, x8, #0xcfd
0xfffffff0087f8540: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f8544: e80e8052  mov	w8, #0x77
0xfffffff0087f8548: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f854c: f30300f9  str	x19, [sp]
0xfffffff0087f8550: 804fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f8554: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f8558: 8190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f855c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f8560: 4352ffb0  adrp	x3, #0xfffffff007241000
0xfffffff0087f8564: 63ac1791  add	x3, x3, #0x5eb
0xfffffff0087f8568: 02008052  mov	w2, #0
