; Candidate 3206
; ADRP+ADD at VM 0xfffffff00871c618 (fileoff 0x1718618): page=0x1fea15000 add_imm=0xd90

0xfffffff00871c598: 08254079  ldrh	w8, [x8, #0x12]
0xfffffff00871c59c: a8010034  cbz	w8, #0xfffffff00871c5d0
0xfffffff00871c5a0: 763640f9  ldr	x22, [x19, #0x68]
0xfffffff00871c5a4: 68a640b9  ldr	w8, [x19, #0xa4]
0xfffffff00871c5a8: 08050011  add	w8, w8, #1
0xfffffff00871c5ac: 68a600b9  str	w8, [x19, #0xa4]
0xfffffff00871c5b0: e00313aa  mov	x0, x19
0xfffffff00871c5b4: 21008052  mov	w1, #1
0xfffffff00871c5b8: 02008052  mov	w2, #0
0xfffffff00871c5bc: 31fbff97  bl	#0xfffffff00871b280
0xfffffff00871c5c0: e80a41f9  ldr	x8, [x23, #0x210]
0xfffffff00871c5c4: a97e199b  mul	x9, x21, x25
0xfffffff00871c5c8: cafe7fd3  lsr	x10, x22, #0x3f
0xfffffff00871c5cc: 0a692938  strb	w10, [x8, x9]
0xfffffff00871c5d0: b5060091  add	x21, x21, #1
0xfffffff00871c5d4: e8365e79  ldrh	w8, [x23, #0xf1a]
0xfffffff00871c5d8: bf0208eb  cmp	x21, x8
0xfffffff00871c5dc: 63ebff54  b.lo	#0xfffffff00871c348
0xfffffff00871c5e0: e00313aa  mov	x0, x19
0xfffffff00871c5e4: 85030094  bl	#0xfffffff00871d3f8
0xfffffff00871c5e8: e0420fb9  str	w0, [x23, #0xf40]
0xfffffff00871c5ec: 1f000471  cmp	w0, #0x100
0xfffffff00871c5f0: a3050054  b.lo	#0xfffffff00871c6a4
0xfffffff00871c5f4: e81f8052  mov	w8, #0xff
0xfffffff00871c5f8: c951ffb0  adrp	x9, #0xfffffff007155000
0xfffffff00871c5fc: 291d3491  add	x9, x9, #0xd07
0xfffffff00871c600: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff00871c604: e90301a9  stp	x9, x0, [sp, #0x10]
0xfffffff00871c608: 887e8052  mov	w8, #0x3f4
0xfffffff00871c60c: c951ffb0  adrp	x9, #0xfffffff007155000
0xfffffff00871c610: 29f52c91  add	x9, x9, #0xb3d
0xfffffff00871c614: e92300a9  stp	x9, x8, [sp]
0xfffffff00871c618: a050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871c61c: 00403691  add	x0, x0, #0xd90
0xfffffff00871c620: 0197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871c624: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871c628: e350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff00871c62c: 63100e91  add	x3, x3, #0x384
0xfffffff00871c630: 02008052  mov	w2, #0
0xfffffff00871c634: bf5af097  bl	#0xfffffff008333130
0xfffffff00871c638: a9fcff17  b	#0xfffffff00871b8dc
0xfffffff00871c63c: c851ffb0  adrp	x8, #0xfffffff007155000
0xfffffff00871c640: 08f52c91  add	x8, x8, #0xb3d
0xfffffff00871c644: e80300f9  str	x8, [sp]
0xfffffff00871c648: a050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871c64c: 00403691  add	x0, x0, #0xd90
0xfffffff00871c650: 0197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871c654: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871c658: e350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff00871c65c: 63e40691  add	x3, x3, #0x1b9
0xfffffff00871c660: 02008052  mov	w2, #0
0xfffffff00871c664: b35af097  bl	#0xfffffff008333130
0xfffffff00871c668: 9dfcff17  b	#0xfffffff00871b8dc
0xfffffff00871c66c: f55b01a9  stp	x21, x22, [sp, #0x10]
0xfffffff00871c670: 48008052  mov	w8, #2
0xfffffff00871c674: c951ffb0  adrp	x9, #0xfffffff007155000
0xfffffff00871c678: 29f52c91  add	x9, x9, #0xb3d
0xfffffff00871c67c: e92300a9  stp	x9, x8, [sp]
0xfffffff00871c680: a050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871c684: 00403691  add	x0, x0, #0xd90
0xfffffff00871c688: 0197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871c68c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871c690: e350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff00871c694: 63380a91  add	x3, x3, #0x28e
