; Candidate 947
; ADRP+ADD at VM 0xfffffff008115898 (fileoff 0x1111898): page=0x20a9000 add_imm=0xe70

0xfffffff008115818: 690901f0  adrp	x9, #0xfffffff00a244000
0xfffffff00811581c: 29c544b9  ldr	w9, [x9, #0x4c4]
0xfffffff008115820: 49030034  cbz	w9, #0xfffffff008115888
0xfffffff008115824: 08051f32  orr	w8, w8, #6
0xfffffff008115828: 681600b9  str	w8, [x19, #0x14]
0xfffffff00811582c: 100000d0  adrp	x16, #0xfffffff008117000
0xfffffff008115830: 10b20991  add	x16, x16, #0x26c
0xfffffff008115834: f1a09ad2  mov	x17, #0xd507
0xfffffff008115838: 3002c1da  pacia	x16, x17
0xfffffff00811583c: 703200f9  str	x16, [x19, #0x60]
0xfffffff008115840: 100000d0  adrp	x16, #0xfffffff008117000
0xfffffff008115844: 10d20391  add	x16, x16, #0xf4
0xfffffff008115848: d15785d2  mov	x17, #0x2abe
0xfffffff00811584c: 3002c1da  pacia	x16, x17
0xfffffff008115850: 703600f9  str	x16, [x19, #0x68]
0xfffffff008115854: 100000b0  adrp	x16, #0xfffffff008116000
0xfffffff008115858: 10f23e91  add	x16, x16, #0xfbc
0xfffffff00811585c: d15785d2  mov	x17, #0x2abe
0xfffffff008115860: 3002c1da  pacia	x16, x17
0xfffffff008115864: 703a00f9  str	x16, [x19, #0x70]
0xfffffff008115868: 88d038d5  mrs	x8, tpidr_el1
0xfffffff00811586c: 687601f9  str	x8, [x19, #0x2e8]
0xfffffff008115870: 60c20b91  add	x0, x19, #0x2f0
0xfffffff008115874: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008115878: 608217ad  stp	q0, q0, [x19, #0x2f0]
0xfffffff00811587c: 608218ad  stp	q0, q0, [x19, #0x310]
0xfffffff008115880: 01018052  mov	w1, #8
0xfffffff008115884: 9b370794  bl	#0xfffffff0082e36f0
0xfffffff008115888: e00313aa  mov	x0, x19
0xfffffff00811588c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008115890: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008115894: ff0f5fd6  retab	
0xfffffff008115898: 400501b0  adrp	x0, #0xfffffff00a1be000
0xfffffff00811589c: 00c03991  add	x0, x0, #0xe70
0xfffffff0081158a0: 5b2a0e94  bl	#0xfffffff0084a020c
0xfffffff0081158a4: 7f2303d5  pacibsp	
0xfffffff0081158a8: ff4301d1  sub	sp, sp, #0x50
0xfffffff0081158ac: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0081158b0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0081158b4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0081158b8: fd030191  add	x29, sp, #0x40
0xfffffff0081158bc: 600b00b4  cbz	x0, #0xfffffff008115a28
0xfffffff0081158c0: f40301aa  mov	x20, x1
0xfffffff0081158c4: f30300aa  mov	x19, x0
0xfffffff0081158c8: 0000c03d  ldr	q0, [x0]
0xfffffff0081158cc: e003803d  str	q0, [sp]
0xfffffff0081158d0: 00c0c03c  ldur	q0, [x0, #0xc]
0xfffffff0081158d4: e0c3803c  stur	q0, [sp, #0xc]
0xfffffff0081158d8: 01200091  add	x1, x0, #8
0xfffffff0081158dc: f5030091  mov	x21, sp
0xfffffff0081158e0: e0030091  mov	x0, sp
0xfffffff0081158e4: e20314aa  mov	x2, x20
0xfffffff0081158e8: 1d510094  bl	#0xfffffff008129d5c
0xfffffff0081158ec: 40090035  cbnz	w0, #0xfffffff008115a14
0xfffffff0081158f0: a1027db2  orr	x1, x21, #8
0xfffffff0081158f4: e00314aa  mov	x0, x20
0xfffffff0081158f8: 9b150194  bl	#0xfffffff00815af64
0xfffffff0081158fc: e81b40b9  ldr	w8, [sp, #0x18]
0xfffffff008115900: a8000034  cbz	w8, #0xfffffff008115914
0xfffffff008115904: 1f01006b  cmp	w8, w0
0xfffffff008115908: 80000054  b.eq	#0xfffffff008115918
0xfffffff00811590c: c0028052  mov	w0, #0x16
0xfffffff008115910: 41000014  b	#0xfffffff008115a14
0xfffffff008115914: e01b00b9  str	w0, [sp, #0x18]
