; Candidate 14839
; ADRP+ADD at VM 0xfffffff0099b6f54 (fileoff 0x29b2f54): page=0x1fe2df000 add_imm=0xdb0

0xfffffff0099b6ed4: aee49097  bl	#0xfffffff007df018c
0xfffffff0099b6ed8: 7fca00f9  str	xzr, [x19, #0x190]
0xfffffff0099b6edc: e00313aa  mov	x0, x19
0xfffffff0099b6ee0: 4e010094  bl	#0xfffffff0099b7418
0xfffffff0099b6ee4: e00313aa  mov	x0, x19
0xfffffff0099b6ee8: 74010094  bl	#0xfffffff0099b74b8
0xfffffff0099b6eec: 686241b9  ldr	w8, [x19, #0x160]
0xfffffff0099b6ef0: 02f17dd3  lsl	x2, x8, #3
0xfffffff0099b6ef4: 61fa40f9  ldr	x1, [x19, #0x1f0]
0xfffffff0099b6ef8: 7ffa00f9  str	xzr, [x19, #0x1f0]
0xfffffff0099b6efc: e016fff0  adrp	x0, #0xfffffff007c95000
0xfffffff0099b6f00: 00002e91  add	x0, x0, #0xb80
0xfffffff0099b6f04: b97fa697  bl	#0xfffffff008356de8
0xfffffff0099b6f08: 7ffa00f9  str	xzr, [x19, #0x1f0]
0xfffffff0099b6f0c: 600241f9  ldr	x0, [x19, #0x200]
0xfffffff0099b6f10: 100040f9  ldr	x16, [x0]
0xfffffff0099b6f14: f10300aa  mov	x17, x0
0xfffffff0099b6f18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099b6f1c: 301ac1da  autda	x16, x17
0xfffffff0099b6f20: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0099b6f24: e90310aa  mov	x9, x16
0xfffffff0099b6f28: f10309aa  mov	x17, x9
0xfffffff0099b6f2c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0099b6f30: 11093fd7  blraa	x8, x17
0xfffffff0099b6f34: 7f0201f9  str	xzr, [x19, #0x200]
0xfffffff0099b6f38: 6affff17  b	#0xfffffff0099b6ce0
0xfffffff0099b6f3c: 7f2303d5  pacibsp	
0xfffffff0099b6f40: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0099b6f44: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0099b6f48: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0099b6f4c: fd830091  add	x29, sp, #0x20
0xfffffff0099b6f50: f30300aa  mov	x19, x0
0xfffffff0099b6f54: e016fff0  adrp	x0, #0xfffffff007c95000
0xfffffff0099b6f58: 00c03691  add	x0, x0, #0xdb0
0xfffffff0099b6f5c: 010c8052  mov	w1, #0x60
0xfffffff0099b6f60: 9c7fa697  bl	#0xfffffff008356dd0
0xfffffff0099b6f64: 60c200f9  str	x0, [x19, #0x180]
0xfffffff0099b6f68: c00500b4  cbz	x0, #0xfffffff0099b7020
0xfffffff0099b6f6c: 08008052  mov	w8, #0
0xfffffff0099b6f70: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0099b6f74: 000002ad  stp	q0, q0, [x0, #0x40]
0xfffffff0099b6f78: 000001ad  stp	q0, q0, [x0, #0x20]
0xfffffff0099b6f7c: 000000ad  stp	q0, q0, [x0]
0xfffffff0099b6f80: 29008052  mov	w9, #1
0xfffffff0099b6f84: f50309aa  mov	x21, x9
0xfffffff0099b6f88: 013d0012  and	w1, w8, #0xffff
0xfffffff0099b6f8c: e00313aa  mov	x0, x19
0xfffffff0099b6f90: b60f0094  bl	#0xfffffff0099bae68
0xfffffff0099b6f94: 40010035  cbnz	w0, #0xfffffff0099b6fbc
0xfffffff0099b6f98: 09008052  mov	w9, #0
0xfffffff0099b6f9c: 28008052  mov	w8, #1
0xfffffff0099b6fa0: 35ff0737  tbnz	w21, #0, #0xfffffff0099b6f84
0xfffffff0099b6fa4: 14008052  mov	w20, #0
0xfffffff0099b6fa8: e00314aa  mov	x0, x20
0xfffffff0099b6fac: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0099b6fb0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0099b6fb4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0099b6fb8: ff0f5fd6  retab	
0xfffffff0099b6fbc: f40300aa  mov	x20, x0
0xfffffff0099b6fc0: a0e1fef0  adrp	x0, #0xfffffff0075ed000
0xfffffff0099b6fc4: 00781291  add	x0, x0, #0x49e
0xfffffff0099b6fc8: a1e1fef0  adrp	x1, #0xfffffff0075ed000
0xfffffff0099b6fcc: 21801491  add	x1, x1, #0x520
0xfffffff0099b6fd0: 02e2fed0  adrp	x2, #0xfffffff0075f8000
