; Candidate 4962
; ADRP+ADD at VM 0xfffffff0087cf3b8 (fileoff 0x17cb3b8): page=0x1fea1a000 add_imm=0xe80

0xfffffff0087cf338: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087cf33c: e8088052  mov	w8, #0x47
0xfffffff0087cf340: 0952ffb0  adrp	x9, #0xfffffff007210000
0xfffffff0087cf344: 29a52791  add	x9, x9, #0x9e9
0xfffffff0087cf348: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cf34c: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cf350: 08712591  add	x8, x8, #0x95c
0xfffffff0087cf354: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cf358: 080a8052  mov	w8, #0x50
0xfffffff0087cf35c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cf360: c050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cf364: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cf368: c191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cf36c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cf370: 4353fff0  adrp	x3, #0xfffffff00723a000
0xfffffff0087cf374: 63b01691  add	x3, x3, #0x5ac
0xfffffff0087cf378: 02008052  mov	w2, #0
0xfffffff0087cf37c: 6d8fed97  bl	#0xfffffff008333130
0xfffffff0087cf380: 98000014  b	#0xfffffff0087cf5e0
0xfffffff0087cf384: 8a930394  bl	#0xfffffff0088b41ac
0xfffffff0087cf388: f50300aa  mov	x21, x0
0xfffffff0087cf38c: e0008052  mov	w0, #7
0xfffffff0087cf390: 30b10294  bl	#0xfffffff00887b850
0xfffffff0087cf394: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087cf398: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cf39c: 09a52791  add	x9, x8, #0x9e9
0xfffffff0087cf3a0: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cf3a4: 08712591  add	x8, x8, #0x95c
0xfffffff0087cf3a8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cf3ac: 080a8052  mov	w8, #0x50
0xfffffff0087cf3b0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cf3b4: f50300f9  str	x21, [sp]
0xfffffff0087cf3b8: c050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cf3bc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cf3c0: c191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cf3c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cf3c8: 4353fff0  adrp	x3, #0xfffffff00723a000
0xfffffff0087cf3cc: 63e01791  add	x3, x3, #0x5f8
0xfffffff0087cf3d0: 02008052  mov	w2, #0
0xfffffff0087cf3d4: 578fed97  bl	#0xfffffff008333130
0xfffffff0087cf3d8: 000a8052  mov	w0, #0x50
0xfffffff0087cf3dc: 01018052  mov	w1, #8
0xfffffff0087cf3e0: fcb00294  bl	#0xfffffff00887b7d0
0xfffffff0087cf3e4: 60050034  cbz	w0, #0xfffffff0087cf490
0xfffffff0087cf3e8: 000a8052  mov	w0, #0x50
0xfffffff0087cf3ec: 0bb10294  bl	#0xfffffff00887b818
0xfffffff0087cf3f0: f60300aa  mov	x22, x0
0xfffffff0087cf3f4: 6e930394  bl	#0xfffffff0088b41ac
0xfffffff0087cf3f8: f50300aa  mov	x21, x0
0xfffffff0087cf3fc: 00018052  mov	w0, #8
0xfffffff0087cf400: 14b10294  bl	#0xfffffff00887b850
0xfffffff0087cf404: d6010034  cbz	w22, #0xfffffff0087cf43c
0xfffffff0087cf408: 68098052  mov	w8, #0x4b
0xfffffff0087cf40c: 0952ffb0  adrp	x9, #0xfffffff007210000
0xfffffff0087cf410: 29a52791  add	x9, x9, #0x9e9
0xfffffff0087cf414: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cf418: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cf41c: 08712591  add	x8, x8, #0x95c
0xfffffff0087cf420: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cf424: 080a8052  mov	w8, #0x50
0xfffffff0087cf428: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cf42c: 0052ffb0  adrp	x0, #0xfffffff007210000
0xfffffff0087cf430: 006c2891  add	x0, x0, #0xa1b
0xfffffff0087cf434: 0ba0d797  bl	#0xfffffff007db7460
