; Candidate 8547
; ADRP+ADD at VM 0xfffffff0088b1184 (fileoff 0x18ad184): page=0x1fe938000 add_imm=0xe80

0xfffffff0088b1104: 63ec1b91  add	x3, x3, #0x6fb
0xfffffff0088b1108: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b110c: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1110: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b1114: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b1118: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b111c: 02008052  mov	w2, #0
0xfffffff0088b1120: 0408ea97  bl	#0xfffffff008333130
0xfffffff0088b1124: 64feff17  b	#0xfffffff0088b0ab4
0xfffffff0088b1128: 210c0094  bl	#0xfffffff0088b41ac
0xfffffff0088b112c: f40300aa  mov	x20, x0
0xfffffff0088b1130: 80008052  mov	w0, #4
0xfffffff0088b1134: c729ff97  bl	#0xfffffff00887b850
0xfffffff0088b1138: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088b113c: e9031baa  mov	x9, x27
0xfffffff0088b1140: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff0088b1144: e80317aa  mov	x8, x23
0xfffffff0088b1148: e90319aa  mov	x9, x25
0xfffffff0088b114c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088b1150: e8008052  mov	w8, #7
0xfffffff0088b1154: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0088b1158: e84afff0  adrp	x8, #0xfffffff007210000
0xfffffff0088b115c: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088b1160: 49138152  mov	w9, #0x89a
0xfffffff0088b1164: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b1168: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b116c: 086d1591  add	x8, x8, #0x55b
0xfffffff0088b1170: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b1174: c80f8052  mov	w8, #0x7e
0xfffffff0088b1178: 834dfff0  adrp	x3, #0xfffffff007264000
0xfffffff0088b117c: 63541e91  add	x3, x3, #0x795
0xfffffff0088b1180: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b1184: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1188: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b118c: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b1190: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b1194: 02008052  mov	w2, #0
0xfffffff0088b1198: e607ea97  bl	#0xfffffff008333130
0xfffffff0088b119c: 46feff17  b	#0xfffffff0088b0ab4
0xfffffff0088b11a0: 60030000  udf	#0x360
0xfffffff0088b11a4: f0030000  udf	#0x3f0
0xfffffff0088b11a8: 90040000  udf	#0x490
0xfffffff0088b11ac: 0c000000  udf	#0xc
0xfffffff0088b11b0: 0c000000  udf	#0xc
0xfffffff0088b11b4: 0c000000  udf	#0xc
0xfffffff0088b11b8: 30050000  udf	#0x530
0xfffffff0088b11bc: 7f2303d5  pacibsp	
0xfffffff0088b11c0: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088b11c4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088b11c8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088b11cc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088b11d0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088b11d4: fdc30191  add	x29, sp, #0x70
0xfffffff0088b11d8: f40301aa  mov	x20, x1
0xfffffff0088b11dc: f30300aa  mov	x19, x0
0xfffffff0088b11e0: c00f8052  mov	w0, #0x7e
0xfffffff0088b11e4: e1008052  mov	w1, #7
0xfffffff0088b11e8: 7a29ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b11ec: 40020034  cbz	w0, #0xfffffff0088b1234
0xfffffff0088b11f0: c00f8052  mov	w0, #0x7e
0xfffffff0088b11f4: 8929ff97  bl	#0xfffffff00887b818
0xfffffff0088b11f8: f60300aa  mov	x22, x0
0xfffffff0088b11fc: ec0b0094  bl	#0xfffffff0088b41ac
0xfffffff0088b1200: f50300aa  mov	x21, x0
