; Candidate 3820
; ADRP+ADD at VM 0xfffffff008766328 (fileoff 0x1762328): page=0x1fe9cb000 add_imm=0xd90

0xfffffff0087662a8: 684e01b9  str	w8, [x19, #0x14c]
0xfffffff0087662ac: 150e40f9  ldr	x21, [x16, #0x18]
0xfffffff0087662b0: b4b24bb9  ldr	w20, [x21, #0xbb0]
0xfffffff0087662b4: a8224bb9  ldr	w8, [x21, #0xb20]
0xfffffff0087662b8: a8070034  cbz	w8, #0xfffffff0087663ac
0xfffffff0087662bc: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff0087662c0: b00240f9  ldr	x16, [x21]
0xfffffff0087662c4: f10315aa  mov	x17, x21
0xfffffff0087662c8: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087662cc: 301ac1da  autda	x16, x17
0xfffffff0087662d0: 113580d2  mov	x17, #0x1a8
0xfffffff0087662d4: 1002118b  add	x16, x16, x17
0xfffffff0087662d8: 080240f9  ldr	x8, [x16]
0xfffffff0087662dc: e90310aa  mov	x9, x16
0xfffffff0087662e0: e2e30091  add	x2, sp, #0x38
0xfffffff0087662e4: e3c30091  add	x3, sp, #0x30
0xfffffff0087662e8: e00315aa  mov	x0, x21
0xfffffff0087662ec: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff0087662f0: f10309aa  mov	x17, x9
0xfffffff0087662f4: 516aeff2  movk	x17, #0x7b52, lsl #48
0xfffffff0087662f8: 11093fd7  blraa	x8, x17
0xfffffff0087662fc: 800d0034  cbz	w0, #0xfffffff0087664ac
0xfffffff008766300: 7f5601b9  str	wzr, [x19, #0x154]
0xfffffff008766304: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff008766308: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff00876630c: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008766310: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008766314: c90100b4  cbz	x9, #0xfffffff00876634c
0xfffffff008766318: e8b88052  mov	w8, #0x5c7
0xfffffff00876631c: 694fffb0  adrp	x9, #0xfffffff007153000
0xfffffff008766320: 29593f91  add	x9, x9, #0xfd6
0xfffffff008766324: e92300a9  stp	x9, x8, [sp]
0xfffffff008766328: 404efff0  adrp	x0, #0xfffffff007131000
0xfffffff00876632c: 00403691  add	x0, x0, #0xd90
0xfffffff008766330: a194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008766334: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008766338: e34eff90  adrp	x3, #0xfffffff007142000
0xfffffff00876633c: 63f42091  add	x3, x3, #0x83d
0xfffffff008766340: 02008052  mov	w2, #0
0xfffffff008766344: 7b33ef97  bl	#0xfffffff008333130
0xfffffff008766348: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff00876634c: 094328ab  adds	x9, x24, w8, uxtw
0xfffffff008766350: e20a0054  b.hs	#0xfffffff0087664ac
0xfffffff008766354: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008766358: 6a5641b9  ldr	w10, [x19, #0x154]
0xfffffff00876635c: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff008766360: 49551633  bfi	w9, w10, #0xa, #0x16
0xfffffff008766364: 695601b9  str	w9, [x19, #0x154]
0xfffffff008766368: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff00876636c: 380940f9  ldr	x24, [x9, #0x10]
0xfffffff008766370: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008766374: a90700b4  cbz	x9, #0xfffffff008766468
0xfffffff008766378: 08b98052  mov	w8, #0x5c8
0xfffffff00876637c: 694fffb0  adrp	x9, #0xfffffff007153000
0xfffffff008766380: 29593f91  add	x9, x9, #0xfd6
0xfffffff008766384: e92300a9  stp	x9, x8, [sp]
0xfffffff008766388: 404efff0  adrp	x0, #0xfffffff007131000
0xfffffff00876638c: 00403691  add	x0, x0, #0xd90
0xfffffff008766390: a194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008766394: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008766398: e34eff90  adrp	x3, #0xfffffff007142000
0xfffffff00876639c: 63c42191  add	x3, x3, #0x871
0xfffffff0087663a0: 02008052  mov	w2, #0
0xfffffff0087663a4: 6333ef97  bl	#0xfffffff008333130
