; Candidate 1130
; ADRP+ADD at VM 0xfffffff008226a38 (fileoff 0x1222a38): page=0x1fee64000 add_imm=0xcfe

0xfffffff0082269b8: 09b900f9  str	x9, [x8, #0x170]
0xfffffff0082269bc: 68120991  add	x8, x19, #0x244
0xfffffff0082269c0: 09208052  mov	w9, #0x100
0xfffffff0082269c4: 083129b8  ldset	w9, w8, [x8]
0xfffffff0082269c8: 88ff0090  adrp	x8, #0xfffffff00a216000
0xfffffff0082269cc: 08a13c91  add	x8, x8, #0xf28
0xfffffff0082269d0: 29008052  mov	w9, #1
0xfffffff0082269d4: 080129f8  ldadd	x9, x8, [x8]
0xfffffff0082269d8: 680601f9  str	x8, [x19, #0x208]
0xfffffff0082269dc: 88ff00b0  adrp	x8, #0xfffffff00a217000
0xfffffff0082269e0: 0900f092  mov	x9, #0x7fffffffffffffff
0xfffffff0082269e4: 8aff00b0  adrp	x10, #0xfffffff00a217000
0xfffffff0082269e8: 4aa12691  add	x10, x10, #0x9a8
0xfffffff0082269ec: 0bd544f9  ldr	x11, [x8, #0x9a8]
0xfffffff0082269f0: 7f0109eb  cmp	x11, x9
0xfffffff0082269f4: c0000054  b.eq	#0xfffffff008226a0c
0xfffffff0082269f8: 6c050091  add	x12, x11, #1
0xfffffff0082269fc: ed030baa  mov	x13, x11
0xfffffff008226a00: 4cfdedc8  casal	x13, x12, [x10]
0xfffffff008226a04: bf010beb  cmp	x13, x11
0xfffffff008226a08: 21ffff54  b.ne	#0xfffffff0082269ec
0xfffffff008226a0c: e00313aa  mov	x0, x19
0xfffffff008226a10: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008226a14: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008226a18: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008226a1c: ff0f5fd6  retab	
0xfffffff008226a20: 00010190  adrp	x0, #0xfffffff00a246000
0xfffffff008226a24: 00200d91  add	x0, x0, #0x348
0xfffffff008226a28: e10314aa  mov	x1, x20
0xfffffff008226a2c: 02008052  mov	w2, #0
0xfffffff008226a30: 3214ee97  bl	#0xfffffff007dabaf8
0xfffffff008226a34: afffff17  b	#0xfffffff0082268f0
0xfffffff008226a38: 2073ff90  adrp	x0, #0xfffffff00708a000
0xfffffff008226a3c: 00f83391  add	x0, x0, #0xcfe
0xfffffff008226a40: 2173ff90  adrp	x1, #0xfffffff00708a000
0xfffffff008226a44: 21c03291  add	x1, x1, #0xcb0
0xfffffff008226a48: 82388052  mov	w2, #0x1c4
0xfffffff008226a4c: 72e30994  bl	#0xfffffff00849f814
0xfffffff008226a50: 00010190  adrp	x0, #0xfffffff00a246000
0xfffffff008226a54: 00200d91  add	x0, x0, #0x348
0xfffffff008226a58: e10314aa  mov	x1, x20
0xfffffff008226a5c: 4217ee97  bl	#0xfffffff007dac764
0xfffffff008226a60: b8ffff17  b	#0xfffffff008226940
0xfffffff008226a64: 00010190  adrp	x0, #0xfffffff00a246000
0xfffffff008226a68: 00200d91  add	x0, x0, #0x348
0xfffffff008226a6c: e10314aa  mov	x1, x20
0xfffffff008226a70: 3d17ee97  bl	#0xfffffff007dac764
0xfffffff008226a74: c6ffff17  b	#0xfffffff00822698c
0xfffffff008226a78: 7f2303d5  pacibsp	
0xfffffff008226a7c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008226a80: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff008226a84: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008226a88: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008226a8c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008226a90: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008226a94: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008226a98: fd030291  add	x29, sp, #0x80
0xfffffff008226a9c: c13000b4  cbz	x1, #0xfffffff0082270b4
0xfffffff008226aa0: f80306aa  mov	x24, x6
0xfffffff008226aa4: f60305aa  mov	x22, x5
0xfffffff008226aa8: f90304aa  mov	x25, x4
0xfffffff008226aac: f70303aa  mov	x23, x3
0xfffffff008226ab0: fa0302aa  mov	x26, x2
0xfffffff008226ab4: f40301aa  mov	x20, x1
