; Candidate 10995
; ADRP+ADD at VM 0xfffffff008df076c (fileoff 0x1dec76c): page=0x1fe5d4000 add_imm=0xd21

0xfffffff008df06ec: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008df06f0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008df06f4: eb0300f9  str	x11, [sp]
0xfffffff008df06f8: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df06fc: 00543891  add	x0, x0, #0xe15
0xfffffff008df0700: 489ad597  bl	#0xfffffff008357020
0xfffffff008df0704: d8ffff17  b	#0xfffffff008df0664
0xfffffff008df0708: 7f2303d5  pacibsp	
0xfffffff008df070c: ff0302d1  sub	sp, sp, #0x80
0xfffffff008df0710: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff008df0714: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008df0718: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008df071c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008df0720: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008df0724: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008df0728: fdc30191  add	x29, sp, #0x70
0xfffffff008df072c: f90306aa  mov	x25, x6
0xfffffff008df0730: f80305aa  mov	x24, x5
0xfffffff008df0734: f30304aa  mov	x19, x4
0xfffffff008df0738: f40303aa  mov	x20, x3
0xfffffff008df073c: f50302aa  mov	x21, x2
0xfffffff008df0740: f60301aa  mov	x22, x1
0xfffffff008df0744: f70300aa  mov	x23, x0
0xfffffff008df0748: 7ca800f0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008df074c: 88476c39  ldrb	w8, [x28, #0xb11]
0xfffffff008df0750: ba2eff90  adrp	x26, #0xfffffff0073c4000
0xfffffff008df0754: 5a833c91  add	x26, x26, #0xf20
0xfffffff008df0758: bb2eff90  adrp	x27, #0xfffffff0073c4000
0xfffffff008df075c: 7bcb3491  add	x27, x27, #0xd32
0xfffffff008df0760: 1f290071  cmp	w8, #0xa
0xfffffff008df0764: a8000054  b.hi	#0xfffffff008df0778
0xfffffff008df0768: fb6b00a9  stp	x27, x26, [sp]
0xfffffff008df076c: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0770: 00843491  add	x0, x0, #0xd21
0xfffffff008df0774: 2b9ad597  bl	#0xfffffff008357020
0xfffffff008df0778: f86700a9  stp	x24, x25, [sp]
0xfffffff008df077c: 61a800f0  adrp	x1, #0xfffffff00a2ff000
0xfffffff008df0780: 21c03091  add	x1, x1, #0xc30
0xfffffff008df0784: 70ffffd0  adrp	x16, #0xfffffff008dde000
0xfffffff008df0788: 10d20e91  add	x16, x16, #0x3b4
0xfffffff008df078c: 519081d2  mov	x17, #0xc82
0xfffffff008df0790: 3002c1da  pacia	x16, x17
0xfffffff008df0794: e00310aa  mov	x0, x16
0xfffffff008df0798: e20317aa  mov	x2, x23
0xfffffff008df079c: e30316aa  mov	x3, x22
0xfffffff008df07a0: 04008052  mov	w4, #0
0xfffffff008df07a4: e50315aa  mov	x5, x21
0xfffffff008df07a8: e60314aa  mov	x6, x20
0xfffffff008df07ac: e70313aa  mov	x7, x19
0xfffffff008df07b0: 43bdff97  bl	#0xfffffff008ddfcbc
0xfffffff008df07b4: f30300aa  mov	x19, x0
0xfffffff008df07b8: 1f000071  cmp	w0, #0
0xfffffff008df07bc: c8088052  mov	w8, #0x46
0xfffffff008df07c0: 49018052  mov	w9, #0xa
0xfffffff008df07c4: 2801881a  csel	w8, w9, w8, eq
0xfffffff008df07c8: 89476c39  ldrb	w9, [x28, #0xb11]
0xfffffff008df07cc: 1f01096b  cmp	w8, w9
0xfffffff008df07d0: e3000054  b.lo	#0xfffffff008df07ec
0xfffffff008df07d4: 687e4093  sxtw	x8, w19
0xfffffff008df07d8: fb6b00a9  stp	x27, x26, [sp]
0xfffffff008df07dc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df07e0: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df07e4: 00503591  add	x0, x0, #0xd54
0xfffffff008df07e8: 0e9ad597  bl	#0xfffffff008357020
