; Candidate 9911
; ADRP+ADD at VM 0xfffffff008bb97c0 (fileoff 0x1bb57c0): page=0x172b000 add_imm=0xd78

0xfffffff008bb9740: 00c00191  add	x0, x0, #0x70
0xfffffff008bb9744: ecabdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb9748: 60b90090  adrp	x0, #0xfffffff00a2e5000
0xfffffff008bb974c: 00200191  add	x0, x0, #0x48
0xfffffff008bb9750: e9abdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb9754: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb9758: 00803b91  add	x0, x0, #0xee0
0xfffffff008bb975c: e6abdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb9760: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb9764: 00e03a91  add	x0, x0, #0xeb8
0xfffffff008bb9768: e3abdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb976c: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb9770: 00403a91  add	x0, x0, #0xe90
0xfffffff008bb9774: e0abdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb9778: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb977c: 00a03991  add	x0, x0, #0xe68
0xfffffff008bb9780: ddabdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb9784: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb9788: 00003991  add	x0, x0, #0xe40
0xfffffff008bb978c: daabdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb9790: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb9794: 00603891  add	x0, x0, #0xe18
0xfffffff008bb9798: d7abdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb979c: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb97a0: 00c03791  add	x0, x0, #0xdf0
0xfffffff008bb97a4: d4abdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb97a8: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb97ac: 00203791  add	x0, x0, #0xdc8
0xfffffff008bb97b0: d1abdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb97b4: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb97b8: 00803691  add	x0, x0, #0xda0
0xfffffff008bb97bc: ceabdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb97c0: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb97c4: 00e03591  add	x0, x0, #0xd78
0xfffffff008bb97c8: cbabdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb97cc: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb97d0: 00403591  add	x0, x0, #0xd50
0xfffffff008bb97d4: c8abdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb97d8: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb97dc: 00a03491  add	x0, x0, #0xd28
0xfffffff008bb97e0: c5abdc97  bl	#0xfffffff0082e46f4
0xfffffff008bb97e4: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb97e8: 00003491  add	x0, x0, #0xd00
0xfffffff008bb97ec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008bb97f0: ff2303d5  autibsp	
0xfffffff008bb97f4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008bb97f8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008bb9800
0xfffffff008bb97fc: 208e38d4  brk	#0xc471
0xfffffff008bb9800: bdabdc17  b	#0xfffffff0082e46f4
0xfffffff008bb9804: 7f2303d5  pacibsp	
0xfffffff008bb9808: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008bb980c: fd030091  mov	x29, sp
0xfffffff008bb9810: a13bfff0  adrp	x1, #0xfffffff007330000
0xfffffff008bb9814: 21803f91  add	x1, x1, #0xfe0
0xfffffff008bb9818: a276ff90  adrp	x2, #0xfffffff007a8d000
0xfffffff008bb981c: 426c41f9  ldr	x2, [x2, #0x2d8]
0xfffffff008bb9820: 030d8052  mov	w3, #0x68
0xfffffff008bb9824: c5a8dc97  bl	#0xfffffff0082e3b38
0xfffffff008bb9828: b076fff0  adrp	x16, #0xfffffff007a90000
0xfffffff008bb982c: 10823c91  add	x16, x16, #0xf20
0xfffffff008bb9830: 10420091  add	x16, x16, #0x10
0xfffffff008bb9834: f10300aa  mov	x17, x0
0xfffffff008bb9838: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bb983c: 300ac1da  pacda	x16, x17
