; Candidate 10711
; ADRP+ADD at VM 0xfffffff008de3f00 (fileoff 0x1ddff00): page=0x1fe5e1000 add_imm=0xe15

0xfffffff008de3e80: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008de3e84: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008de3e88: ff430291  add	sp, sp, #0x90
0xfffffff008de3e8c: ff0f5fd6  retab	
0xfffffff008de3e90: 08c68052  mov	w8, #0x630
0xfffffff008de3e94: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3e98: 29490d91  add	x9, x9, #0x352
0xfffffff008de3e9c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3ea0: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3ea4: 08493991  add	x8, x8, #0xe52
0xfffffff008de3ea8: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3eac: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de3eb0: 12000014  b	#0xfffffff008de3ef8
0xfffffff008de3eb4: 28c68052  mov	w8, #0x631
0xfffffff008de3eb8: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3ebc: 29490d91  add	x9, x9, #0x352
0xfffffff008de3ec0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3ec4: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3ec8: 08493991  add	x8, x8, #0xe52
0xfffffff008de3ecc: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3ed0: 4add1491  add	x10, x10, #0x537
0xfffffff008de3ed4: 09000014  b	#0xfffffff008de3ef8
0xfffffff008de3ed8: 48c68052  mov	w8, #0x632
0xfffffff008de3edc: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3ee0: 29490d91  add	x9, x9, #0x352
0xfffffff008de3ee4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3ee8: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3eec: 08493991  add	x8, x8, #0xe52
0xfffffff008de3ef0: ea2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de3ef4: 4ac10c91  add	x10, x10, #0x330
0xfffffff008de3ef8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de3efc: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de3f00: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3f04: 00543891  add	x0, x0, #0xe15
0xfffffff008de3f08: 46ccd597  bl	#0xfffffff008357020
0xfffffff008de3f0c: c8088052  mov	w8, #0x46
0xfffffff008de3f10: 53008012  mov	w19, #-3
0xfffffff008de3f14: caffff17  b	#0xfffffff008de3e3c
0xfffffff008de3f18: 68c68052  mov	w8, #0x633
0xfffffff008de3f1c: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3f20: 29490d91  add	x9, x9, #0x352
0xfffffff008de3f24: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de3f28: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3f2c: 08493991  add	x8, x8, #0xe52
0xfffffff008de3f30: ea2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de3f34: 4a6d0d91  add	x10, x10, #0x35b
0xfffffff008de3f38: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de3f3c: ea0300f9  str	x10, [sp]
0xfffffff008de3f40: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3f44: 00543891  add	x0, x0, #0xe15
0xfffffff008de3f48: 36ccd597  bl	#0xfffffff008357020
0xfffffff008de3f4c: c8088052  mov	w8, #0x46
0xfffffff008de3f50: 73028012  mov	w19, #-0x14
0xfffffff008de3f54: baffff17  b	#0xfffffff008de3e3c
0xfffffff008de3f58: f40300aa  mov	x20, x0
0xfffffff008de3f5c: 887e4093  sxtw	x8, w20
0xfffffff008de3f60: e9c68052  mov	w9, #0x637
0xfffffff008de3f64: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3f68: 4a490d91  add	x10, x10, #0x352
0xfffffff008de3f6c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de3f70: 092fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de3f74: 29493991  add	x9, x9, #0xe52
0xfffffff008de3f78: 0b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de3f7c: 6bf13a91  add	x11, x11, #0xebc
