; Candidate 5958
; ADRP+ADD at VM 0xfffffff00880ca98 (fileoff 0x1808a98): page=0x1fe9dd000 add_imm=0xe80

0xfffffff00880ca18: 00c02591  add	x0, x0, #0x970
0xfffffff00880ca1c: 91aad697  bl	#0xfffffff007db7460
0xfffffff00880ca20: 26000014  b	#0xfffffff00880cab8
0xfffffff00880ca24: e29d0294  bl	#0xfffffff0088b41ac
0xfffffff00880ca28: f70300aa  mov	x23, x0
0xfffffff00880ca2c: e00315aa  mov	x0, x21
0xfffffff00880ca30: 88bb0194  bl	#0xfffffff00887b850
0xfffffff00880ca34: 884641b9  ldr	w8, [x20, #0x144]
0xfffffff00880ca38: 894a41b9  ldr	w9, [x20, #0x148]
0xfffffff00880ca3c: 8a4e41b9  ldr	w10, [x20, #0x14c]
0xfffffff00880ca40: 8b5241b9  ldr	w11, [x20, #0x150]
0xfffffff00880ca44: ea2f03a9  stp	x10, x11, [sp, #0x30]
0xfffffff00880ca48: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff00880ca4c: e07f01a9  stp	x0, xzr, [sp, #0x10]
0xfffffff00880ca50: e80313aa  mov	x8, x19
0xfffffff00880ca54: f72300a9  stp	x23, x8, [sp]
0xfffffff00880ca58: e04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880ca5c: 00003a91  add	x0, x0, #0xe80
0xfffffff00880ca60: e18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00880ca64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880ca68: c351ffd0  adrp	x3, #0xfffffff007246000
0xfffffff00880ca6c: 63242991  add	x3, x3, #0xa49
0xfffffff00880ca70: 02008052  mov	w2, #0
0xfffffff00880ca74: af99ec97  bl	#0xfffffff008333130
0xfffffff00880ca78: 10000014  b	#0xfffffff00880cab8
0xfffffff00880ca7c: 884641b9  ldr	w8, [x20, #0x144]
0xfffffff00880ca80: 894a41b9  ldr	w9, [x20, #0x148]
0xfffffff00880ca84: 8a4e41b9  ldr	w10, [x20, #0x14c]
0xfffffff00880ca88: 8b5241b9  ldr	w11, [x20, #0x150]
0xfffffff00880ca8c: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff00880ca90: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00880ca94: ff0300f9  str	xzr, [sp]
0xfffffff00880ca98: e04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880ca9c: 00003a91  add	x0, x0, #0xe80
0xfffffff00880caa0: e18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00880caa4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880caa8: c351ffd0  adrp	x3, #0xfffffff007246000
0xfffffff00880caac: 636c2891  add	x3, x3, #0xa1b
0xfffffff00880cab0: 02008052  mov	w2, #0
0xfffffff00880cab4: 9f99ec97  bl	#0xfffffff008333130
0xfffffff00880cab8: e00313aa  mov	x0, x19
0xfffffff00880cabc: e10315aa  mov	x1, x21
0xfffffff00880cac0: 44bb0194  bl	#0xfffffff00887b7d0
0xfffffff00880cac4: a0070034  cbz	w0, #0xfffffff00880cbb8
0xfffffff00880cac8: e00313aa  mov	x0, x19
0xfffffff00880cacc: 53bb0194  bl	#0xfffffff00887b818
0xfffffff00880cad0: 5602f837  tbnz	w22, #0x1f, #0xfffffff00880cb18
0xfffffff00880cad4: d8021b12  and	w24, w22, #0x20
0xfffffff00880cad8: 19000052  eor	w25, w0, #1
0xfffffff00880cadc: b49d0294  bl	#0xfffffff0088b41ac
0xfffffff00880cae0: f70300aa  mov	x23, x0
0xfffffff00880cae4: e00315aa  mov	x0, x21
0xfffffff00880cae8: 5abb0194  bl	#0xfffffff00887b850
0xfffffff00880caec: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff00880caf0: 88020037  tbnz	w8, #0, #0xfffffff00880cb40
0xfffffff00880caf4: 896641b9  ldr	w9, [x20, #0x164]
0xfffffff00880caf8: 28008052  mov	w8, #1
0xfffffff00880cafc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880cb00: e80313aa  mov	x8, x19
0xfffffff00880cb04: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880cb08: f70300f9  str	x23, [sp]
0xfffffff00880cb0c: 6050fff0  adrp	x0, #0xfffffff00721b000
0xfffffff00880cb10: 00f82191  add	x0, x0, #0x87e
0xfffffff00880cb14: 09000014  b	#0xfffffff00880cb38
