; Candidate 12297
; ADRP+ADD at VM 0xfffffff009085930 (fileoff 0x2081930): page=0x1fe3d5000 add_imm=0xd35

0xfffffff0090858b0: 75940090  adrp	x21, #0xfffffff00a311000
0xfffffff0090858b4: b5a20391  add	x21, x21, #0xe8
0xfffffff0090858b8: a9024039  ldrb	w9, [x21]
0xfffffff0090858bc: 3f790071  cmp	w9, #0x1e
0xfffffff0090858c0: a8010054  b.hi	#0xfffffff0090858f4
0xfffffff0090858c4: a91effb0  adrp	x9, #0xfffffff00745a000
0xfffffff0090858c8: 297d3491  add	x9, x9, #0xd1f
0xfffffff0090858cc: aa1eff90  adrp	x10, #0xfffffff007459000
0xfffffff0090858d0: 4a2d3f91  add	x10, x10, #0xfcb
0xfffffff0090858d4: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090858d8: f3a301a9  stp	x19, x8, [sp, #0x18]
0xfffffff0090858dc: e803012a  mov	w8, w1
0xfffffff0090858e0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090858e4: a01effb0  adrp	x0, #0xfffffff00745a000
0xfffffff0090858e8: 004c3391  add	x0, x0, #0xcd3
0xfffffff0090858ec: cd45cb97  bl	#0xfffffff008357020
0xfffffff0090858f0: 88ee5339  ldrb	w8, [x20, #0x4fb]
0xfffffff0090858f4: 7f02086b  cmp	w19, w8
0xfffffff0090858f8: 60000054  b.eq	#0xfffffff009085904
0xfffffff0090858fc: 93ee1339  strb	w19, [x20, #0x4fb]
0xfffffff009085900: 73000037  tbnz	w19, #0, #0xfffffff00908590c
0xfffffff009085904: 13008052  mov	w19, #0
0xfffffff009085908: 15000014  b	#0xfffffff00908595c
0xfffffff00908590c: a8024039  ldrb	w8, [x21]
0xfffffff009085910: 1fa10071  cmp	w8, #0x28
0xfffffff009085914: 48010054  b.hi	#0xfffffff00908593c
0xfffffff009085918: a81effb0  adrp	x8, #0xfffffff00745a000
0xfffffff00908591c: 087d3491  add	x8, x8, #0xd1f
0xfffffff009085920: a91eff90  adrp	x9, #0xfffffff007459000
0xfffffff009085924: 292d3f91  add	x9, x9, #0xfcb
0xfffffff009085928: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff00908592c: e90300f9  str	x9, [sp]
0xfffffff009085930: a01effb0  adrp	x0, #0xfffffff00745a000
0xfffffff009085934: 00d43491  add	x0, x0, #0xd35
0xfffffff009085938: ba45cb97  bl	#0xfffffff008357020
0xfffffff00908593c: e00314aa  mov	x0, x20
0xfffffff009085940: c1008052  mov	w1, #6
0xfffffff009085944: f7fdff97  bl	#0xfffffff009085120
0xfffffff009085948: f30300aa  mov	x19, x0
0xfffffff00908594c: 20030035  cbnz	w0, #0xfffffff0090859b0
0xfffffff009085950: 88ee5339  ldrb	w8, [x20, #0x4fb]
0xfffffff009085954: 08191f12  and	w8, w8, #0xfe
0xfffffff009085958: 88ee1339  strb	w8, [x20, #0x4fb]
0xfffffff00908595c: 48018052  mov	w8, #0xa
0xfffffff009085960: a9024039  ldrb	w9, [x21]
0xfffffff009085964: 1f01096b  cmp	w8, w9
0xfffffff009085968: 83010054  b.lo	#0xfffffff009085998
0xfffffff00908596c: e80313aa  mov	x8, x19
0xfffffff009085970: 087d4093  sxtw	x8, w8
0xfffffff009085974: a91effb0  adrp	x9, #0xfffffff00745a000
0xfffffff009085978: 297d3491  add	x9, x9, #0xd1f
0xfffffff00908597c: aa1eff90  adrp	x10, #0xfffffff007459000
0xfffffff009085980: 4a2d3f91  add	x10, x10, #0xfcb
0xfffffff009085984: ea2700a9  stp	x10, x9, [sp]
0xfffffff009085988: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908598c: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009085990: 00903891  add	x0, x0, #0xe24
0xfffffff009085994: a345cb97  bl	#0xfffffff008357020
0xfffffff009085998: e00313aa  mov	x0, x19
0xfffffff00908599c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090859a0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090859a4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090859a8: ff830191  add	sp, sp, #0x60
0xfffffff0090859ac: ff0f5fd6  retab	
