; Candidate 10587
; ADRP+ADD at VM 0xfffffff008ddee4c (fileoff 0x1ddae4c): page=0x1fe5e6000 add_imm=0xe15

0xfffffff008ddedcc: 21080054  b.ne	#0xfffffff008ddeed0
0xfffffff008ddedd0: e00317aa  mov	x0, x23
0xfffffff008ddedd4: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008ddedd8: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008ddeddc: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008ddede0: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008ddede4: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008ddede8: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff008ddedec: ffc30291  add	sp, sp, #0xb0
0xfffffff008ddedf0: ff0f5fd6  retab	
0xfffffff008ddedf4: f70300aa  mov	x23, x0
0xfffffff008ddedf8: e87e4093  sxtw	x8, w23
0xfffffff008ddedfc: a9088052  mov	w9, #0x45
0xfffffff008ddee00: f4a701a9  stp	x20, x9, [sp, #0x18]
0xfffffff008ddee04: 292fffd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ddee08: 29493991  add	x9, x9, #0xe52
0xfffffff008ddee0c: 2a2fffd0  adrp	x10, #0xfffffff0073c4000
0xfffffff008ddee10: 4af13a91  add	x10, x10, #0xebc
0xfffffff008ddee14: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ddee18: ea0300f9  str	x10, [sp]
0xfffffff008ddee1c: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddee20: 00543891  add	x0, x0, #0xe15
0xfffffff008ddee24: 7fe0d597  bl	#0xfffffff008357020
0xfffffff008ddee28: 1a000014  b	#0xfffffff008ddee90
0xfffffff008ddee2c: c8088052  mov	w8, #0x46
0xfffffff008ddee30: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ddee34: 282fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddee38: 08493991  add	x8, x8, #0xe52
0xfffffff008ddee3c: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddee40: 29211791  add	x9, x9, #0x5c8
0xfffffff008ddee44: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff008ddee48: e97f00a9  stp	x9, xzr, [sp]
0xfffffff008ddee4c: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddee50: 00543891  add	x0, x0, #0xe15
0xfffffff008ddee54: 73e0d597  bl	#0xfffffff008357020
0xfffffff008ddee58: 97008012  mov	w23, #-5
0xfffffff008ddee5c: 0d000014  b	#0xfffffff008ddee90
0xfffffff008ddee60: e87e4093  sxtw	x8, w23
0xfffffff008ddee64: 69078052  mov	w9, #0x3b
0xfffffff008ddee68: f4a701a9  stp	x20, x9, [sp, #0x18]
0xfffffff008ddee6c: 292fffd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ddee70: 29493991  add	x9, x9, #0xe52
0xfffffff008ddee74: 2a2fffd0  adrp	x10, #0xfffffff0073c4000
0xfffffff008ddee78: 4af13a91  add	x10, x10, #0xebc
0xfffffff008ddee7c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ddee80: ea0300f9  str	x10, [sp]
0xfffffff008ddee84: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddee88: 00543891  add	x0, x0, #0xe15
0xfffffff008ddee8c: 65e0d597  bl	#0xfffffff008357020
0xfffffff008ddee90: 002ffff0  adrp	x0, #0xfffffff0073c1000
0xfffffff008ddee94: 00681591  add	x0, x0, #0x55a
0xfffffff008ddee98: 032ffff0  adrp	x3, #0xfffffff0073c1000
0xfffffff008ddee9c: 63480d91  add	x3, x3, #0x352
0xfffffff008ddeea0: 052ffff0  adrp	x5, #0xfffffff0073c1000
0xfffffff008ddeea4: a5501491  add	x5, x5, #0x514
0xfffffff008ddeea8: e10313aa  mov	x1, x19
0xfffffff008ddeeac: 82028052  mov	w2, #0x14
0xfffffff008ddeeb0: 240b8052  mov	w4, #0x59
0xfffffff008ddeeb4: 851f0094  bl	#0xfffffff008de6cc8
0xfffffff008ddeeb8: 8068fff0  adrp	x0, #0xfffffff007af1000
0xfffffff008ddeebc: 00002a91  add	x0, x0, #0xa80
0xfffffff008ddeec0: e10313aa  mov	x1, x19
0xfffffff008ddeec4: 12ded597  bl	#0xfffffff00835670c
0xfffffff008ddeec8: c8088052  mov	w8, #0x46
