; Candidate 240
; ADRP+ADD at VM 0xfffffff007e4b940 (fileoff 0xe47940): page=0x1ff202000 add_imm=0xcf8

0xfffffff007e4b8c0: 53008052  mov	w19, #2
0xfffffff007e4b8c4: ccffff17  b	#0xfffffff007e4b7f4
0xfffffff007e4b8c8: 18008052  mov	w24, #0
0xfffffff007e4b8cc: 33008052  mov	w19, #1
0xfffffff007e4b8d0: c9ffff17  b	#0xfffffff007e4b7f4
0xfffffff007e4b8d4: f30300aa  mov	x19, x0
0xfffffff007e4b8d8: fb0318aa  mov	x27, x24
0xfffffff007e4b8dc: 18008052  mov	w24, #0
0xfffffff007e4b8e0: fc3f40f9  ldr	x28, [sp, #0x78]
0xfffffff007e4b8e4: c6ffff17  b	#0xfffffff007e4b7fc
0xfffffff007e4b8e8: a8ce40b9  ldr	w8, [x21, #0xcc]
0xfffffff007e4b8ec: 08050011  add	w8, w8, #1
0xfffffff007e4b8f0: a8ce00b9  str	w8, [x21, #0xcc]
0xfffffff007e4b8f4: e00315aa  mov	x0, x21
0xfffffff007e4b8f8: 4c8bfd97  bl	#0xfffffff007dae628
0xfffffff007e4b8fc: 33008052  mov	w19, #1
0xfffffff007e4b900: d3ffff17  b	#0xfffffff007e4b84c
0xfffffff007e4b904: fb0318aa  mov	x27, x24
0xfffffff007e4b908: 18008052  mov	w24, #0
0xfffffff007e4b90c: 33008052  mov	w19, #1
0xfffffff007e4b910: fc3f40f9  ldr	x28, [sp, #0x78]
0xfffffff007e4b914: fa0308aa  mov	x26, x8
0xfffffff007e4b918: b9ffff17  b	#0xfffffff007e4b7fc
0xfffffff007e4b91c: 4c49fc97  bl	#0xfffffff007d5de4c
0xfffffff007e4b920: 0890ffd0  adrp	x8, #0xfffffff00704d000
0xfffffff007e4b924: 08a52491  add	x8, x8, #0x929
0xfffffff007e4b928: 29688352  mov	w9, #0x1b41
0xfffffff007e4b92c: 04000014  b	#0xfffffff007e4b93c
0xfffffff007e4b930: 0890ffd0  adrp	x8, #0xfffffff00704d000
0xfffffff007e4b934: 08a52491  add	x8, x8, #0x929
0xfffffff007e4b938: a9968352  mov	w9, #0x1cb5
0xfffffff007e4b93c: e82700a9  stp	x8, x9, [sp]
0xfffffff007e4b940: 0090ffd0  adrp	x0, #0xfffffff00704d000
0xfffffff007e4b944: 00e03391  add	x0, x0, #0xcf8
0xfffffff007e4b948: f1221994  bl	#0xfffffff00849450c
0xfffffff007e4b94c: 7f2303d5  pacibsp	
0xfffffff007e4b950: ffc305d1  sub	sp, sp, #0x170
0xfffffff007e4b954: fc6f11a9  stp	x28, x27, [sp, #0x110]
0xfffffff007e4b958: fa6712a9  stp	x26, x25, [sp, #0x120]
0xfffffff007e4b95c: f85f13a9  stp	x24, x23, [sp, #0x130]
0xfffffff007e4b960: f65714a9  stp	x22, x21, [sp, #0x140]
0xfffffff007e4b964: f44f15a9  stp	x20, x19, [sp, #0x150]
0xfffffff007e4b968: fd7b16a9  stp	x29, x30, [sp, #0x160]
0xfffffff007e4b96c: fd830591  add	x29, sp, #0x160
0xfffffff007e4b970: f40305aa  mov	x20, x5
0xfffffff007e4b974: fb0304aa  mov	x27, x4
0xfffffff007e4b978: f50303aa  mov	x21, x3
0xfffffff007e4b97c: f30302aa  mov	x19, x2
0xfffffff007e4b980: f60301aa  mov	x22, x1
0xfffffff007e4b984: f70300aa  mov	x23, x0
0xfffffff007e4b988: e81b0190  adrp	x8, #0xfffffff00a1c7000
0xfffffff007e4b98c: 08010091  add	x8, x8, #0
0xfffffff007e4b990: 080140f9  ldr	x8, [x8]
0xfffffff007e4b994: a8031af8  stur	x8, [x29, #-0x60]
0xfffffff007e4b998: ff7f0aa9  stp	xzr, xzr, [sp, #0xa0]
0xfffffff007e4b99c: ff9f00b9  str	wzr, [sp, #0x9c]
0xfffffff007e4b9a0: ffff08a9  stp	xzr, xzr, [sp, #0x88]
0xfffffff007e4b9a4: f90300aa  mov	x25, x0
0xfffffff007e4b9a8: 300f44f8  ldr	x16, [x25, #0x40]!
0xfffffff007e4b9ac: b00100b4  cbz	x16, #0xfffffff007e4b9e0
0xfffffff007e4b9b0: f10319aa  mov	x17, x25
0xfffffff007e4b9b4: 91a1e4f2  movk	x17, #0x250c, lsl #48
0xfffffff007e4b9b8: 301ac1da  autda	x16, x17
0xfffffff007e4b9bc: f10310aa  mov	x17, x16
