; Candidate 11064
; ADRP+ADD at VM 0xfffffff008e441d4 (fileoff 0x1e401d4): page=0x1fe58e000 add_imm=0xe6d

0xfffffff008e44154: a82a44b9  ldr	w8, [x21, #0x428]
0xfffffff008e44158: a9029052  mov	w9, #0x8015
0xfffffff008e4415c: 1f01096b  cmp	w8, w9
0xfffffff008e44160: 01040054  b.ne	#0xfffffff008e441e0
0xfffffff008e44164: a02e44b9  ldr	w0, [x21, #0x42c]
0xfffffff008e44168: e0030034  cbz	w0, #0xfffffff008e441e4
0xfffffff008e4416c: 1f080071  cmp	w0, #2
0xfffffff008e44170: a0030054  b.eq	#0xfffffff008e441e4
0xfffffff008e44174: 1f040071  cmp	w0, #1
0xfffffff008e44178: 81020054  b.ne	#0xfffffff008e441c8
0xfffffff008e4417c: 20008052  mov	w0, #1
0xfffffff008e44180: 340300b4  cbz	x20, #0xfffffff008e441e4
0xfffffff008e44184: 130300b4  cbz	x19, #0xfffffff008e441e4
0xfffffff008e44188: 08008052  mov	w8, #0
0xfffffff008e4418c: 090080d2  mov	x9, #0
0xfffffff008e44190: aa3244b9  ldr	w10, [x21, #0x430]
0xfffffff008e44194: 7f0200b9  str	wzr, [x19]
0xfffffff008e44198: 2b008052  mov	w11, #1
0xfffffff008e4419c: 4c25c91a  lsr	w12, w10, w9
0xfffffff008e441a0: ac000036  tbz	w12, #0, #0xfffffff008e441b4
0xfffffff008e441a4: 8c7a69b8  ldr	w12, [x20, x9, lsl #2]
0xfffffff008e441a8: 6c21cc1a  lsl	w12, w11, w12
0xfffffff008e441ac: 08010c2a  orr	w8, w8, w12
0xfffffff008e441b0: 680200b9  str	w8, [x19]
0xfffffff008e441b4: 29050091  add	x9, x9, #1
0xfffffff008e441b8: 20008052  mov	w0, #1
0xfffffff008e441bc: 3f1100f1  cmp	x9, #4
0xfffffff008e441c0: e1feff54  b.ne	#0xfffffff008e4419c
0xfffffff008e441c4: 08000014  b	#0xfffffff008e441e4
0xfffffff008e441c8: 682cffd0  adrp	x8, #0xfffffff0073d2000
0xfffffff008e441cc: 08593a91  add	x8, x8, #0xe96
0xfffffff008e441d0: e80300a9  stp	x8, x0, [sp]
0xfffffff008e441d4: 602cffd0  adrp	x0, #0xfffffff0073d2000
0xfffffff008e441d8: 00b43991  add	x0, x0, #0xe6d
0xfffffff008e441dc: 914bd497  bl	#0xfffffff008357020
0xfffffff008e441e0: 00008052  mov	w0, #0
0xfffffff008e441e4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008e441e8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008e441ec: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008e441f0: ff030191  add	sp, sp, #0x40
0xfffffff008e441f4: ff0f5fd6  retab	
0xfffffff008e441f8: 5f2403d5  bti	c
0xfffffff008e441fc: 20008052  mov	w0, #1
0xfffffff008e44200: c0035fd6  ret	
0xfffffff008e44204: 7f2303d5  pacibsp	
0xfffffff008e44208: ff8301d1  sub	sp, sp, #0x60
0xfffffff008e4420c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008e44210: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008e44214: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008e44218: fd430191  add	x29, sp, #0x50
0xfffffff008e4421c: f30301aa  mov	x19, x1
0xfffffff008e44220: f40300aa  mov	x20, x0
0xfffffff008e44224: 004440f9  ldr	x0, [x0, #0x88]
0xfffffff008e44228: 3edc0194  bl	#0xfffffff008ebb320
0xfffffff008e4422c: 080080d2  mov	x8, #0
0xfffffff008e44230: 691a43b9  ldr	w9, [x19, #0x318]
0xfffffff008e44234: ea0300aa  mov	x10, x0
0xfffffff008e44238: 4a7d7fd3  ubfiz	x10, x10, #1, #0x20
0xfffffff008e4423c: 6b660091  add	x11, x19, #0x19
0xfffffff008e44240: 35008052  mov	w21, #1
0xfffffff008e44244: 2c25c81a  lsr	w12, w9, w8
0xfffffff008e44248: ec020036  tbz	w12, #0, #0xfffffff008e442a4
0xfffffff008e4424c: 6c0e088b  add	x12, x19, x8, lsl #3
0xfffffff008e44250: 8c1945f9  ldr	x12, [x12, #0xa30]
