; Candidate 13579
; ADRP+ADD at VM 0xfffffff0093abf04 (fileoff 0x23a7f04): page=0x1fe157000 add_imm=0xd20

0xfffffff0093abe84: 67acbe97  bl	#0xfffffff008357020
0xfffffff0093abe88: 15008052  mov	w21, #0
0xfffffff0093abe8c: e00315aa  mov	x0, x21
0xfffffff0093abe90: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0093abe94: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0093abe98: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0093abe9c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0093abea0: ff830191  add	sp, sp, #0x60
0xfffffff0093abea4: ff0f5fd6  retab	
0xfffffff0093abea8: 7f2303d5  pacibsp	
0xfffffff0093abeac: ff4302d1  sub	sp, sp, #0x90
0xfffffff0093abeb0: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0093abeb4: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0093abeb8: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0093abebc: fd030291  add	x29, sp, #0x80
0xfffffff0093abec0: f30300aa  mov	x19, x0
0xfffffff0093abec4: bfc31db8  stur	wzr, [x29, #-0x24]
0xfffffff0093abec8: bf831d78  sturh	wzr, [x29, #-0x28]
0xfffffff0093abecc: bf431db8  stur	wzr, [x29, #-0x2c]
0xfffffff0093abed0: bf031d78  sturh	wzr, [x29, #-0x30]
0xfffffff0093abed4: bfc31cb8  stur	wzr, [x29, #-0x34]
0xfffffff0093abed8: 5f63bf97  bl	#0xfffffff008384c54
0xfffffff0093abedc: 20160037  tbnz	w0, #0, #0xfffffff0093ac1a0
0xfffffff0093abee0: b47e00b0  adrp	x20, #0xfffffff00a380000
0xfffffff0093abee4: 94622b91  add	x20, x20, #0xad8
0xfffffff0093abee8: e00314aa  mov	x0, x20
0xfffffff0093abeec: 9be2bc97  bl	#0xfffffff0082e4958
0xfffffff0093abef0: e00314aa  mov	x0, x20
0xfffffff0093abef4: 99e2bc97  bl	#0xfffffff0082e4958
0xfffffff0093abef8: d50aff90  adrp	x21, #0xfffffff007503000
0xfffffff0093abefc: b51a1c91  add	x21, x21, #0x706
0xfffffff0093abf00: e05700a9  stp	x0, x21, [sp]
0xfffffff0093abf04: a00afff0  adrp	x0, #0xfffffff007502000
0xfffffff0093abf08: 00803491  add	x0, x0, #0xd20
0xfffffff0093abf0c: e140fff0  adrp	x1, #0xfffffff007bca000
0xfffffff0093abf10: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093abf14: c30affb0  adrp	x3, #0xfffffff007504000
0xfffffff0093abf18: 63201591  add	x3, x3, #0x548
0xfffffff0093abf1c: 22008052  mov	w2, #1
0xfffffff0093abf20: 841cbe97  bl	#0xfffffff008333130
0xfffffff0093abf24: a19300d1  sub	x1, x29, #0x24
0xfffffff0093abf28: e00313aa  mov	x0, x19
0xfffffff0093abf2c: 4a010094  bl	#0xfffffff0093ac454
0xfffffff0093abf30: a2c35db8  ldur	w2, [x29, #-0x24]
0xfffffff0093abf34: 625e0eb9  str	w2, [x19, #0xe5c]
0xfffffff0093abf38: 700240f9  ldr	x16, [x19]
0xfffffff0093abf3c: f10313aa  mov	x17, x19
0xfffffff0093abf40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093abf44: 301ac1da  autda	x16, x17
0xfffffff0093abf48: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0093abf4c: e90310aa  mov	x9, x16
0xfffffff0093abf50: c10aff90  adrp	x1, #0xfffffff007503000
0xfffffff0093abf54: 21441c91  add	x1, x1, #0x711
0xfffffff0093abf58: e00313aa  mov	x0, x19
0xfffffff0093abf5c: 03048052  mov	w3, #0x20
0xfffffff0093abf60: f10309aa  mov	x17, x9
0xfffffff0093abf64: d17ee2f2  movk	x17, #0x13f6, lsl #48
0xfffffff0093abf68: 11093fd7  blraa	x8, x17
0xfffffff0093abf6c: a8c35db8  ldur	w8, [x29, #-0x24]
0xfffffff0093abf70: 1f050071  cmp	w8, #1
0xfffffff0093abf74: 20050054  b.eq	#0xfffffff0093ac018
0xfffffff0093abf78: 1f090071  cmp	w8, #2
0xfffffff0093abf7c: 81090054  b.ne	#0xfffffff0093ac0ac
0xfffffff0093abf80: e00313aa  mov	x0, x19
