; Candidate 12494
; ADRP+ADD at VM 0xfffffff0090a87b4 (fileoff 0x20a47b4): page=0x1fe3b1000 add_imm=0xe24

0xfffffff0090a8734: 18430c91  add	x24, x24, #0x310
0xfffffff0090a8738: 08034039  ldrb	w8, [x24]
0xfffffff0090a873c: f61dff90  adrp	x22, #0xfffffff007464000
0xfffffff0090a8740: d64e1191  add	x22, x22, #0x453
0xfffffff0090a8744: b71dffb0  adrp	x23, #0xfffffff00745d000
0xfffffff0090a8748: f7423c91  add	x23, x23, #0xf10
0xfffffff0090a874c: 1f290071  cmp	w8, #0xa
0xfffffff0090a8750: a8000054  b.hi	#0xfffffff0090a8764
0xfffffff0090a8754: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090a8758: 801dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a875c: 00583191  add	x0, x0, #0xc56
0xfffffff0090a8760: 30baca97  bl	#0xfffffff008357020
0xfffffff0090a8764: d40300b4  cbz	x20, #0xfffffff0090a87dc
0xfffffff0090a8768: b50300b4  cbz	x21, #0xfffffff0090a87dc
0xfffffff0090a876c: 930300b4  cbz	x19, #0xfffffff0090a87dc
0xfffffff0090a8770: a80240f9  ldr	x8, [x21]
0xfffffff0090a8774: e80000b4  cbz	x8, #0xfffffff0090a8790
0xfffffff0090a8778: 890240b9  ldr	w9, [x20]
0xfffffff0090a877c: 0a1140b9  ldr	w10, [x8, #0x10]
0xfffffff0090a8780: 5f01096b  cmp	w10, w9
0xfffffff0090a8784: 60000054  b.eq	#0xfffffff0090a8790
0xfffffff0090a8788: 080540f9  ldr	x8, [x8, #8]
0xfffffff0090a878c: 88ffffb5  cbnz	x8, #0xfffffff0090a877c
0xfffffff0090a8790: 14008052  mov	w20, #0
0xfffffff0090a8794: 680200f9  str	x8, [x19]
0xfffffff0090a8798: 48018052  mov	w8, #0xa
0xfffffff0090a879c: 09034039  ldrb	w9, [x24]
0xfffffff0090a87a0: 1f01096b  cmp	w8, w9
0xfffffff0090a87a4: e3000054  b.lo	#0xfffffff0090a87c0
0xfffffff0090a87a8: 887e4093  sxtw	x8, w20
0xfffffff0090a87ac: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090a87b0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a87b4: 801dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a87b8: 00903891  add	x0, x0, #0xe24
0xfffffff0090a87bc: 19baca97  bl	#0xfffffff008357020
0xfffffff0090a87c0: e00314aa  mov	x0, x20
0xfffffff0090a87c4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090a87c8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090a87cc: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090a87d0: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090a87d4: ffc30191  add	sp, sp, #0x70
0xfffffff0090a87d8: ff0f5fd6  retab	
0xfffffff0090a87dc: 68198052  mov	w8, #0xcb
0xfffffff0090a87e0: c91dfff0  adrp	x9, #0xfffffff007463000
0xfffffff0090a87e4: 29193d91  add	x9, x9, #0xf46
0xfffffff0090a87e8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090a87ec: 881dffb0  adrp	x8, #0xfffffff007459000
0xfffffff0090a87f0: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090a87f4: ea1dff90  adrp	x10, #0xfffffff007464000
0xfffffff0090a87f8: 4a711191  add	x10, x10, #0x45c
0xfffffff0090a87fc: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090a8800: ea0300f9  str	x10, [sp]
0xfffffff0090a8804: 801dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a8808: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090a880c: 05baca97  bl	#0xfffffff008357020
0xfffffff0090a8810: 54008012  mov	w20, #-3
0xfffffff0090a8814: c8088052  mov	w8, #0x46
0xfffffff0090a8818: e1ffff17  b	#0xfffffff0090a879c
0xfffffff0090a881c: 7f2303d5  pacibsp	
0xfffffff0090a8820: ff4302d1  sub	sp, sp, #0x90
0xfffffff0090a8824: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff0090a8828: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0090a882c: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0090a8830: f65706a9  stp	x22, x21, [sp, #0x60]
