; Candidate 5481
; ADRP+ADD at VM 0xfffffff0087f32e4 (fileoff 0x17ef2e4): page=0x1fe9f6000 add_imm=0xe80

0xfffffff0087f3264: 6d210294  bl	#0xfffffff00887b818
0xfffffff0087f3268: f90300aa  mov	x25, x0
0xfffffff0087f326c: d0030394  bl	#0xfffffff0088b41ac
0xfffffff0087f3270: f80300aa  mov	x24, x0
0xfffffff0087f3274: 00018052  mov	w0, #8
0xfffffff0087f3278: 76210294  bl	#0xfffffff00887b850
0xfffffff0087f327c: b9010034  cbz	w25, #0xfffffff0087f32b0
0xfffffff0087f3280: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff0087f3284: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0087f3288: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f328c: 08b11e91  add	x8, x8, #0x7ac
0xfffffff0087f3290: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f3294: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f3298: e80e8052  mov	w8, #0x77
0xfffffff0087f329c: 0051ffd0  adrp	x0, #0xfffffff007215000
0xfffffff0087f32a0: 00101e91  add	x0, x0, #0x784
0xfffffff0087f32a4: f82300a9  stp	x24, x8, [sp]
0xfffffff0087f32a8: 6e10d797  bl	#0xfffffff007db7460
0xfffffff0087f32ac: 16000014  b	#0xfffffff0087f3304
0xfffffff0087f32b0: bf030394  bl	#0xfffffff0088b41ac
0xfffffff0087f32b4: f80300aa  mov	x24, x0
0xfffffff0087f32b8: 00018052  mov	w0, #8
0xfffffff0087f32bc: 65210294  bl	#0xfffffff00887b850
0xfffffff0087f32c0: e80317aa  mov	x8, x23
0xfffffff0087f32c4: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087f32c8: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0087f32cc: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f32d0: 08b11e91  add	x8, x8, #0x7ac
0xfffffff0087f32d4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f32d8: e80e8052  mov	w8, #0x77
0xfffffff0087f32dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f32e0: f80300f9  str	x24, [sp]
0xfffffff0087f32e4: a04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f32e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f32ec: a190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f32f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f32f4: 6352ffb0  adrp	x3, #0xfffffff007240000
0xfffffff0087f32f8: 63c00b91  add	x3, x3, #0x2f0
0xfffffff0087f32fc: 02008052  mov	w2, #0
0xfffffff0087f3300: 8cffec97  bl	#0xfffffff008333130
0xfffffff0087f3304: e00317aa  mov	x0, x23
0xfffffff0087f3308: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0087f330c: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0087f3310: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff0087f3314: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0087f3318: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff0087f331c: ff030391  add	sp, sp, #0xc0
0xfffffff0087f3320: ff0f5fd6  retab	
0xfffffff0087f3324: 7f2303d5  pacibsp	
0xfffffff0087f3328: ff0305d1  sub	sp, sp, #0x140
0xfffffff0087f332c: fc6f0ea9  stp	x28, x27, [sp, #0xe0]
0xfffffff0087f3330: fa670fa9  stp	x26, x25, [sp, #0xf0]
0xfffffff0087f3334: f85f10a9  stp	x24, x23, [sp, #0x100]
0xfffffff0087f3338: f65711a9  stp	x22, x21, [sp, #0x110]
0xfffffff0087f333c: f44f12a9  stp	x20, x19, [sp, #0x120]
0xfffffff0087f3340: fd7b13a9  stp	x29, x30, [sp, #0x130]
0xfffffff0087f3344: fdc30491  add	x29, sp, #0x130
0xfffffff0087f3348: f90303aa  mov	x25, x3
0xfffffff0087f334c: f30302aa  mov	x19, x2
0xfffffff0087f3350: fb0301aa  mov	x27, x1
0xfffffff0087f3354: f60300aa  mov	x22, x0
0xfffffff0087f3358: a890ffb0  adrp	x8, #0xfffffff007a08000
0xfffffff0087f335c: 082942f9  ldr	x8, [x8, #0x450]
0xfffffff0087f3360: 080140f9  ldr	x8, [x8]
