; Candidate 3990
; ADRP+ADD at VM 0xfffffff00877f7d8 (fileoff 0x177b7d8): page=0x1fe9b2000 add_imm=0xd90

0xfffffff00877f758: 5f2403d5  bti	c
0xfffffff00877f75c: 080c8052  mov	w8, #0x60
0xfffffff00877f760: 2800a89b  umaddl	x8, w1, w8, x0
0xfffffff00877f764: 00411791  add	x0, x8, #0x5d0
0xfffffff00877f768: c0035fd6  ret	
0xfffffff00877f76c: 7f2303d5  pacibsp	
0xfffffff00877f770: ffc300d1  sub	sp, sp, #0x30
0xfffffff00877f774: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00877f778: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00877f77c: fd830091  add	x29, sp, #0x20
0xfffffff00877f780: f40302aa  mov	x20, x2
0xfffffff00877f784: f30300aa  mov	x19, x0
0xfffffff00877f788: 78defe97  bl	#0xfffffff008737168
0xfffffff00877f78c: 1094ffd0  adrp	x16, #0xfffffff007a01000
0xfffffff00877f790: 10220191  add	x16, x16, #0x48
0xfffffff00877f794: 10420091  add	x16, x16, #0x10
0xfffffff00877f798: f10300aa  mov	x17, x0
0xfffffff00877f79c: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff00877f7a0: 300ac1da  pacda	x16, x17
0xfffffff00877f7a4: 100000f9  str	x16, [x0]
0xfffffff00877f7a8: 2094ffd0  adrp	x0, #0xfffffff007a05000
0xfffffff00877f7ac: 00a01a91  add	x0, x0, #0x6a8
0xfffffff00877f7b0: 515bef97  bl	#0xfffffff0083564f4
0xfffffff00877f7b4: 01008052  mov	w1, #0
0xfffffff00877f7b8: e20314aa  mov	x2, x20
0xfffffff00877f7bc: 735cfd97  bl	#0xfffffff0086d6988
0xfffffff00877f7c0: 60da02f9  str	x0, [x19, #0x5b0]
0xfffffff00877f7c4: a00100b5  cbnz	x0, #0xfffffff00877f7f8
0xfffffff00877f7c8: 88038052  mov	w8, #0x1c
0xfffffff00877f7cc: c94efff0  adrp	x9, #0xfffffff00715a000
0xfffffff00877f7d0: 29890e91  add	x9, x9, #0x3a2
0xfffffff00877f7d4: e92300a9  stp	x9, x8, [sp]
0xfffffff00877f7d8: 804dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00877f7dc: 00403691  add	x0, x0, #0xd90
0xfffffff00877f7e0: e193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877f7e4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877f7e8: 234effd0  adrp	x3, #0xfffffff007145000
0xfffffff00877f7ec: 63080491  add	x3, x3, #0x102
0xfffffff00877f7f0: 02008052  mov	w2, #0
0xfffffff00877f7f4: 4fceee97  bl	#0xfffffff008333130
0xfffffff00877f7f8: 08008452  mov	w8, #0x2000
0xfffffff00877f7fc: 689600f9  str	x8, [x19, #0x128]
0xfffffff00877f800: 4094ff90  adrp	x0, #0xfffffff007a07000
0xfffffff00877f804: 00e01b91  add	x0, x0, #0x6f8
0xfffffff00877f808: 01009052  mov	w1, #0x8000
0xfffffff00877f80c: 715def97  bl	#0xfffffff008356dd0
0xfffffff00877f810: 609200f9  str	x0, [x19, #0x120]
0xfffffff00877f814: a00100b5  cbnz	x0, #0xfffffff00877f848
0xfffffff00877f818: 48048052  mov	w8, #0x22
0xfffffff00877f81c: c94efff0  adrp	x9, #0xfffffff00715a000
0xfffffff00877f820: 29890e91  add	x9, x9, #0x3a2
0xfffffff00877f824: e92300a9  stp	x9, x8, [sp]
0xfffffff00877f828: 804dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00877f82c: 00403691  add	x0, x0, #0xd90
0xfffffff00877f830: e193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877f834: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877f838: 234effd0  adrp	x3, #0xfffffff007145000
0xfffffff00877f83c: 63d40491  add	x3, x3, #0x135
0xfffffff00877f840: 02008052  mov	w2, #0
0xfffffff00877f844: 3bceee97  bl	#0xfffffff008333130
0xfffffff00877f848: 14268052  mov	w20, #0x130
0xfffffff00877f84c: 60d242f9  ldr	x0, [x19, #0x5a0]
0xfffffff00877f850: 6302148b  add	x3, x19, x20
0xfffffff00877f854: 01588552  mov	w1, #0x2ac0
