; Candidate 8566
; ADRP+ADD at VM 0xfffffff0088b23c4 (fileoff 0x18ae3c4): page=0x1fe937000 add_imm=0xe80

0xfffffff0088b2344: c9268152  mov	w9, #0x936
0xfffffff0088b2348: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b234c: 084cffd0  adrp	x8, #0xfffffff007234000
0xfffffff0088b2350: 08e12091  add	x8, x8, #0x838
0xfffffff0088b2354: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b2358: c80f8052  mov	w8, #0x7e
0xfffffff0088b235c: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088b2360: a049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b2364: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b2368: a18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b236c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b2370: 834dffd0  adrp	x3, #0xfffffff007264000
0xfffffff0088b2374: 63302991  add	x3, x3, #0xa4c
0xfffffff0088b2378: 02008052  mov	w2, #0
0xfffffff0088b237c: 6d03ea97  bl	#0xfffffff008333130
0xfffffff0088b2380: e4fdff17  b	#0xfffffff0088b1b10
0xfffffff0088b2384: 8a070094  bl	#0xfffffff0088b41ac
0xfffffff0088b2388: fa0300aa  mov	x26, x0
0xfffffff0088b238c: 80008052  mov	w0, #4
0xfffffff0088b2390: 3025ff97  bl	#0xfffffff00887b850
0xfffffff0088b2394: 680240b9  ldr	w8, [x19]
0xfffffff0088b2398: e8d703a9  stp	x8, x21, [sp, #0x38]
0xfffffff0088b239c: e84affd0  adrp	x8, #0xfffffff007210000
0xfffffff0088b23a0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088b23a4: 892f8152  mov	w9, #0x97c
0xfffffff0088b23a8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088b23ac: 084cffd0  adrp	x8, #0xfffffff007234000
0xfffffff0088b23b0: 08e12091  add	x8, x8, #0x838
0xfffffff0088b23b4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088b23b8: c80f8052  mov	w8, #0x7e
0xfffffff0088b23bc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b23c0: fa0300f9  str	x26, [sp]
0xfffffff0088b23c4: a049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b23c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b23cc: a18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b23d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b23d4: 834dffd0  adrp	x3, #0xfffffff007264000
0xfffffff0088b23d8: 63a82e91  add	x3, x3, #0xbaa
0xfffffff0088b23dc: 02008052  mov	w2, #0
0xfffffff0088b23e0: 5403ea97  bl	#0xfffffff008333130
0xfffffff0088b23e4: cbfdff17  b	#0xfffffff0088b1b10
0xfffffff0088b23e8: 7f2303d5  pacibsp	
0xfffffff0088b23ec: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff0088b23f0: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff0088b23f4: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0088b23f8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088b23fc: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088b2400: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088b2404: fd430191  add	x29, sp, #0x50
0xfffffff0088b2408: ffc307d1  sub	sp, sp, #0x1f0
0xfffffff0088b240c: f70304aa  mov	x23, x4
0xfffffff0088b2410: f80303aa  mov	x24, x3
0xfffffff0088b2414: fa0302aa  mov	x26, x2
0xfffffff0088b2418: f40301aa  mov	x20, x1
0xfffffff0088b241c: f30300aa  mov	x19, x0
0xfffffff0088b2420: a88affd0  adrp	x8, #0xfffffff007a08000
0xfffffff0088b2424: 082942f9  ldr	x8, [x8, #0x450]
0xfffffff0088b2428: 080140f9  ldr	x8, [x8]
0xfffffff0088b242c: a8031af8  stur	x8, [x29, #-0x60]
0xfffffff0088b2430: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0088b2434: a0033cad  stp	q0, q0, [x29, #-0x80]
0xfffffff0088b2438: e0030dad  stp	q0, q0, [sp, #0x1a0]
0xfffffff0088b243c: e0030cad  stp	q0, q0, [sp, #0x180]
0xfffffff0088b2440: e0030bad  stp	q0, q0, [sp, #0x160]
