; Candidate 1841
; ADRP+ADD at VM 0xfffffff008534e40 (fileoff 0x1530e40): page=0x1febad000 add_imm=0xdd8

0xfffffff008534dc0: 99dc4c94  bl	#0xfffffff00986c024
0xfffffff008534dc4: 20008052  mov	w0, #1
0xfffffff008534dc8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008534dcc: ff0f5fd6  retab	
0xfffffff008534dd0: 7f2303d5  pacibsp	
0xfffffff008534dd4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008534dd8: fd030091  mov	x29, sp
0xfffffff008534ddc: e20301aa  mov	x2, x1
0xfffffff008534de0: 480443f8  ldr	x8, [x2], #0x30
0xfffffff008534de4: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff008534de8: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff008534dec: 08a140f9  ldr	x8, [x8, #0x140]
0xfffffff008534df0: 012040b9  ldr	w1, [x0, #0x20]
0xfffffff008534df4: e00308aa  mov	x0, x8
0xfffffff008534df8: 91db4c94  bl	#0xfffffff00986bc3c
0xfffffff008534dfc: 20008052  mov	w0, #1
0xfffffff008534e00: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008534e04: ff0f5fd6  retab	
0xfffffff008534e08: 7f2303d5  pacibsp	
0xfffffff008534e0c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008534e10: fd030091  mov	x29, sp
0xfffffff008534e14: 280443f8  ldr	x8, [x1], #0x30
0xfffffff008534e18: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff008534e1c: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff008534e20: 00a140f9  ldr	x0, [x8, #0x140]
0xfffffff008534e24: b4d94c94  bl	#0xfffffff00986b4f4
0xfffffff008534e28: 20008052  mov	w0, #1
0xfffffff008534e2c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008534e30: ff0f5fd6  retab	
0xfffffff008534e34: 7f2303d5  pacibsp	
0xfffffff008534e38: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008534e3c: fd030091  mov	x29, sp
0xfffffff008534e40: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008534e44: 00603791  add	x0, x0, #0xdd8
0xfffffff008534e48: fcd0f797  bl	#0xfffffff008329238
0xfffffff008534e4c: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008534e50: 008d03f9  str	x0, [x8, #0x718]
0xfffffff008534e54: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008534e58: 00083891  add	x0, x0, #0xe02
0xfffffff008534e5c: f7d0f797  bl	#0xfffffff008329238
0xfffffff008534e60: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008534e64: 009103f9  str	x0, [x8, #0x720]
0xfffffff008534e68: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008534e6c: 00883891  add	x0, x0, #0xe22
0xfffffff008534e70: f2d0f797  bl	#0xfffffff008329238
0xfffffff008534e74: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008534e78: 009503f9  str	x0, [x8, #0x728]
0xfffffff008534e7c: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008534e80: 00e43891  add	x0, x0, #0xe39
0xfffffff008534e84: edd0f797  bl	#0xfffffff008329238
0xfffffff008534e88: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008534e8c: 009903f9  str	x0, [x8, #0x730]
0xfffffff008534e90: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008534e94: 004c3991  add	x0, x0, #0xe53
0xfffffff008534e98: e8d0f797  bl	#0xfffffff008329238
0xfffffff008534e9c: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008534ea0: 009d03f9  str	x0, [x8, #0x738]
0xfffffff008534ea4: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008534ea8: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008534eac: e3d0f797  bl	#0xfffffff008329238
0xfffffff008534eb0: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008534eb4: 00a103f9  str	x0, [x8, #0x740]
0xfffffff008534eb8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008534ebc: ff0f5fd6  retab	
