; Candidate 1932
; ADRP+ADD at VM 0xfffffff00853cbc0 (fileoff 0x1538bc0): page=0x1ff465000 add_imm=0xd40

0xfffffff00853cb40: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00853cb44: e80300f9  str	x8, [sp]
0xfffffff00853cb48: 005dffb0  adrp	x0, #0xfffffff0070dd000
0xfffffff00853cb4c: 00a01191  add	x0, x0, #0x468
0xfffffff00853cb50: 6f5efd97  bl	#0xfffffff00849450c
0xfffffff00853cb54: 5f2403d5  bti	c
0xfffffff00853cb58: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853cb5c: 00a03491  add	x0, x0, #0xd28
0xfffffff00853cb60: c0035fd6  ret	
0xfffffff00853cb64: 7f2303d5  pacibsp	
0xfffffff00853cb68: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853cb6c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853cb70: fd430091  add	x29, sp, #0x10
0xfffffff00853cb74: f30300aa  mov	x19, x0
0xfffffff00853cb78: 8ab54c94  bl	#0xfffffff00986a1a0
0xfffffff00853cb7c: 20a3ffb0  adrp	x0, #0xfffffff0079a1000
0xfffffff00853cb80: 00003591  add	x0, x0, #0xd40
0xfffffff00853cb84: e10313aa  mov	x1, x19
0xfffffff00853cb88: 02168052  mov	w2, #0xb0
0xfffffff00853cb8c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853cb90: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853cb94: ff2303d5  autibsp	
0xfffffff00853cb98: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00853cb9c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00853cba4
0xfffffff00853cba0: 208e38d4  brk	#0xc471
0xfffffff00853cba4: beaaf617  b	#0xfffffff0082e769c
0xfffffff00853cba8: 5f2403d5  bti	c
0xfffffff00853cbac: 7db54c14  b	#0xfffffff00986a1a0
0xfffffff00853cbb0: 7f2303d5  pacibsp	
0xfffffff00853cbb4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853cbb8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853cbbc: fd430091  add	x29, sp, #0x10
0xfffffff00853cbc0: 20a3ffb0  adrp	x0, #0xfffffff0079a1000
0xfffffff00853cbc4: 00003591  add	x0, x0, #0xd40
0xfffffff00853cbc8: 01168052  mov	w1, #0xb0
0xfffffff00853cbcc: 9baaf697  bl	#0xfffffff0082e7638
0xfffffff00853cbd0: f30300aa  mov	x19, x0
0xfffffff00853cbd4: d4ec00b0  adrp	x20, #0xfffffff00a2d5000
0xfffffff00853cbd8: 94a23491  add	x20, x20, #0xd28
0xfffffff00853cbdc: e10314aa  mov	x1, x20
0xfffffff00853cbe0: 56b54c94  bl	#0xfffffff00986a138
0xfffffff00853cbe4: 10a3ffb0  adrp	x16, #0xfffffff00799d000
0xfffffff00853cbe8: 10222d91  add	x16, x16, #0xb48
0xfffffff00853cbec: 10420091  add	x16, x16, #0x10
0xfffffff00853cbf0: f10300aa  mov	x17, x0
0xfffffff00853cbf4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853cbf8: 300ac1da  pacda	x16, x17
0xfffffff00853cbfc: 100000f9  str	x16, [x0]
0xfffffff00853cc00: e00314aa  mov	x0, x20
0xfffffff00853cc04: 4ca1f697  bl	#0xfffffff0082e5134
0xfffffff00853cc08: e00313aa  mov	x0, x19
0xfffffff00853cc0c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853cc10: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853cc14: ff0f5fd6  retab	
0xfffffff00853cc18: 5f2403d5  bti	c
0xfffffff00853cc1c: b69ef617  b	#0xfffffff0082e46f4
0xfffffff00853cc20: 5f2403d5  bti	c
0xfffffff00853cc24: b49ef617  b	#0xfffffff0082e46f4
0xfffffff00853cc28: 7f2303d5  pacibsp	
0xfffffff00853cc2c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00853cc30: fd030091  mov	x29, sp
0xfffffff00853cc34: 205dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853cc38: 00603791  add	x0, x0, #0xdd8
0xfffffff00853cc3c: 7fb1f797  bl	#0xfffffff008329238
