; Candidate 4828
; ADRP+ADD at VM 0xfffffff0087c8654 (fileoff 0x17c4654): page=0x1fea21000 add_imm=0xe80

0xfffffff0087c85d4: c3f7ff54  b.lo	#0xfffffff0087c84cc
0xfffffff0087c85d8: e00313aa  mov	x0, x19
0xfffffff0087c85dc: e10315aa  mov	x1, x21
0xfffffff0087c85e0: e20314aa  mov	x2, x20
0xfffffff0087c85e4: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0087c85e8: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0087c85ec: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0087c85f0: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0087c85f4: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0087c85f8: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff0087c85fc: ffc30291  add	sp, sp, #0xb0
0xfffffff0087c8600: ff2303d5  autibsp	
0xfffffff0087c8604: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0087c8608: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0087c8610
0xfffffff0087c860c: 208e38d4  brk	#0xc471
0xfffffff0087c8610: e0f6ff17  b	#0xfffffff0087c6190
0xfffffff0087c8614: e6ae0394  bl	#0xfffffff0088b41ac
0xfffffff0087c8618: f40300aa  mov	x20, x0
0xfffffff0087c861c: 80008052  mov	w0, #4
0xfffffff0087c8620: 8ccc0294  bl	#0xfffffff00887b850
0xfffffff0087c8624: 686a4bb9  ldr	w8, [x19, #0xb68]
0xfffffff0087c8628: a9d644b9  ldr	w9, [x21, #0x4d4]
0xfffffff0087c862c: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0087c8630: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c8634: 08f10b91  add	x8, x8, #0x2fc
0xfffffff0087c8638: 29368052  mov	w9, #0x1b1
0xfffffff0087c863c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c8640: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c8644: 08b50b91  add	x8, x8, #0x2ed
0xfffffff0087c8648: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c864c: 68008052  mov	w8, #3
0xfffffff0087c8650: f42300a9  stp	x20, x8, [sp]
0xfffffff0087c8654: 0051ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c8658: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c865c: 0192ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087c8660: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c8664: 6353fff0  adrp	x3, #0xfffffff007237000
0xfffffff0087c8668: 63ec2b91  add	x3, x3, #0xafb
0xfffffff0087c866c: 02008052  mov	w2, #0
0xfffffff0087c8670: b0aaed97  bl	#0xfffffff008333130
0xfffffff0087c8674: 49000014  b	#0xfffffff0087c8798
0xfffffff0087c8678: 60008052  mov	w0, #3
0xfffffff0087c867c: 81008052  mov	w1, #4
0xfffffff0087c8680: 54cc0294  bl	#0xfffffff00887b7d0
0xfffffff0087c8684: a0080034  cbz	w0, #0xfffffff0087c8798
0xfffffff0087c8688: 60008052  mov	w0, #3
0xfffffff0087c868c: 63cc0294  bl	#0xfffffff00887b818
0xfffffff0087c8690: f40300aa  mov	x20, x0
0xfffffff0087c8694: c6ae0394  bl	#0xfffffff0088b41ac
0xfffffff0087c8698: f30300aa  mov	x19, x0
0xfffffff0087c869c: 80008052  mov	w0, #4
0xfffffff0087c86a0: 6ccc0294  bl	#0xfffffff00887b850
0xfffffff0087c86a4: 14050034  cbz	w20, #0xfffffff0087c8744
0xfffffff0087c86a8: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c86ac: 08691291  add	x8, x8, #0x49a
0xfffffff0087c86b0: a93a8052  mov	w9, #0x1d5
0xfffffff0087c86b4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c86b8: 2852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c86bc: 08b50b91  add	x8, x8, #0x2ed
0xfffffff0087c86c0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c86c4: 68008052  mov	w8, #3
0xfffffff0087c86c8: f32300a9  stp	x19, x8, [sp]
0xfffffff0087c86cc: 2052ffd0  adrp	x0, #0xfffffff00720e000
0xfffffff0087c86d0: 00f01091  add	x0, x0, #0x43c
