; Candidate 10801
; ADRP+ADD at VM 0xfffffff008de7318 (fileoff 0x1de3318): page=0x1fe5dd000 add_imm=0xe15

0xfffffff008de7298: 4a553291  add	x10, x10, #0xc95
0xfffffff008de729c: 34000014  b	#0xfffffff008de736c
0xfffffff008de72a0: 08238052  mov	w8, #0x118
0xfffffff008de72a4: c92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de72a8: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de72ac: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de72b0: e82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de72b4: 08493991  add	x8, x8, #0xe52
0xfffffff008de72b8: ca2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de72bc: 4aad3291  add	x10, x10, #0xcab
0xfffffff008de72c0: 2b000014  b	#0xfffffff008de736c
0xfffffff008de72c4: 28238052  mov	w8, #0x119
0xfffffff008de72c8: c92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de72cc: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de72d0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de72d4: e82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de72d8: 08493991  add	x8, x8, #0xe52
0xfffffff008de72dc: ca2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de72e0: 4a713091  add	x10, x10, #0xc1c
0xfffffff008de72e4: 22000014  b	#0xfffffff008de736c
0xfffffff008de72e8: f90300aa  mov	x25, x0
0xfffffff008de72ec: 287f4093  sxtw	x8, w25
0xfffffff008de72f0: a9238052  mov	w9, #0x11d
0xfffffff008de72f4: ca2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de72f8: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de72fc: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de7300: e92effb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de7304: 29493991  add	x9, x9, #0xe52
0xfffffff008de7308: eb2effb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de730c: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de7310: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de7314: eb0300f9  str	x11, [sp]
0xfffffff008de7318: e02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de731c: 00543891  add	x0, x0, #0xe15
0xfffffff008de7320: 40bfd597  bl	#0xfffffff008357020
0xfffffff008de7324: b3ffff17  b	#0xfffffff008de71f0
0xfffffff008de7328: c8238052  mov	w8, #0x11e
0xfffffff008de732c: c92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de7330: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de7334: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de7338: e82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de733c: 08493991  add	x8, x8, #0xe52
0xfffffff008de7340: ca2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de7344: 4ad53291  add	x10, x10, #0xcb5
0xfffffff008de7348: 09000014  b	#0xfffffff008de736c
0xfffffff008de734c: c8248052  mov	w8, #0x126
0xfffffff008de7350: c92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de7354: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de7358: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de735c: e82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de7360: 08493991  add	x8, x8, #0xe52
0xfffffff008de7364: ca2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de7368: 4a913091  add	x10, x10, #0xc24
0xfffffff008de736c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de7370: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de7374: e02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de7378: 00543891  add	x0, x0, #0xe15
0xfffffff008de737c: 29bfd597  bl	#0xfffffff008357020
0xfffffff008de7380: 59008012  mov	w25, #-3
0xfffffff008de7384: 9bffff17  b	#0xfffffff008de71f0
0xfffffff008de7388: 287f4093  sxtw	x8, w25
0xfffffff008de738c: 89268052  mov	w9, #0x134
0xfffffff008de7390: ca2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de7394: 4ae92e91  add	x10, x10, #0xbba
