; Candidate 5447
; ADRP+ADD at VM 0xfffffff0087f130c (fileoff 0x17ed30c): page=0x1fe9f8000 add_imm=0xe80

0xfffffff0087f128c: 1b111f91  add	x27, x8, #0x7c4
0xfffffff0087f1290: e00317aa  mov	x0, x23
0xfffffff0087f1294: 01008052  mov	w1, #0
0xfffffff0087f1298: 02819152  mov	w2, #0x8c08
0xfffffff0087f129c: 496ed597  bl	#0xfffffff007d4cbc0
0xfffffff0087f12a0: ff060079  strh	wzr, [x23, #2]
0xfffffff0087f12a4: f40600f9  str	x20, [x23, #8]
0xfffffff0087f12a8: 885b40b9  ldr	w8, [x28, #0x58]
0xfffffff0087f12ac: 89df40b9  ldr	w9, [x28, #0xdc]
0xfffffff0087f12b0: e8260229  stp	w8, w9, [x23, #0x10]
0xfffffff0087f12b4: 88e740b9  ldr	w8, [x28, #0xe4]
0xfffffff0087f12b8: e8620329  stp	w8, w24, [x23, #0x18]
0xfffffff0087f12bc: 56071037  tbnz	w22, #2, #0xfffffff0087f13a4
0xfffffff0087f12c0: 88ef40b9  ldr	w8, [x28, #0xec]
0xfffffff0087f12c4: 39000014  b	#0xfffffff0087f13a8
0xfffffff0087f12c8: b90b0394  bl	#0xfffffff0088b41ac
0xfffffff0087f12cc: fa0300aa  mov	x26, x0
0xfffffff0087f12d0: 00018052  mov	w0, #8
0xfffffff0087f12d4: 5f290294  bl	#0xfffffff00887b850
0xfffffff0087f12d8: e80318aa  mov	x8, x24
0xfffffff0087f12dc: e8e704a9  stp	x8, x25, [sp, #0x48]
0xfffffff0087f12e0: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087f12e4: e80316aa  mov	x8, x22
0xfffffff0087f12e8: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087f12ec: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f12f0: 08990d91  add	x8, x8, #0x366
0xfffffff0087f12f4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f12f8: 080f8052  mov	w8, #0x78
0xfffffff0087f12fc: 6352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f1300: 63483091  add	x3, x3, #0xc12
0xfffffff0087f1304: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f1308: fa0300f9  str	x26, [sp]
0xfffffff0087f130c: c04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f1310: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f1314: a190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f1318: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f131c: 02008052  mov	w2, #0
0xfffffff0087f1320: 8407ed97  bl	#0xfffffff008333130
0xfffffff0087f1324: 33faffb5  cbnz	x19, #0xfffffff0087f1268
0xfffffff0087f1328: 000f8052  mov	w0, #0x78
0xfffffff0087f132c: 81008052  mov	w1, #4
0xfffffff0087f1330: 28290294  bl	#0xfffffff00887b7d0
0xfffffff0087f1334: 000f0034  cbz	w0, #0xfffffff0087f1514
0xfffffff0087f1338: 000f8052  mov	w0, #0x78
0xfffffff0087f133c: 37290294  bl	#0xfffffff00887b818
0xfffffff0087f1340: fb0300aa  mov	x27, x0
0xfffffff0087f1344: 9a0b0394  bl	#0xfffffff0088b41ac
0xfffffff0087f1348: fa0300aa  mov	x26, x0
0xfffffff0087f134c: 80008052  mov	w0, #4
0xfffffff0087f1350: 40290294  bl	#0xfffffff00887b850
0xfffffff0087f1354: bb0a0034  cbz	w27, #0xfffffff0087f14a8
0xfffffff0087f1358: e80318aa  mov	x8, x24
0xfffffff0087f135c: e8e705a9  stp	x8, x25, [sp, #0x58]
0xfffffff0087f1360: f5df04a9  stp	x21, x23, [sp, #0x48]
0xfffffff0087f1364: e80316aa  mov	x8, x22
0xfffffff0087f1368: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0087f136c: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f1370: 08390991  add	x8, x8, #0x24e
0xfffffff0087f1374: 097d8052  mov	w9, #0x3e8
0xfffffff0087f1378: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f137c: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f1380: 08990d91  add	x8, x8, #0x366
0xfffffff0087f1384: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f1388: e00b00f9  str	x0, [sp, #0x10]
