; Candidate 7189
; ADRP+ADD at VM 0xfffffff00885e42c (fileoff 0x185a42c): page=0x1fe98b000 add_imm=0xe80

0xfffffff00885e3ac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885e3b0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00885e3b4: 880c8052  mov	w8, #0x64
0xfffffff00885e3b8: 404effb0  adrp	x0, #0xfffffff007227000
0xfffffff00885e3bc: 004c2b91  add	x0, x0, #0xad3
0xfffffff00885e3c0: f72300a9  stp	x23, x8, [sp]
0xfffffff00885e3c4: f8000014  b	#0xfffffff00885e7a4
0xfffffff00885e3c8: 79570194  bl	#0xfffffff0088b41ac
0xfffffff00885e3cc: f70300aa  mov	x23, x0
0xfffffff00885e3d0: 80008052  mov	w0, #4
0xfffffff00885e3d4: 1f750094  bl	#0xfffffff00887b850
0xfffffff00885e3d8: e80316aa  mov	x8, x22
0xfffffff00885e3dc: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885e3e0: e83300f9  str	x8, [sp, #0x60]
0xfffffff00885e3e4: 08098052  mov	w8, #0x48
0xfffffff00885e3e8: ea0315aa  mov	x10, x21
0xfffffff00885e3ec: ea2305a9  stp	x10, x8, [sp, #0x50]
0xfffffff00885e3f0: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff00885e3f4: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e3f8: 08dd2591  add	x8, x8, #0x977
0xfffffff00885e3fc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00885e400: 283f8052  mov	w8, #0x1f9
0xfffffff00885e404: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885e408: 29792491  add	x9, x9, #0x91e
0xfffffff00885e40c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885e410: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e414: 08811191  add	x8, x8, #0x460
0xfffffff00885e418: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885e41c: 880c8052  mov	w8, #0x64
0xfffffff00885e420: a34ffff0  adrp	x3, #0xfffffff007255000
0xfffffff00885e424: 63e81891  add	x3, x3, #0x63a
0xfffffff00885e428: f72300a9  stp	x23, x8, [sp]
0xfffffff00885e42c: 404cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885e430: 00003a91  add	x0, x0, #0xe80
0xfffffff00885e434: 418dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885e438: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885e43c: 02008052  mov	w2, #0
0xfffffff00885e440: 3c53eb97  bl	#0xfffffff008333130
0xfffffff00885e444: 197d8012  mov	w25, #-0x3e9
0xfffffff00885e448: b7010014  b	#0xfffffff00885eb24
0xfffffff00885e44c: 800c8052  mov	w0, #0x64
0xfffffff00885e450: 81008052  mov	w1, #4
0xfffffff00885e454: df740094  bl	#0xfffffff00887b7d0
0xfffffff00885e458: 601e0034  cbz	w0, #0xfffffff00885e824
0xfffffff00885e45c: 800c8052  mov	w0, #0x64
0xfffffff00885e460: ee740094  bl	#0xfffffff00887b818
0xfffffff00885e464: f90300aa  mov	x25, x0
0xfffffff00885e468: 51570194  bl	#0xfffffff0088b41ac
0xfffffff00885e46c: f80300aa  mov	x24, x0
0xfffffff00885e470: 80008052  mov	w0, #4
0xfffffff00885e474: f7740094  bl	#0xfffffff00887b850
0xfffffff00885e478: 19120034  cbz	w25, #0xfffffff00885e6b8
0xfffffff00885e47c: 88024079  ldrh	w8, [x20]
0xfffffff00885e480: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885e484: 8a1240b9  ldr	w10, [x20, #0x10]
0xfffffff00885e488: f72305a9  stp	x23, x8, [sp, #0x50]
0xfffffff00885e48c: e84dffd0  adrp	x8, #0xfffffff00721c000
0xfffffff00885e490: 08450491  add	x8, x8, #0x111
0xfffffff00885e494: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff00885e498: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00885e49c: a8428052  mov	w8, #0x215
0xfffffff00885e4a0: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885e4a4: 29792491  add	x9, x9, #0x91e
0xfffffff00885e4a8: e92302a9  stp	x9, x8, [sp, #0x20]
