; Candidate 5156
; ADRP+ADD at VM 0xfffffff0087dc5d4 (fileoff 0x17d85d4): page=0x1fea0d000 add_imm=0xe80

0xfffffff0087dc554: 37020034  cbz	w23, #0xfffffff0087dc598
0xfffffff0087dc558: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dc55c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087dc560: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087dc564: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc568: 09c92f91  add	x9, x8, #0xbf2
0xfffffff0087dc56c: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc570: 081d0291  add	x8, x8, #0x87
0xfffffff0087dc574: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087dc578: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087dc57c: 280a8052  mov	w8, #0x51
0xfffffff0087dc580: a051ffd0  adrp	x0, #0xfffffff007212000
0xfffffff0087dc584: 000c2191  add	x0, x0, #0x843
0xfffffff0087dc588: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dc58c: b56bd797  bl	#0xfffffff007db7460
0xfffffff0087dc590: 540300b5  cbnz	x20, #0xfffffff0087dc5f8
0xfffffff0087dc594: 23000014  b	#0xfffffff0087dc620
0xfffffff0087dc598: 055f0394  bl	#0xfffffff0088b41ac
0xfffffff0087dc59c: f60300aa  mov	x22, x0
0xfffffff0087dc5a0: c0008052  mov	w0, #6
0xfffffff0087dc5a4: ab7c0294  bl	#0xfffffff00887b850
0xfffffff0087dc5a8: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dc5ac: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087dc5b0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087dc5b4: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc5b8: 09c92f91  add	x9, x8, #0xbf2
0xfffffff0087dc5bc: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc5c0: 081d0291  add	x8, x8, #0x87
0xfffffff0087dc5c4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087dc5c8: 280a8052  mov	w8, #0x51
0xfffffff0087dc5cc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087dc5d0: f60300f9  str	x22, [sp]
0xfffffff0087dc5d4: 6050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dc5d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dc5dc: 6191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087dc5e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dc5e4: 0353ff90  adrp	x3, #0xfffffff00723c000
0xfffffff0087dc5e8: 63f43791  add	x3, x3, #0xdfd
0xfffffff0087dc5ec: 02008052  mov	w2, #0
0xfffffff0087dc5f0: d05aed97  bl	#0xfffffff008333130
0xfffffff0087dc5f4: 740100b4  cbz	x20, #0xfffffff0087dc620
0xfffffff0087dc5f8: 550100b4  cbz	x21, #0xfffffff0087dc620
0xfffffff0087dc5fc: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff0087dc600: e80400b4  cbz	x8, #0xfffffff0087dc69c
0xfffffff0087dc604: 60aa40f9  ldr	x0, [x19, #0x150]
0xfffffff0087dc608: a00400b4  cbz	x0, #0xfffffff0087dc69c
0xfffffff0087dc60c: 821640b9  ldr	w2, [x20, #0x14]
0xfffffff0087dc610: e10314aa  mov	x1, x20
0xfffffff0087dc614: f9010194  bl	#0xfffffff00881cdf8
0xfffffff0087dc618: f60300aa  mov	x22, x0
0xfffffff0087dc61c: 7c000014  b	#0xfffffff0087dc80c
0xfffffff0087dc620: 200a8052  mov	w0, #0x51
0xfffffff0087dc624: 81008052  mov	w1, #4
0xfffffff0087dc628: 6a7c0294  bl	#0xfffffff00887b7d0
0xfffffff0087dc62c: 000b0034  cbz	w0, #0xfffffff0087dc78c
0xfffffff0087dc630: 200a8052  mov	w0, #0x51
0xfffffff0087dc634: 797c0294  bl	#0xfffffff00887b818
0xfffffff0087dc638: f70300aa  mov	x23, x0
0xfffffff0087dc63c: dc5e0394  bl	#0xfffffff0088b41ac
0xfffffff0087dc640: f60300aa  mov	x22, x0
0xfffffff0087dc644: 80008052  mov	w0, #4
0xfffffff0087dc648: 827c0294  bl	#0xfffffff00887b850
0xfffffff0087dc64c: b7060034  cbz	w23, #0xfffffff0087dc720
0xfffffff0087dc650: 68ee40b9  ldr	w8, [x19, #0xec]
